"Código","Unidade Territorial","UF","Referência","Número de pessoas do sexo masculino cadastradas no Cadastro Único","Número de pessoas do sexo feminino cadastradas no Cadastro Único"
"150010","ABAETETUBA","PA","08/2012","47618","51516"
"150010","ABAETETUBA","PA","08/2026","60230","72133"
"150010","ABAETETUBA","PA","07/2026","60222","72092"
"150010","ABAETETUBA","PA","06/2026","60143","72021"
"150010","ABAETETUBA","PA","05/2026","59964","71873"
"150010","ABAETETUBA","PA","04/2026","59744","71680"
"150010","ABAETETUBA","PA","03/2026","59457","71550"
"150010","ABAETETUBA","PA","02/2026","59202","71509"
"150010","ABAETETUBA","PA","01/2026","58782","71121"
"150010","ABAETETUBA","PA","11/2025","58262","70908"
"150010","ABAETETUBA","PA","12/2025","58440","70994"
"150010","ABAETETUBA","PA","01/2025","58700","69989"
"150010","ABAETETUBA","PA","10/2025","58214","70851"
"150010","ABAETETUBA","PA","07/2025","58545","70908"
"150010","ABAETETUBA","PA","06/2025","59050","71092"
"150010","ABAETETUBA","PA","09/2025","58155","70768"
"150010","ABAETETUBA","PA","08/2025","58028","70578"
"150010","ABAETETUBA","PA","05/2025","58913","70953"
"150010","ABAETETUBA","PA","03/2025","58761","70163"
"150010","ABAETETUBA","PA","02/2025","58606","69893"
"150010","ABAETETUBA","PA","02/2024","60296","70812"
"150010","ABAETETUBA","PA","01/2024","60958","70894"
"150010","ABAETETUBA","PA","09/2024","58549","69795"
"150010","ABAETETUBA","PA","08/2024","59137","70326"
"150010","ABAETETUBA","PA","07/2024","58991","70179"
"150010","ABAETETUBA","PA","06/2024","60141","71232"
"150010","ABAETETUBA","PA","05/2024","60208","71128"
"150010","ABAETETUBA","PA","04/2024","60363","71145"
"150010","ABAETETUBA","PA","12/2024","59279","70507"
"150010","ABAETETUBA","PA","11/2024","58839","70104"
"150010","ABAETETUBA","PA","03/2024","60543","71070"
"150010","ABAETETUBA","PA","10/2024","58723","69985"
"150010","ABAETETUBA","PA","04/2023","63196","71020"
"150010","ABAETETUBA","PA","06/2023","63364","71312"
"150010","ABAETETUBA","PA","08/2023","63629","71631"
"150010","ABAETETUBA","PA","02/2023","63166","70900"
"150010","ABAETETUBA","PA","05/2023","63218","71133"
"150010","ABAETETUBA","PA","01/2023","62847","70613"
"150010","ABAETETUBA","PA","03/2023","63420","71159"
"150010","ABAETETUBA","PA","11/2023","64010","71963"
"150010","ABAETETUBA","PA","12/2023","64150","72134"
"150010","ABAETETUBA","PA","10/2023","63897","71857"
"150010","ABAETETUBA","PA","09/2023","63796","71787"
"150010","ABAETETUBA","PA","07/2023","63540","71522"
"150010","ABAETETUBA","PA","07/2022","58223","67914"
"150010","ABAETETUBA","PA","08/2022","59182","68477"
"150010","ABAETETUBA","PA","09/2022","60228","69021"
"150010","ABAETETUBA","PA","06/2022","57445","67518"
"150010","ABAETETUBA","PA","05/2022","56922","67164"
"150010","ABAETETUBA","PA","04/2022","56514","66879"
"150010","ABAETETUBA","PA","12/2022","62504","70334"
"150010","ABAETETUBA","PA","01/2022","54326","65352"
