Codigo,Municipio,Homens,Mulheres,Ano,RI
150010,ABAETETUBA,58440,70994,2025,Tocantins
150010,ABAETETUBA,59279,70507,2024,Tocantins
150010,ABAETETUBA,64150,72134,2023,Tocantins
150010,ABAETETUBA,62504,70334,2022,Tocantins
150010,ABAETETUBA,53959,65039,2021,Tocantins
150010,ABAETETUBA,50987,61813,2020,Tocantins
150010,ABAETETUBA,51542,62944,2019,Tocantins
150010,ABAETETUBA,48672,61161,2018,Tocantins
150010,ABAETETUBA,46803,60631,2017,Tocantins
150010,ABAETETUBA,45792,59948,2016,Tocantins
150010,ABAETETUBA,46231,59290,2015,Tocantins
150010,ABAETETUBA,48729,60637,2014,Tocantins
150010,ABAETETUBA,47547,57830,2013,Tocantins
150010,ABAETETUBA,48019,53970,2012,Tocantins
150013,ABEL FIGUEIREDO,2303,2841,2025,Rio Capim
150013,ABEL FIGUEIREDO,2332,2904,2024,Rio Capim
150013,ABEL FIGUEIREDO,2589,3059,2023,Rio Capim
150013,ABEL FIGUEIREDO,2592,3060,2022,Rio Capim
150013,ABEL FIGUEIREDO,2251,2840,2021,Rio Capim
150013,ABEL FIGUEIREDO,2224,2747,2020,Rio Capim
150013,ABEL FIGUEIREDO,2256,2812,2019,Rio Capim
150013,ABEL FIGUEIREDO,2213,2773,2018,Rio Capim
150013,ABEL FIGUEIREDO,2225,2793,2017,Rio Capim
150013,ABEL FIGUEIREDO,2234,2737,2016,Rio Capim
150013,ABEL FIGUEIREDO,2247,2677,2015,Rio Capim
150013,ABEL FIGUEIREDO,2337,2767,2014,Rio Capim
150013,ABEL FIGUEIREDO,2222,2609,2013,Rio Capim
150013,ABEL FIGUEIREDO,2198,2594,2012,Rio Capim
150020,ACARÁ,23174,26511,2025,Tocantins
150020,ACARÁ,22894,26263,2024,Tocantins
150020,ACARÁ,23286,26181,2023,Tocantins
150020,ACARÁ,22480,25332,2022,Tocantins
150020,ACARÁ,20243,23276,2021,Tocantins
150020,ACARÁ,20119,23149,2020,Tocantins
150020,ACARÁ,20231,23287,2019,Tocantins
150020,ACARÁ,19614,23078,2018,Tocantins
150020,ACARÁ,19337,22586,2017,Tocantins
150020,ACARÁ,19203,22299,2016,Tocantins
150020,ACARÁ,19336,22345,2015,Tocantins
150020,ACARÁ,19740,22569,2014,Tocantins
150020,ACARÁ,17644,20039,2013,Tocantins
150020,ACARÁ,15320,17291,2012,Tocantins
150030,AFUÁ,12604,13282,2012,Marajó
150030,AFUÁ,13335,14132,2013,Marajó
150030,AFUÁ,14140,14885,2014,Marajó
150030,AFUÁ,14709,15348,2015,Marajó
150030,AFUÁ,15260,15973,2016,Marajó
150030,AFUÁ,16199,16853,2017,Marajó
150030,AFUÁ,16070,16768,2018,Marajó
150030,AFUÁ,16422,16992,2019,Marajó
150030,AFUÁ,16253,16838,2020,Marajó
150030,AFUÁ,16383,16939,2021,Marajó
150030,AFUÁ,17807,17971,2022,Marajó
150030,AFUÁ,18654,18836,2023,Marajó
150030,AFUÁ,18953,19496,2024,Marajó
150030,AFUÁ,19394,19897,2025,Marajó
150034,ÁGUA AZUL DO NORTE,4636,5827,2025,Araguaia
150034,ÁGUA AZUL DO NORTE,4615,6009,2024,Araguaia
150034,ÁGUA AZUL DO NORTE,5132,6500,2023,Araguaia
150034,ÁGUA AZUL DO NORTE,5091,6555,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4728,6008,2021,Araguaia
150034,ÁGUA AZUL DO NORTE,4574,5649,2020,Araguaia
150034,ÁGUA AZUL DO NORTE,4707,5840,2019,Araguaia
150034,ÁGUA AZUL DO NORTE,4820,5932,2018,Araguaia
150034,ÁGUA AZUL DO NORTE,5047,6076,2017,Araguaia
150034,ÁGUA AZUL DO NORTE,5156,6243,2016,Araguaia
150034,ÁGUA AZUL DO NORTE,5380,6396,2015,Araguaia
150034,ÁGUA AZUL DO NORTE,5682,6707,2014,Araguaia
150034,ÁGUA AZUL DO NORTE,5390,6510,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,5566,6849,2012,Araguaia
150040,ALENQUER,19413,21878,2012,Baixo Amazonas
150040,ALENQUER,19478,22925,2013,Baixo Amazonas
150040,ALENQUER,19765,23785,2014,Baixo Amazonas
150040,ALENQUER,18325,22884,2015,Baixo Amazonas
