Codigo,Municipio,Idade,Total
1500107,Abaetetuba (PA),Total,141100
1500107,Abaetetuba (PA),Menos de 1 ano,2581
1500107,Abaetetuba (PA),3 anos,2675
1500107,Abaetetuba (PA),4 anos,2643
1500107,Abaetetuba (PA),6 anos,2666
1500107,Abaetetuba (PA),7 anos,2800
1500107,Abaetetuba (PA),15 anos,3338
1500107,Abaetetuba (PA),16 anos,3477
1500107,Abaetetuba (PA),17 anos,3343
1500107,Abaetetuba (PA),18 anos,3302
1500107,Abaetetuba (PA),24 anos,2995
1500107,Abaetetuba (PA),25 anos,2798
1500107,Abaetetuba (PA),34 anos,2020
1500107,Abaetetuba (PA),40 anos,1786
1500107,Abaetetuba (PA),44 anos,1406
1500107,Abaetetuba (PA),45 anos,1312
1500107,Abaetetuba (PA),49 anos,1110
1500107,Abaetetuba (PA),50 anos,1157
1500107,Abaetetuba (PA),54 anos,922
1500107,Abaetetuba (PA),55 anos,1019
1500107,Abaetetuba (PA),59 anos,736
1500107,Abaetetuba (PA),60 anos,802
1500107,Abaetetuba (PA),64 anos,601
1500107,Abaetetuba (PA),70 anos ou mais,4411
1500131,Abel Figueiredo (PA),Total,6780
1500131,Abel Figueiredo (PA),Menos de 1 ano,115
1500131,Abel Figueiredo (PA),3 anos,139
1500131,Abel Figueiredo (PA),4 anos,125
1500131,Abel Figueiredo (PA),6 anos,140
1500131,Abel Figueiredo (PA),7 anos,137
1500131,Abel Figueiredo (PA),15 anos,150
1500131,Abel Figueiredo (PA),16 anos,145
1500131,Abel Figueiredo (PA),17 anos,132
1500131,Abel Figueiredo (PA),18 anos,129
1500131,Abel Figueiredo (PA),24 anos,119
1500131,Abel Figueiredo (PA),25 anos,125
1500131,Abel Figueiredo (PA),34 anos,104
1500131,Abel Figueiredo (PA),40 anos,84
1500131,Abel Figueiredo (PA),44 anos,71
1500131,Abel Figueiredo (PA),45 anos,61
1500131,Abel Figueiredo (PA),49 anos,56
1500131,Abel Figueiredo (PA),50 anos,61
1500131,Abel Figueiredo (PA),54 anos,36
1500131,Abel Figueiredo (PA),55 anos,41
1500131,Abel Figueiredo (PA),59 anos,53
1500131,Abel Figueiredo (PA),60 anos,33
1500131,Abel Figueiredo (PA),64 anos,27
1500131,Abel Figueiredo (PA),70 anos ou mais,220
1500206,Acará (PA),Total,53569
1500206,Acará (PA),Menos de 1 ano,1181
1500206,Acará (PA),3 anos,1266
1500206,Acará (PA),4 anos,1284
1500206,Acará (PA),6 anos,1231
1500206,Acará (PA),7 anos,1300
1500206,Acará (PA),15 anos,1375
1500206,Acará (PA),16 anos,1190
1500206,Acará (PA),17 anos,1248
1500206,Acará (PA),18 anos,1256
1500206,Acará (PA),24 anos,956
1500206,Acará (PA),25 anos,958
1500206,Acará (PA),34 anos,648
1500206,Acará (PA),40 anos,641
1500206,Acará (PA),44 anos,504
1500206,Acará (PA),45 anos,463
1500206,Acará (PA),49 anos,399
1500206,Acará (PA),50 anos,388
1500206,Acará (PA),54 anos,277
1500206,Acará (PA),55 anos,323
1500206,Acará (PA),59 anos,290
1500206,Acará (PA),60 anos,318
1500206,Acará (PA),64 anos,205
1500206,Acará (PA),70 anos ou mais,1532
1500305,Afuá (PA),Total,35042
1500305,Afuá (PA),Menos de 1 ano,906
1500305,Afuá (PA),3 anos,929
1500305,Afuá (PA),4 anos,936
1500305,Afuá (PA),6 anos,968
1500305,Afuá (PA),7 anos,988
1500305,Afuá (PA),15 anos,950
1500305,Afuá (PA),16 anos,888
1500305,Afuá (PA),17 anos,852
1500305,Afuá (PA),18 anos,743
1500305,Afuá (PA),24 anos,614
1500305,Afuá (PA),25 anos,671
1500305,Afuá (PA),34 anos,401
1500305,Afuá (PA),40 anos,359
1500305,Afuá (PA),44 anos,310
1500305,Afuá (PA),45 anos,221
1500305,Afuá (PA),49 anos,234
1500305,Afuá (PA),50 anos,222
1500305,Afuá (PA),54 anos,198
1500305,Afuá (PA),55 anos,189
1500305,Afuá (PA),59 anos,148
1500305,Afuá (PA),60 anos,136
1500305,Afuá (PA),64 anos,110
1500305,Afuá (PA),70 anos ou mais,838
1500347,Água Azul do Norte (PA),Total,25057
1500347,Água Azul do Norte (PA),Menos de 1 ano,348
1500347,Água Azul do Norte (PA),3 anos,392
1500347,Água Azul do Norte (PA),4 anos,441
1500347,Água Azul do Norte (PA),6 anos,434
1500347,Água Azul do Norte (PA),7 anos,444
1500347,Água Azul do Norte (PA),15 anos,503
1500347,Água Azul do Norte (PA),16 anos,434
1500347,Água Azul do Norte (PA),17 anos,435
1500347,Água Azul do Norte (PA),18 anos,440
1500347,Água Azul do Norte (PA),24 anos,595
1500347,Água Azul do Norte (PA),25 anos,540
1500347,Água Azul do Norte (PA),34 anos,456
1500347,Água Azul do Norte (PA),40 anos,556
1500347,Água Azul do Norte (PA),44 anos,265
1500347,Água Azul do Norte (PA),45 anos,303
1500347,Água Azul do Norte (PA),49 anos,205
1500347,Água Azul do Norte (PA),50 anos,252
1500347,Água Azul do Norte (PA),54 anos,163
1500347,Água Azul do Norte (PA),55 anos,148
1500347,Água Azul do Norte (PA),59 anos,113
1500347,Água Azul do Norte (PA),60 anos,121
1500347,Água Azul do Norte (PA),64 anos,83
1500347,Água Azul do Norte (PA),70 anos ou mais,380
1500404,Alenquer (PA),Total,52626
1500404,Alenquer (PA),Menos de 1 ano,1134
1500404,Alenquer (PA),3 anos,1298
1500404,Alenquer (PA),4 anos,1374
1500404,Alenquer (PA),6 anos,1363
1500404,Alenquer (PA),7 anos,1353
1500404,Alenquer (PA),15 anos,1312
1500404,Alenquer (PA),16 anos,1291
1500404,Alenquer (PA),17 anos,1256
1500404,Alenquer (PA),18 anos,1048
1500404,Alenquer (PA),24 anos,833
1500404,Alenquer (PA),25 anos,880
1500404,Alenquer (PA),34 anos,692
1500404,Alenquer (PA),40 anos,571
1500404,Alenquer (PA),44 anos,470
1500404,Alenquer (PA),45 anos,428
1500404,Alenquer (PA),49 anos,341
1500404,Alenquer (PA),50 anos,408
1500404,Alenquer (PA),54 anos,345
1500404,Alenquer (PA),55 anos,347
1500404,Alenquer (PA),59 anos,235
1500404,Alenquer (PA),60 anos,297
1500404,Alenquer (PA),64 anos,227
1500404,Alenquer (PA),70 anos ou mais,1961
1500503,Almeirim (PA),Total,33614
1500503,Almeirim (PA),Menos de 1 ano,755
1500503,Almeirim (PA),3 anos,786
1500503,Almeirim (PA),4 anos,819
1500503,Almeirim (PA),6 anos,745
1500503,Almeirim (PA),7 anos,837
1500503,Almeirim (PA),15 anos,806
1500503,Almeirim (PA),16 anos,790
1500503,Almeirim (PA),17 anos,798
1500503,Almeirim (PA),18 anos,712
1500503,Almeirim (PA),24 anos,602
1500503,Almeirim (PA),25 anos,628
1500503,Almeirim (PA),34 anos,493
1500503,Almeirim (PA),40 anos,407
1500503,Almeirim (PA),44 anos,336
1500503,Almeirim (PA),45 anos,327
1500503,Almeirim (PA),49 anos,284
1500503,Almeirim (PA),50 anos,288
1500503,Almeirim (PA),54 anos,209
1500503,Almeirim (PA),55 anos,213
1500503,Almeirim (PA),59 anos,151
1500503,Almeirim (PA),60 anos,155
1500503,Almeirim (PA),64 anos,113
1500503,Almeirim (PA),70 anos ou mais,785
1500602,Altamira (PA),Total,99075
1500602,Altamira (PA),Menos de 1 ano,1814
1500602,Altamira (PA),3 anos,1906
1500602,Altamira (PA),4 anos,1919
1500602,Altamira (PA),6 anos,1898
1500602,Altamira (PA),7 anos,1996
1500602,Altamira (PA),15 anos,2169
1500602,Altamira (PA),16 anos,2121
1500602,Altamira (PA),17 anos,2090
1500602,Altamira (PA),18 anos,2048
1500602,Altamira (PA),24 anos,1952
1500602,Altamira (PA),25 anos,2060
1500602,Altamira (PA),34 anos,1483
1500602,Altamira (PA),40 anos,1324
1500602,Altamira (PA),44 anos,1041
1500602,Altamira (PA),45 anos,1079
1500602,Altamira (PA),49 anos,843
1500602,Altamira (PA),50 anos,887
1500602,Altamira (PA),54 anos,698
1500602,Altamira (PA),55 anos,672
1500602,Altamira (PA),59 anos,530
1500602,Altamira (PA),60 anos,523
1500602,Altamira (PA),64 anos,376
1500602,Altamira (PA),70 anos ou mais,2759
1500701,Anajás (PA),Total,24759
1500701,Anajás (PA),Menos de 1 ano,650
1500701,Anajás (PA),3 anos,761
1500701,Anajás (PA),4 anos,745
1500701,Anajás (PA),6 anos,765
1500701,Anajás (PA),7 anos,774
1500701,Anajás (PA),15 anos,623
1500701,Anajás (PA),16 anos,594
1500701,Anajás (PA),17 anos,587
1500701,Anajás (PA),18 anos,546
1500701,Anajás (PA),24 anos,473
1500701,Anajás (PA),25 anos,425
1500701,Anajás (PA),34 anos,268
1500701,Anajás (PA),40 anos,241
1500701,Anajás (PA),44 anos,152
1500701,Anajás (PA),45 anos,145
1500701,Anajás (PA),49 anos,159
1500701,Anajás (PA),50 anos,159
1500701,Anajás (PA),54 anos,108
1500701,Anajás (PA),55 anos,108
1500701,Anajás (PA),59 anos,91
1500701,Anajás (PA),60 anos,94
1500701,Anajás (PA),64 anos,61
1500701,Anajás (PA),70 anos ou mais,528
1500800,Ananindeua (PA),Total,471980
1500800,Ananindeua (PA),Menos de 1 ano,7355
1500800,Ananindeua (PA),3 anos,7348
1500800,Ananindeua (PA),4 anos,7685
1500800,Ananindeua (PA),6 anos,7610
1500800,Ananindeua (PA),7 anos,8212
1500800,Ananindeua (PA),15 anos,9366
1500800,Ananindeua (PA),16 anos,9269
1500800,Ananindeua (PA),17 anos,8899
1500800,Ananindeua (PA),18 anos,9265
1500800,Ananindeua (PA),24 anos,9763
1500800,Ananindeua (PA),25 anos,9705
1500800,Ananindeua (PA),34 anos,8107
1500800,Ananindeua (PA),40 anos,7549
1500800,Ananindeua (PA),44 anos,5965
1500800,Ananindeua (PA),45 anos,5891
1500800,Ananindeua (PA),49 anos,4854
1500800,Ananindeua (PA),50 anos,5105
1500800,Ananindeua (PA),54 anos,4021
1500800,Ananindeua (PA),55 anos,3760
1500800,Ananindeua (PA),59 anos,2833
1500800,Ananindeua (PA),60 anos,2873
1500800,Ananindeua (PA),64 anos,1986
1500800,Ananindeua (PA),70 anos ou mais,11672
1500859,Anapu (PA),Total,20543
1500859,Anapu (PA),Menos de 1 ano,467
1500859,Anapu (PA),3 anos,518
1500859,Anapu (PA),4 anos,504
1500859,Anapu (PA),6 anos,436
1500859,Anapu (PA),7 anos,466
1500859,Anapu (PA),15 anos,488
1500859,Anapu (PA),16 anos,513
1500859,Anapu (PA),17 anos,452
1500859,Anapu (PA),18 anos,468
1500859,Anapu (PA),24 anos,403
1500859,Anapu (PA),25 anos,417
1500859,Anapu (PA),34 anos,307
1500859,Anapu (PA),40 anos,273
1500859,Anapu (PA),44 anos,177
1500859,Anapu (PA),45 anos,178
1500859,Anapu (PA),49 anos,140
1500859,Anapu (PA),50 anos,168
1500859,Anapu (PA),54 anos,151
1500859,Anapu (PA),55 anos,157
1500859,Anapu (PA),59 anos,111
1500859,Anapu (PA),60 anos,114
1500859,Anapu (PA),64 anos,70
1500859,Anapu (PA),70 anos ou mais,372
1500909,Augusto Corrêa (PA),Total,40497
1500909,Augusto Corrêa (PA),Menos de 1 ano,922
1500909,Augusto Corrêa (PA),3 anos,998
1500909,Augusto Corrêa (PA),4 anos,1032
1500909,Augusto Corrêa (PA),6 anos,1004
1500909,Augusto Corrêa (PA),7 anos,1017
1500909,Augusto Corrêa (PA),15 anos,990
1500909,Augusto Corrêa (PA),16 anos,985
1500909,Augusto Corrêa (PA),17 anos,967
1500909,Augusto Corrêa (PA),18 anos,899
1500909,Augusto Corrêa (PA),24 anos,701
1500909,Augusto Corrêa (PA),25 anos,770
1500909,Augusto Corrêa (PA),34 anos,479
1500909,Augusto Corrêa (PA),40 anos,415
1500909,Augusto Corrêa (PA),44 anos,359
1500909,Augusto Corrêa (PA),45 anos,325
1500909,Augusto Corrêa (PA),49 anos,280
1500909,Augusto Corrêa (PA),50 anos,270
1500909,Augusto Corrêa (PA),54 anos,268
1500909,Augusto Corrêa (PA),55 anos,246
1500909,Augusto Corrêa (PA),59 anos,218
1500909,Augusto Corrêa (PA),60 anos,243
1500909,Augusto Corrêa (PA),64 anos,163
1500909,Augusto Corrêa (PA),70 anos ou mais,1219
1500958,Aurora do Pará (PA),Total,26546
1500958,Aurora do Pará (PA),Menos de 1 ano,504
1500958,Aurora do Pará (PA),3 anos,534
1500958,Aurora do Pará (PA),4 anos,568
1500958,Aurora do Pará (PA),6 anos,541
1500958,Aurora do Pará (PA),7 anos,602
1500958,Aurora do Pará (PA),15 anos,618
1500958,Aurora do Pará (PA),16 anos,566
1500958,Aurora do Pará (PA),17 anos,586
1500958,Aurora do Pará (PA),18 anos,560
1500958,Aurora do Pará (PA),24 anos,507
1500958,Aurora do Pará (PA),25 anos,506
1500958,Aurora do Pará (PA),34 anos,348
1500958,Aurora do Pará (PA),40 anos,334
1500958,Aurora do Pará (PA),44 anos,249
1500958,Aurora do Pará (PA),45 anos,241
1500958,Aurora do Pará (PA),49 anos,200
1500958,Aurora do Pará (PA),50 anos,191
1500958,Aurora do Pará (PA),54 anos,153
1500958,Aurora do Pará (PA),55 anos,169
1500958,Aurora do Pará (PA),59 anos,129
1500958,Aurora do Pará (PA),60 anos,159
