Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total
1500107,Abaetetuba (PA),30676,9038,797,100509,80,141100
1500131,Abel Figueiredo (PA),1655,699,88,4327,11,6780
1500206,Acará (PA),5985,4081,556,42900,47,53569
1500305,Afuá (PA),6826,1135,138,26942,1,35042
1500347,Água Azul do Norte (PA),6788,1935,844,15486,4,25057
1500404,Alenquer (PA),10782,3564,534,37715,31,52626
1500503,Almeirim (PA),5798,1796,234,24970,816,33614
1500602,Altamira (PA),25289,8513,1577,59985,3711,99075
1500701,Anajás (PA),4894,2342,64,17457,2,24759
1500800,Ananindeua (PA),115665,35200,3635,316700,778,471980
1500859,Anapu (PA),4690,1943,395,13071,444,20543
1500909,Augusto Corrêa (PA),4828,2394,95,33175,5,40497
1500958,Aurora do Pará (PA),4650,2235,389,19228,44,26546
1501006,Aveiro (PA),1998,897,117,11064,1773,15849
1501105,Bagre (PA),4383,2309,173,16998,1,23864
1501204,Baião (PA),6061,6792,119,23869,41,36882
1501253,Bannach (PA),961,299,35,2032,104,3431
1501303,Barcarena (PA),19350,5720,735,73892,162,99859
1501402,Belém (PA),379990,105441,11218,894388,2271,1393399
1501451,Belterra (PA),2123,556,164,13133,342,16318
1501501,Benevides (PA),10554,4260,484,36222,131,51651
1501576,Bom Jesus do Tocantins (PA),3158,1281,114,9976,769,15298
1501600,Bonito (PA),2515,770,136,10206,3,13630
1501709,Bragança (PA),15588,5501,626,91470,42,113227
1501725,Brasil Novo (PA),4271,1674,295,9173,277,15690
1501758,Brejo Grande do Araguaia (PA),1419,531,68,5262,37,7317
1501782,Breu Branco (PA),9744,3652,173,38892,32,52493
1501808,Breves (PA),19810,6678,631,65663,78,92860
1501907,Bujaru (PA),3223,2932,94,19444,2,25695
1501956,Cachoeira do Piriá (PA),2598,1425,156,22270,35,26484
1502004,Cachoeira do Arari (PA),2230,2056,331,15825,1,20443
1502103,Cametá (PA),26407,7800,688,85983,18,120896
1502152,Canaã dos Carajás (PA),7003,1828,504,17312,69,26716
1502202,Capanema (PA),16764,2540,345,43879,111,63639
1502301,Capitão Poço (PA),7648,1697,270,42221,57,51893
1502400,Castanhal (PA),42784,9126,1944,119139,156,173149
1502509,Chaves (PA),2269,1451,272,17013,-,21005
1502608,Colares (PA),2291,324,50,8687,29,11381
1502707,Conceição do Araguaia (PA),11068,4489,998,28855,147,45557
1502756,Concórdia do Pará (PA),4190,2095,120,21809,2,28216
1502764,Cumaru do Norte (PA),2212,948,93,6012,1201,10466
1502772,Curionópolis (PA),3824,1359,234,12860,11,18288
1502806,Curralinho (PA),3876,1114,44,23515,-,28549
1502855,Curuá (PA),2267,698,75,9213,1,12254
1502905,Curuçá (PA),6261,1293,146,26575,19,34294
1502939,Dom Eliseu (PA),10907,3992,700,35676,44,51319
1502954,Eldorado do Carajás (PA),6843,2836,543,21522,42,31786
1503002,Faro (PA),1423,224,20,6447,63,8177
1503044,Floresta do Araguaia (PA),4612,1473,482,11170,31,17768
1503077,Garrafão do Norte (PA),3635,987,213,20183,16,25034
1503093,Goianésia do Pará (PA),7556,2700,259,19867,54,30436
1503101,Gurupá (PA),5377,1435,545,21703,2,29062
1503200,Igarapé-Açu (PA),7384,1429,362,26697,15,35887
1503309,Igarapé-Miri (PA),13278,4536,294,39964,5,58077
1503408,Inhangapi (PA),1127,1316,62,7531,1,10037
1503457,Ipixuna do Pará (PA),7181,3296,545,40082,205,51309
1503507,Irituia (PA),5280,1791,111,24178,4,31364
1503606,Itaituba (PA),21789,10457,947,63510,790,97493
1503705,Itupiranga (PA),11022,4680,668,34503,347,51220
1503754,Jacareacanga (PA),2209,2090,93,3868,5843,14103
1503804,Jacundá (PA),12589,3959,403,34340,69,51360
1503903,Juruti (PA),6340,1596,820,38230,100,47086
1504000,Limoeiro do Ajuru (PA),5105,973,54,18889,-,25021
1504059,Mãe do Rio (PA),6082,1425,395,19986,16,27904
1504109,Magalhães Barata (PA),1760,142,35,6177,1,8115
