Município,Homens,Mulheres,Total
Abaetetuba (PA),71630.0,69470.0,141100.0
Abel Figueiredo (PA),3533.0,3247.0,6780.0
Acará (PA),28115.0,25454.0,53569.0
Afuá (PA),18453.0,16589.0,35042.0
Água Azul do Norte (PA),13618.0,11439.0,25057.0
Alenquer (PA),27030.0,25596.0,52626.0
Almeirim (PA),17468.0,16146.0,33614.0
Altamira (PA),49819.0,49256.0,99075.0
Anajás (PA),12957.0,11802.0,24759.0
Ananindeua (PA),226635.0,245345.0,471980.0
Anapu (PA),10992.0,9551.0,20543.0
Augusto Corrêa (PA),20989.0,19508.0,40497.0
Aurora do Pará (PA),13620.0,12926.0,26546.0
Aveiro (PA),8367.0,7482.0,15849.0
Bagre (PA),12135.0,11729.0,23864.0
Baião (PA),19446.0,17436.0,36882.0
Bannach (PA),1847.0,1584.0,3431.0
Barcarena (PA),50346.0,49513.0,99859.0
Belém (PA),659008.0,734391.0,1393399.0
Belterra (PA),8481.0,7837.0,16318.0
Benevides (PA),25815.0,25836.0,51651.0
Bom Jesus do Tocantins (PA),8051.0,7247.0,15298.0
Bonito (PA),7114.0,6516.0,13630.0
Bragança (PA),57291.0,55936.0,113227.0
Brasil Novo (PA),8314.0,7376.0,15690.0
Brejo Grande do Araguaia (PA),3832.0,3485.0,7317.0
Breu Branco (PA),27085.0,25408.0,52493.0
Breves (PA),47788.0,45072.0,92860.0
Bujaru (PA),13335.0,12360.0,25695.0
Cachoeira do Piriá (PA),13720.0,12764.0,26484.0
Cachoeira do Arari (PA),10545.0,9898.0,20443.0
Cametá (PA),62016.0,58880.0,120896.0
Canaã dos Carajás (PA),13585.0,13131.0,26716.0
Capanema (PA),31494.0,32145.0,63639.0
Capitão Poço (PA),26621.0,25272.0,51893.0
Castanhal (PA),84476.0,88673.0,173149.0
Chaves (PA),11180.0,9825.0,21005.0
Colares (PA),5879.0,5502.0,11381.0
Conceição do Araguaia (PA),23309.0,22248.0,45557.0
Concórdia do Pará (PA),14590.0,13626.0,28216.0
Cumaru do Norte (PA),6081.0,4385.0,10466.0
Curionópolis (PA),9666.0,8622.0,18288.0
Curralinho (PA),15059.0,13490.0,28549.0
Curuá (PA),6456.0,5798.0,12254.0
Curuçá (PA),17568.0,16726.0,34294.0
