"Código","Unidade Territorial","UF","Referência","Número de pessoas cadastradas no Cadastro Único em domicílios rurais","Número de pessoas cadastradas no Cadastro Único em domicílios urbanos"
"150010","ABAETETUBA","PA","08/2012","41681","57453"
"150010","ABAETETUBA","PA","08/2026","66031","66301"
"150010","ABAETETUBA","PA","07/2026","66011","66269"
"150010","ABAETETUBA","PA","06/2026","65893","66235"
"150010","ABAETETUBA","PA","05/2026","65667","66137"
"150010","ABAETETUBA","PA","04/2026","65433","65958"
"150010","ABAETETUBA","PA","03/2026","65193","65781"
"150010","ABAETETUBA","PA","02/2026","64837","65839"
"150010","ABAETETUBA","PA","01/2026","64357","65520"
"150010","ABAETETUBA","PA","11/2025","63552","65588"
"150010","ABAETETUBA","PA","12/2025","63946","65461"
"150010","ABAETETUBA","PA","01/2025","63049","65626"
"150010","ABAETETUBA","PA","10/2025","63465","65574"
"150010","ABAETETUBA","PA","07/2025","63432","65996"
"150010","ABAETETUBA","PA","06/2025","63628","66491"
"150010","ABAETETUBA","PA","09/2025","63316","65585"
"150010","ABAETETUBA","PA","08/2025","63140","65432"
"150010","ABAETETUBA","PA","05/2025","63494","66352"
"150010","ABAETETUBA","PA","03/2025","63189","65720"
"150010","ABAETETUBA","PA","02/2025","63017","65468"
"150010","ABAETETUBA","PA","02/2024","62977","68117"
"150010","ABAETETUBA","PA","01/2024","63229","68609"
"150010","ABAETETUBA","PA","09/2024","62691","65639"
"150010","ABAETETUBA","PA","08/2024","62840","66609"
"150010","ABAETETUBA","PA","07/2024","62686","66470"
"150010","ABAETETUBA","PA","06/2024","63445","67914"
"150010","ABAETETUBA","PA","05/2024","63345","67976"
"150010","ABAETETUBA","PA","04/2024","63259","68234"
"150010","ABAETETUBA","PA","12/2024","63386","66386"
"150010","ABAETETUBA","PA","11/2024","63043","65885"
"150010","ABAETETUBA","PA","03/2024","63184","68415"
"150010","ABAETETUBA","PA","10/2024","62927","65767"
"150010","ABAETETUBA","PA","04/2023","63404","70804"
"150010","ABAETETUBA","PA","06/2023","63886","70782"
"150010","ABAETETUBA","PA","08/2023","64274","70974"
"150010","ABAETETUBA","PA","02/2023","63219","70838"
"150010","ABAETETUBA","PA","05/2023","63644","70699"
"150010","ABAETETUBA","PA","01/2023","62928","70526"
"150010","ABAETETUBA","PA","03/2023","63460","71110"
"150010","ABAETETUBA","PA","11/2023","64692","71267"
"150010","ABAETETUBA","PA","12/2023","65033","71237"
"150010","ABAETETUBA","PA","10/2023","64554","71186"
"150010","ABAETETUBA","PA","09/2023","64479","71091"
"150010","ABAETETUBA","PA","07/2023","64086","70968"
"150010","ABAETETUBA","PA","07/2022","59760","66371"
"150010","ABAETETUBA","PA","08/2022","60419","67234"
"150010","ABAETETUBA","PA","09/2022","61105","68138"
"150010","ABAETETUBA","PA","06/2022","59292","65665"
"150010","ABAETETUBA","PA","05/2022","58905","65176"
"150010","ABAETETUBA","PA","04/2022","58689","64699"
"150010","ABAETETUBA","PA","12/2022","62679","70153"
"150010","ABAETETUBA","PA","01/2022","57135","62539"
"150010","ABAETETUBA","PA","02/2022","57831","63491"
"150010","ABAETETUBA","PA","03/2022","58221","63963"
"150010","ABAETETUBA","PA","11/2022","62217","69571"
"150010","ABAETETUBA","PA","10/2022","61879","68992"
"150010","ABAETETUBA","PA","06/2021","54745","59283"
"150010","ABAETETUBA","PA","02/2021","54646","58694"
"150010","ABAETETUBA","PA","12/2021","56929","62065"
"150010","ABAETETUBA","PA","07/2021","55017","59559"
"150010","ABAETETUBA","PA","04/2021","54685","59063"
"150010","ABAETETUBA","PA","03/2021","54677","59074"
"150010","ABAETETUBA","PA","01/2021","54541","58435"
"150010","ABAETETUBA","PA","09/2021","55548","60175"
"150010","ABAETETUBA","PA","11/2021","56657","61642"
"150010","ABAETETUBA","PA","10/2021","55869","60724"
"150010","ABAETETUBA","PA","08/2021","55261","59912"
"150010","ABAETETUBA","PA","05/2021","54691","59166"
"150010","ABAETETUBA","PA","04/2020","54861","58844"
"150010","ABAETETUBA","PA","11/2020","54367","58103"
"150010","ABAETETUBA","PA","10/2020","55150","59522"
"150010","ABAETETUBA","PA","07/2020","54906","59039"
"150010","ABAETETUBA","PA","03/2020","54831","58763"
"150010","ABAETETUBA","PA","01/2020","55553","59278"
"150010","ABAETETUBA","PA","06/2020","54884","58930"
"150010","ABAETETUBA","PA","05/2020","54875","58879"
"150010","ABAETETUBA","PA","12/2020","54487","58310"
"150010","ABAETETUBA","PA","02/2020","54648","58480"
"150010","ABAETETUBA","PA","09/2020","55014","59288"
"150010","ABAETETUBA","PA","08/2020","54955","59168"
"150010","ABAETETUBA","PA","03/2019","54756","57684"
"150010","ABAETETUBA","PA","01/2019","54166","56921"
"150010","ABAETETUBA","PA","04/2019","54643","57874"
"150010","ABAETETUBA","PA","08/2019","55524","59199"
"150010","ABAETETUBA","PA","09/2019","54679","57891"
"150010","ABAETETUBA","PA","07/2019","55361","58967"
"150010","ABAETETUBA","PA","06/2019","55195","58754"
"150010","ABAETETUBA","PA","05/2019","54957","58390"
"150010","ABAETETUBA","PA","10/2019","54915","58371"
"150010","ABAETETUBA","PA","12/2019","55423","59062"
"150010","ABAETETUBA","PA","02/2019","54522","57416"
"150010","ABAETETUBA","PA","11/2019","55175","58681"
"150010","ABAETETUBA","PA","11/2018","54183","56876"
"150010","ABAETETUBA","PA","03/2018","52544","54760"
"150010","ABAETETUBA","PA","04/2018","52779","55245"
"150010","ABAETETUBA","PA","05/2018","53248","55771"
"150010","ABAETETUBA","PA","07/2018","53863","56499"
"150010","ABAETETUBA","PA","12/2018","53692","56140"
"150010","ABAETETUBA","PA","10/2018","53787","56347"
"150010","ABAETETUBA","PA","02/2018","53339","55401"
"150010","ABAETETUBA","PA","09/2018","53404","55772"
"150010","ABAETETUBA","PA","08/2018","52973","55178"
"150010","ABAETETUBA","PA","01/2018","53144","54971"
"150010","ABAETETUBA","PA","06/2018","53566","56262"
"150010","ABAETETUBA","PA","09/2017","51466","52876"
"150010","ABAETETUBA","PA","02/2017","52222","54253"
"150010","ABAETETUBA","PA","05/2017","52959","55189"
"150010","ABAETETUBA","PA","04/2017","52719","54794"
"150010","ABAETETUBA","PA","07/2017","53501","56089"
"150010","ABAETETUBA","PA","06/2017","53246","55796"
"150010","ABAETETUBA","PA","03/2017","52390","54493"
"150010","ABAETETUBA","PA","01/2017","52100","54078"
"150010","ABAETETUBA","PA","12/2017","52885","54549"
"150010","ABAETETUBA","PA","11/2017","52574","53873"
"150010","ABAETETUBA","PA","08/2017","53754","56335"
"150010","ABAETETUBA","PA","10/2017","52166","53338"
"150010","ABAETETUBA","PA","01/2016","50432","54205"
"150010","ABAETETUBA","PA","03/2016","51251","54768"
"150010","ABAETETUBA","PA","02/2016","50755","54484"
"150010","ABAETETUBA","PA","05/2016","51819","55279"
"150010","ABAETETUBA","PA","07/2016","52277","55507"
"150010","ABAETETUBA","PA","12/2016","51885","53855"
"150010","ABAETETUBA","PA","04/2016","51601","55095"
"150010","ABAETETUBA","PA","06/2016","52083","55373"
"150010","ABAETETUBA","PA","09/2016","52566","55552"
"150010","ABAETETUBA","PA","10/2016","52623","55620"
"150010","ABAETETUBA","PA","08/2016","52397","55556"
"150010","ABAETETUBA","PA","11/2016","52635","55631"
"150010","ABAETETUBA","PA","05/2015","50414","56271"
"150010","ABAETETUBA","PA","10/2015","50233","55105"
"150010","ABAETETUBA","PA","06/2015","50520","56271"
"150010","ABAETETUBA","PA","08/2015","50102","55202"
"150010","ABAETETUBA","PA","07/2015","50018","55247"
"150010","ABAETETUBA","PA","03/2015","50178","56082"
"150010","ABAETETUBA","PA","04/2015","50346","56144"
"150010","ABAETETUBA","PA","01/2015","49962","55856"
"150010","ABAETETUBA","PA","12/2015","50526","54992"
"150010","ABAETETUBA","PA","11/2015","50333","54944"
"150010","ABAETETUBA","PA","09/2015","50168","55125"
"150010","ABAETETUBA","PA","02/2015","50044","55948"
"150010","ABAETETUBA","PA","11/2014","51382","57700"
"150010","ABAETETUBA","PA","10/2014","51205","57722"
"150010","ABAETETUBA","PA","12/2014","51514","57849"
"150010","ABAETETUBA","PA","09/2014","50951","57598"
"150010","ABAETETUBA","PA","08/2014","50779","57554"
"150010","ABAETETUBA","PA","07/2014","50538","57324"
"150010","ABAETETUBA","PA","03/2014","49834","56805"
"150010","ABAETETUBA","PA","06/2014","50332","57248"
"150010","ABAETETUBA","PA","05/2014","50169","57139"
"150010","ABAETETUBA","PA","04/2014","50077","56991"
"150010","ABAETETUBA","PA","02/2014","49287","56795"
"150010","ABAETETUBA","PA","01/2014","48816","56638"
"150010","ABAETETUBA","PA","11/2013","48437","57168"
"150010","ABAETETUBA","PA","10/2013","47691","57024"
"150010","ABAETETUBA","PA","12/2013","48621","56753"
"150010","ABAETETUBA","PA","09/2013","47359","57087"
"150010","ABAETETUBA","PA","08/2013","46961","57287"
"150010","ABAETETUBA","PA","06/2013","46262","57530"
"150010","ABAETETUBA","PA","05/2013","45873","57772"
"150010","ABAETETUBA","PA","03/2013","44607","58134"
"150010","ABAETETUBA","PA","02/2013","44531","58244"
"150010","ABAETETUBA","PA","01/2013","44074","58173"
"150010","ABAETETUBA","PA","07/2013","46007","57116"
"150010","ABAETETUBA","PA","04/2013","45488","57864"
"150010","ABAETETUBA","PA","12/2012","43837","58152"
"150010","ABAETETUBA","PA","11/2012","43474","58174"
"150010","ABAETETUBA","PA","10/2012","43223","58076"
"150010","ABAETETUBA","PA","09/2012","42815","57781"
"150013","ABEL FIGUEIREDO","PA","09/2012","353","4446"
"150013","ABEL FIGUEIREDO","PA","08/2026","889","4207"
"150013","ABEL FIGUEIREDO","PA","07/2026","886","4210"
"150013","ABEL FIGUEIREDO","PA","06/2026","892","4198"
"150013","ABEL FIGUEIREDO","PA","05/2026","899","4209"
"150013","ABEL FIGUEIREDO","PA","04/2026","893","4213"
"150013","ABEL FIGUEIREDO","PA","03/2026","893","4227"
"150013","ABEL FIGUEIREDO","PA","02/2026","889","4278"
"150013","ABEL FIGUEIREDO","PA","01/2026","901","4230"
"150013","ABEL FIGUEIREDO","PA","12/2025","901","4231"
"150013","ABEL FIGUEIREDO","PA","06/2025","906","4335"
"150013","ABEL FIGUEIREDO","PA","10/2025","884","4227"
"150013","ABEL FIGUEIREDO","PA","03/2025","915","4300"
"150013","ABEL FIGUEIREDO","PA","07/2025","891","4323"
"150013","ABEL FIGUEIREDO","PA","05/2025","905","4319"
"150013","ABEL FIGUEIREDO","PA","01/2025","916","4286"
"150013","ABEL FIGUEIREDO","PA","11/2025","899","4250"
"150013","ABEL FIGUEIREDO","PA","09/2025","891","4241"
"150013","ABEL FIGUEIREDO","PA","02/2025","925","4294"
"150013","ABEL FIGUEIREDO","PA","08/2025","888","4260"
"150013","ABEL FIGUEIREDO","PA","04/2024","988","4418"
"150013","ABEL FIGUEIREDO","PA","03/2024","998","4415"
"150013","ABEL FIGUEIREDO","PA","07/2024","919","4316"
"150013","ABEL FIGUEIREDO","PA","09/2024","921","4277"
"150013","ABEL FIGUEIREDO","PA","06/2024","950","4392"
"150013","ABEL FIGUEIREDO","PA","05/2024","973","4398"
"150013","ABEL FIGUEIREDO","PA","10/2024","927","4292"
"150013","ABEL FIGUEIREDO","PA","02/2024","1009","4390"
"150013","ABEL FIGUEIREDO","PA","12/2024","924","4312"
"150013","ABEL FIGUEIREDO","PA","08/2024","922","4315"
"150013","ABEL FIGUEIREDO","PA","01/2024","1025","4396"
"150013","ABEL FIGUEIREDO","PA","11/2024","924","4297"
"150013","ABEL FIGUEIREDO","PA","08/2023","1026","4591"
"150013","ABEL FIGUEIREDO","PA","06/2023","1027","4576"
"150013","ABEL FIGUEIREDO","PA","01/2023","1082","4565"
"150013","ABEL FIGUEIREDO","PA","12/2023","1051","4597"
"150013","ABEL FIGUEIREDO","PA","09/2023","1030","4596"
"150013","ABEL FIGUEIREDO","PA","11/2023","1053","4590"
"150013","ABEL FIGUEIREDO","PA","02/2023","1070","4618"
"150013","ABEL FIGUEIREDO","PA","04/2023","1039","4589"
"150013","ABEL FIGUEIREDO","PA","07/2023","1024","4572"
"150013","ABEL FIGUEIREDO","PA","05/2023","1047","4580"
"150013","ABEL FIGUEIREDO","PA","10/2023","1038","4598"
"150013","ABEL FIGUEIREDO","PA","03/2023","1066","4628"
"150013","ABEL FIGUEIREDO","PA","12/2022","1091","4561"
"150013","ABEL FIGUEIREDO","PA","05/2022","1023","4294"
"150013","ABEL FIGUEIREDO","PA","09/2022","1067","4520"
"150013","ABEL FIGUEIREDO","PA","01/2022","977","4136"
"150013","ABEL FIGUEIREDO","PA","03/2022","1013","4202"
"150013","ABEL FIGUEIREDO","PA","06/2022","1024","4339"
"150013","ABEL FIGUEIREDO","PA","07/2022","1044","4382"
"150013","ABEL FIGUEIREDO","PA","10/2022","1075","4592"
"150013","ABEL FIGUEIREDO","PA","04/2022","1030","4261"
"150013","ABEL FIGUEIREDO","PA","02/2022","1005","4195"
"150013","ABEL FIGUEIREDO","PA","11/2022","1090","4631"
"150013","ABEL FIGUEIREDO","PA","08/2022","1048","4410"
"150013","ABEL FIGUEIREDO","PA","01/2021","961","4027"
"150013","ABEL FIGUEIREDO","PA","04/2021","961","4087"
"150013","ABEL FIGUEIREDO","PA","09/2021","977","4078"
"150013","ABEL FIGUEIREDO","PA","02/2021","962","4055"
"150013","ABEL FIGUEIREDO","PA","06/2021","973","4102"
"150013","ABEL FIGUEIREDO","PA","11/2021","968","4126"
"150013","ABEL FIGUEIREDO","PA","07/2021","985","4084"
"150013","ABEL FIGUEIREDO","PA","05/2021","969","4090"
"150013","ABEL FIGUEIREDO","PA","10/2021","971","4100"
"150013","ABEL FIGUEIREDO","PA","03/2021","957","4055"
"150013","ABEL FIGUEIREDO","PA","12/2021","972","4119"
"150013","ABEL FIGUEIREDO","PA","08/2021","975","4075"
"150013","ABEL FIGUEIREDO","PA","06/2020","981","4025"
"150013","ABEL FIGUEIREDO","PA","09/2020","985","4046"
"150013","ABEL FIGUEIREDO","PA","03/2020","978","4022"
"150013","ABEL FIGUEIREDO","PA","10/2020","987","4066"
"150013","ABEL FIGUEIREDO","PA","07/2020","981","4028"
"150013","ABEL FIGUEIREDO","PA","11/2020","959","3985"
"150013","ABEL FIGUEIREDO","PA","04/2020","982","4033"
"150013","ABEL FIGUEIREDO","PA","12/2020","965","4006"
"150013","ABEL FIGUEIREDO","PA","02/2020","976","4018"
"150013","ABEL FIGUEIREDO","PA","05/2020","983","4028"
"150013","ABEL FIGUEIREDO","PA","08/2020","982","4048"
"150013","ABEL FIGUEIREDO","PA","01/2020","976","4108"
"150013","ABEL FIGUEIREDO","PA","09/2019","938","4084"
"150013","ABEL FIGUEIREDO","PA","05/2019","948","4136"
"150013","ABEL FIGUEIREDO","PA","08/2019","958","4178"
"150013","ABEL FIGUEIREDO","PA","04/2019","934","4139"
"150013","ABEL FIGUEIREDO","PA","03/2019","924","4187"
"150013","ABEL FIGUEIREDO","PA","12/2019","973","4095"
"150013","ABEL FIGUEIREDO","PA","06/2019","954","4153"
"150013","ABEL FIGUEIREDO","PA","11/2019","954","4102"
"150013","ABEL FIGUEIREDO","PA","02/2019","899","4159"
"150013","ABEL FIGUEIREDO","PA","07/2019","954","4170"
"150013","ABEL FIGUEIREDO","PA","10/2019","943","4111"
"150013","ABEL FIGUEIREDO","PA","01/2019","891","4098"
"150013","ABEL FIGUEIREDO","PA","12/2018","887","4099"
"150013","ABEL FIGUEIREDO","PA","01/2018","870","4108"
"150013","ABEL FIGUEIREDO","PA","09/2018","891","4173"
"150013","ABEL FIGUEIREDO","PA","05/2018","902","4183"
"150013","ABEL FIGUEIREDO","PA","07/2018","907","4219"
"150013","ABEL FIGUEIREDO","PA","03/2018","868","4070"
"150013","ABEL FIGUEIREDO","PA","02/2018","881","4126"
"150013","ABEL FIGUEIREDO","PA","11/2018","910","4196"
"150013","ABEL FIGUEIREDO","PA","04/2018","888","4115"
"150013","ABEL FIGUEIREDO","PA","10/2018","904","4187"
"150013","ABEL FIGUEIREDO","PA","06/2018","910","4191"
"150013","ABEL FIGUEIREDO","PA","08/2018","888","4135"
"150013","ABEL FIGUEIREDO","PA","10/2017","870","4010"
"150013","ABEL FIGUEIREDO","PA","11/2017","879","4114"
"150013","ABEL FIGUEIREDO","PA","09/2017","851","3988"
"150013","ABEL FIGUEIREDO","PA","02/2017","834","4152"
"150013","ABEL FIGUEIREDO","PA","08/2017","869","4199"
"150013","ABEL FIGUEIREDO","PA","04/2017","850","4113"
"150013","ABEL FIGUEIREDO","PA","05/2017","855","4148"
"150013","ABEL FIGUEIREDO","PA","07/2017","861","4181"
"150013","ABEL FIGUEIREDO","PA","01/2017","832","4136"
"150013","ABEL FIGUEIREDO","PA","12/2017","883","4135"
"150013","ABEL FIGUEIREDO","PA","03/2017","846","4140"
"150013","ABEL FIGUEIREDO","PA","06/2017","855","4173"
"150013","ABEL FIGUEIREDO","PA","08/2016","830","4230"
"150013","ABEL FIGUEIREDO","PA","12/2016","835","4136"
"150013","ABEL FIGUEIREDO","PA","07/2016","850","4212"
"150013","ABEL FIGUEIREDO","PA","04/2016","814","4162"
"150013","ABEL FIGUEIREDO","PA","01/2016","770","4086"
"150013","ABEL FIGUEIREDO","PA","06/2016","858","4184"
"150013","ABEL FIGUEIREDO","PA","09/2016","832","4241"
"150013","ABEL FIGUEIREDO","PA","03/2016","794","4130"
"150013","ABEL FIGUEIREDO","PA","02/2016","792","4090"
"150013","ABEL FIGUEIREDO","PA","05/2016","845","4159"
"150013","ABEL FIGUEIREDO","PA","10/2016","825","4245"
"150013","ABEL FIGUEIREDO","PA","11/2016","834","4256"
"150013","ABEL FIGUEIREDO","PA","06/2015","773","4159"
"150013","ABEL FIGUEIREDO","PA","05/2015","776","4138"
"150013","ABEL FIGUEIREDO","PA","12/2015","778","4146"
"150013","ABEL FIGUEIREDO","PA","09/2015","762","4142"
"150013","ABEL FIGUEIREDO","PA","01/2015","750","4025"
