Codigo,Municipio,Brancos,Pretos,Amarelos,Pardos,Indigenas,NoData,Ano,RI
150010,ABAETETUBA,17050,7130,329,104856,67,2,2025,Tocantins
150010,ABAETETUBA,16892,6569,341,105911,71,2,2024,Tocantins
150010,ABAETETUBA,17864,6969,374,111004,68,5,2023,Tocantins
150010,ABAETETUBA,17519,6910,355,107976,71,7,2022,Tocantins
150010,ABAETETUBA,15476,6137,292,97017,71,5,2021,Tocantins
150010,ABAETETUBA,14264,5860,272,92332,66,6,2020,Tocantins
150010,ABAETETUBA,14576,6031,275,93529,69,6,2019,Tocantins
150010,ABAETETUBA,14160,5897,252,89440,75,9,2018,Tocantins
150010,ABAETETUBA,14392,5966,243,86639,86,108,2017,Tocantins
150010,ABAETETUBA,14173,5941,275,84945,92,314,2016,Tocantins
150010,ABAETETUBA,14526,5915,286,84169,99,526,2015,Tocantins
150010,ABAETETUBA,15368,6314,279,86482,103,820,2014,Tocantins
150010,ABAETETUBA,14931,6305,267,82803,107,964,2013,Tocantins
150010,ABAETETUBA,14750,6440,231,79840,115,613,2012,Tocantins
150013,ABEL FIGUEIREDO,1105,256,14,3768,1,0,2025,Rio Capim
150013,ABEL FIGUEIREDO,1074,252,13,3896,1,0,2024,Rio Capim
150013,ABEL FIGUEIREDO,1173,282,15,4177,1,0,2023,Rio Capim
150013,ABEL FIGUEIREDO,1181,276,13,4181,1,0,2022,Rio Capim
150013,ABEL FIGUEIREDO,1096,222,6,3766,0,1,2021,Rio Capim
150013,ABEL FIGUEIREDO,1019,201,6,3744,0,1,2020,Rio Capim
150013,ABEL FIGUEIREDO,1017,211,8,3832,0,0,2019,Rio Capim
150013,ABEL FIGUEIREDO,986,224,7,3768,0,1,2018,Rio Capim
150013,ABEL FIGUEIREDO,930,226,8,3847,1,6,2017,Rio Capim
150013,ABEL FIGUEIREDO,792,217,8,3944,1,9,2016,Rio Capim
150013,ABEL FIGUEIREDO,712,207,8,3977,1,19,2015,Rio Capim
150013,ABEL FIGUEIREDO,709,198,9,4138,1,49,2014,Rio Capim
150013,ABEL FIGUEIREDO,653,190,7,3903,1,77,2013,Rio Capim
150013,ABEL FIGUEIREDO,628,188,4,3851,1,120,2012,Rio Capim
150020,ACARÁ,2784,3850,132,42877,41,1,2025,Tocantins
150020,ACARÁ,2698,3384,133,42884,55,3,2024,Tocantins
150020,ACARÁ,2795,3062,146,43402,59,3,2023,Tocantins
150020,ACARÁ,2645,2723,130,42255,55,4,2022,Tocantins
150020,ACARÁ,2396,2389,93,38593,44,4,2021,Tocantins
150020,ACARÁ,2377,2343,79,38418,44,7,2020,Tocantins
150020,ACARÁ,2398,2352,79,38640,43,6,2019,Tocantins
150020,ACARÁ,2329,2318,87,37912,44,2,2018,Tocantins
150020,ACARÁ,2089,2053,65,37637,51,28,2017,Tocantins
150020,ACARÁ,2015,2072,57,37215,60,83,2016,Tocantins
150020,ACARÁ,1910,2155,57,37340,76,143,2015,Tocantins
150020,ACARÁ,1788,2247,57,37799,84,334,2014,Tocantins
150020,ACARÁ,1500,2257,47,33410,78,391,2013,Tocantins
150020,ACARÁ,1050,2179,41,29055,105,181,2012,Tocantins
150030,AFUÁ,100,17,2,25650,5,112,2012,Marajó
150030,AFUÁ,134,26,16,27138,8,145,2013,Marajó
150030,AFUÁ,158,61,14,28649,10,133,2014,Marajó
150030,AFUÁ,160,114,16,29694,8,65,2015,Marajó
150030,AFUÁ,190,139,23,30841,9,31,2016,Marajó
150030,AFUÁ,217,179,25,32609,9,13,2017,Marajó
150030,AFUÁ,228,174,21,32397,12,6,2018,Marajó
150030,AFUÁ,253,183,17,32948,11,2,2019,Marajó
150030,AFUÁ,263,177,17,32619,13,2,2020,Marajó
150030,AFUÁ,270,177,17,32844,12,2,2021,Marajó
150030,AFUÁ,338,215,29,35180,14,2,2022,Marajó
150030,AFUÁ,444,238,36,36756,15,1,2023,Marajó
150030,AFUÁ,519,244,44,37629,12,1,2024,Marajó
150030,AFUÁ,648,270,45,38317,10,1,2025,Marajó
150034,ÁGUA AZUL DO NORTE,1540,392,53,8462,16,0,2025,Araguaia
150034,ÁGUA AZUL DO NORTE,1507,356,57,8690,14,0,2024,Araguaia
150034,ÁGUA AZUL DO NORTE,1652,402,62,9502,13,1,2023,Araguaia
150034,ÁGUA AZUL DO NORTE,1742,355,62,9474,12,1,2022,Araguaia
