Codigo,Municipio,Rural,Urbano,Ano,RI
150010,ABAETETUBA,63946,65461,2025,Tocantins
150010,ABAETETUBA,63386,66386,2024,Tocantins
150010,ABAETETUBA,65033,71237,2023,Tocantins
150010,ABAETETUBA,62679,70153,2022,Tocantins
150010,ABAETETUBA,56929,62065,2021,Tocantins
150010,ABAETETUBA,54487,58310,2020,Tocantins
150010,ABAETETUBA,55423,59062,2019,Tocantins
150010,ABAETETUBA,53692,56140,2018,Tocantins
150010,ABAETETUBA,52885,54549,2017,Tocantins
150010,ABAETETUBA,51885,53855,2016,Tocantins
150010,ABAETETUBA,50526,54992,2015,Tocantins
150010,ABAETETUBA,51514,57849,2014,Tocantins
150010,ABAETETUBA,48621,56753,2013,Tocantins
150010,ABAETETUBA,43837,58152,2012,Tocantins
150013,ABEL FIGUEIREDO,901,4231,2025,Rio Capim
150013,ABEL FIGUEIREDO,924,4312,2024,Rio Capim
150013,ABEL FIGUEIREDO,1051,4597,2023,Rio Capim
150013,ABEL FIGUEIREDO,1091,4561,2022,Rio Capim
150013,ABEL FIGUEIREDO,972,4119,2021,Rio Capim
150013,ABEL FIGUEIREDO,965,4006,2020,Rio Capim
150013,ABEL FIGUEIREDO,973,4095,2019,Rio Capim
150013,ABEL FIGUEIREDO,887,4099,2018,Rio Capim
150013,ABEL FIGUEIREDO,883,4135,2017,Rio Capim
150013,ABEL FIGUEIREDO,835,4136,2016,Rio Capim
150013,ABEL FIGUEIREDO,778,4146,2015,Rio Capim
150013,ABEL FIGUEIREDO,814,4290,2014,Rio Capim
150013,ABEL FIGUEIREDO,624,4207,2013,Rio Capim
150013,ABEL FIGUEIREDO,351,4441,2012,Rio Capim
150020,ACARÁ,40686,8989,2025,Tocantins
150020,ACARÁ,40002,9155,2024,Tocantins
150020,ACARÁ,40010,9457,2023,Tocantins
150020,ACARÁ,38528,9284,2022,Tocantins
150020,ACARÁ,34705,8814,2021,Tocantins
150020,ACARÁ,34526,8742,2020,Tocantins
150020,ACARÁ,34350,9168,2019,Tocantins
150020,ACARÁ,33443,9249,2018,Tocantins
