Codigo,Municipio,Brancos,Pretos,Amarelos,Pardos,Indigenas,NoData,Ano,RI
150010,ABAETETUBA,17519,6910,355,107976,71,7,2022,Tocantins
150010,ABAETETUBA,14931,6305,267,82803,107,964,2013,Tocantins
150013,ABEL FIGUEIREDO,1181,276,13,4181,1,0,2022,Rio Capim
150013,ABEL FIGUEIREDO,653,190,7,3903,1,77,2013,Rio Capim
150020,ACARÁ,2645,2723,130,42255,55,4,2022,Tocantins
150020,ACARÁ,1500,2257,47,33410,78,391,2013,Tocantins
150030,AFUÁ,134,26,16,27138,8,145,2013,Marajó
150030,AFUÁ,338,215,29,35180,14,2,2022,Marajó
150034,ÁGUA AZUL DO NORTE,1742,355,62,9474,12,1,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,1708,321,49,9770,21,31,2013,Araguaia
150040,ALENQUER,6400,1763,396,33395,49,400,2013,Baixo Amazonas
150040,ALENQUER,6563,1546,238,37984,25,0,2022,Baixo Amazonas
150050,ALMEIRIM,1669,517,34,20629,18,130,2013,Baixo Amazonas
150050,ALMEIRIM,2016,610,77,23717,30,2,2022,Baixo Amazonas
150060,ALTAMIRA,9898,3774,384,53024,4089,14,2022,Xingu
150060,ALTAMIRA,6149,2523,495,38868,808,617,2013,Xingu
150070,ANAJÁS,4272,900,58,25103,10,0,2022,Marajó
150070,ANAJÁS,1642,946,13,19998,12,23,2013,Marajó
150080,ANANINDEUA,23858,9732,965,207163,191,36,2022,Guajará
150080,ANANINDEUA,16015,7170,254,138576,120,1469,2013,Guajará
150085,ANAPU,1305,932,58,15524,11,120,2013,Xingu
150085,ANAPU,2679,1220,202,22812,40,5,2022,Xingu
150090,AUGUSTO CORRÊA,315,205,52,37466,17,223,2013,Rio Caeté
150090,AUGUSTO CORRÊA,496,215,92,39131,16,1,2022,Rio Caeté
150095,AURORA DO PARÁ,778,465,34,18233,15,0,2022,Rio Capim
150095,AURORA DO PARÁ,746,423,37,16279,6,210,2013,Rio Capim
150100,AVEIRO,217,62,13,12401,19,219,2013,Tapajós
150100,AVEIRO,350,206,24,10032,619,1,2022,Tapajós
150110,BAGRE,989,572,92,17839,5,0,2022,Marajó
150110,BAGRE,686,380,2,13956,2,35,2013,Marajó
150120,BAIÃO,2016,1978,26,19056,11,142,2013,Tocantins
150120,BAIÃO,2182,2292,51,22045,16,6,2022,Tocantins
150125,BANNACH,470,272,7,1648,142,1,2022,Araguaia
150125,BANNACH,380,176,14,1806,86,17,2013,Araguaia
150130,BARCARENA,5844,1905,356,68078,80,9,2022,Tocantins
150130,BARCARENA,3000,1024,182,57474,37,1466,2013,Tocantins
150140,BELÉM,84299,34992,3762,594979,1143,126,2022,Guajará
150140,BELÉM,42955,18333,887,359995,556,3882,2013,Guajará
150145,BELTERRA,669,276,51,13270,335,4,2022,Baixo Amazonas
150145,BELTERRA,820,230,25,14001,223,99,2013,Baixo Amazonas
150150,BENEVIDES,2128,636,102,27167,28,702,2013,Guajará
150150,BENEVIDES,3606,1206,179,43937,31,12,2022,Guajará
150157,BOM JESUS DO TOCANTINS,290,272,13,7972,425,56,2013,Carajás
150157,BOM JESUS DO TOCANTINS,516,421,27,9524,502,2,2022,Carajás
150160,BONITO,1089,650,11,7663,8,59,2013,Rio Caeté
150160,BONITO,1146,482,33,9007,6,0,2022,Rio Caeté
150170,BRAGANÇA,1806,687,119,87641,39,14,2022,Rio Caeté
150170,BRAGANÇA,1921,901,58,77096,43,1118,2013,Rio Caeté
150172,BRASIL NOVO,1403,828,26,7990,4,92,2013,Xingu
150172,BRASIL NOVO,2269,1021,134,12534,13,2,2022,Xingu
150175,BREJO GRANDE DO ARAGUAIA,782,344,31,4574,234,1,2022,Carajás
150175,BREJO GRANDE DO ARAGUAIA,767,427,2,4938,173,22,2013,Carajás
150178,BREU BRANCO,2570,1904,40,29018,37,151,2013,Lago Tucuruí
150178,BREU BRANCO,2923,2029,111,27804,22,2,2022,Lago Tucuruí
150180,BREVES,4998,1408,588,83295,82,9,2022,Marajó
150180,BREVES,5043,1519,135,63272,65,1078,2013,Marajó
150190,BUJARU,717,1385,99,21219,12,6,2022,Rio Capim
150190,BUJARU,486,1302,18,21004,14,101,2013,Rio Capim
150195,CACHOEIRA DO PIRIÁ,972,771,52,14289,5,73,2013,Rio Caeté
150195,CACHOEIRA DO PIRIÁ,1244,758,66,15406,5,3,2022,Rio Caeté
150200,CACHOEIRA DO ARARI,240,292,18,15520,2,217,2013,Marajó
150200,CACHOEIRA DO ARARI,319,321,58,17476,6,2,2022,Marajó
150210,CAMETÁ,21650,8465,790,74159,45,4,2022,Tocantins
150210,CAMETÁ,9409,3091,230,70873,25,1358,2013,Tocantins
150215,CANAÃ DOS CARAJÁS,3344,1033,196,28555,18,12,2022,Carajás
150215,CANAÃ DOS CARAJÁS,2829,691,115,14780,25,332,2013,Carajás
150220,CAPANEMA,5311,631,137,34491,17,4,2022,Rio Caeté
150220,CAPANEMA,4461,562,59,34836,20,324,2013,Rio Caeté
150230,CAPITÃO POÇO,838,198,80,40019,156,4,2022,Rio Capim
150230,CAPITÃO POÇO,632,171,45,36918,228,264,2013,Rio Capim
150240,CASTANHAL,10499,3258,229,87141,52,1311,2013,Guamá
150240,CASTANHAL,13981,4310,369,91126,52,16,2022,Guamá
150250,CHAVES,287,212,38,14995,3,288,2013,Marajó
150250,CHAVES,204,139,42,17039,0,0,2022,Marajó
150260,COLARES,1171,158,32,6414,16,44,2013,Guamá
150260,COLARES,1553,304,44,7652,6,1,2022,Guamá
150270,CONCEIÇÃO DO ARAGUAIA,4040,2456,100,21831,57,5,2022,Araguaia
150270,CONCEIÇÃO DO ARAGUAIA,4713,2672,101,21237,55,383,2013,Araguaia
150275,CONCÓRDIA DO PARÁ,1037,1022,41,18744,9,180,2013,Rio Capim
150275,CONCÓRDIA DO PARÁ,1805,1427,91,20828,5,1,2022,Rio Capim
150276,CUMARU DO NORTE,1106,459,65,4585,845,3,2022,Araguaia
150276,CUMARU DO NORTE,948,690,87,3888,657,60,2013,Araguaia
150277,CURIONÓPOLIS,2487,1110,103,11427,22,0,2022,Carajás
150277,CURIONÓPOLIS,2924,1336,109,11534,33,46,2013,Carajás
150280,CURRALINHO,1117,644,31,23399,21,89,2013,Marajó
150280,CURRALINHO,946,643,71,27732,15,3,2022,Marajó
150285,CURUÁ,1505,415,24,8633,0,58,2013,Baixo Amazonas
150285,CURUÁ,1506,362,101,10713,3,0,2022,Baixo Amazonas
150290,CURUÇÁ,1892,327,72,24352,6,332,2013,Guamá
150290,CURUÇÁ,3611,566,155,27544,86,3,2022,Guamá
150293,DOM ELISEU,3188,3437,504,19360,20,7,2022,Rio Capim
150293,DOM ELISEU,3218,3589,164,18917,38,244,2013,Rio Capim
150295,ELDORADO DO CARAJÁS,3263,1361,127,17526,17,2,2022,Carajás
150295,ELDORADO DO CARAJÁS,2971,1622,71,14602,17,143,2013,Carajás
