Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total,Ano,RI
150010,ABAETETUBA,8707.0,7680.0,22673,5148,19082,24229,9988,8686,7260,5893,4607,3265,5620,132838,2022,Tocantins
150010,ABAETETUBA,,,24454,6132,16457,16663,6391,5538,4386,3454,2695,1931,2967,91068,2013,Tocantins
150013,ABEL FIGUEIREDO,387.0,394.0,1088,233,737,769,380,360,291,243,230,183,357,5652,2022,Rio Capim
150013,ABEL FIGUEIREDO,,,1145,250,627,763,330,263,211,177,133,84,99,4082,2013,Rio Capim
150020,ACARÁ,3324.0,3244.0,10350,2396,6218,7446,3193,2827,2354,2098,1652,1010,1700,47812,2022,Tocantins
150020,ACARÁ,,,10166,2162,5287,5377,2195,1927,1487,1186,838,577,766,31968,2013,Tocantins
150030,AFUÁ,,,8112,1681,3943,3540,1430,1205,931,727,555,321,431,22876,2013,Marajó
150030,AFUÁ,2806.0,2786.0,8131,1790,5613,5749,2083,1773,1429,1132,845,548,1093,35778,2022,Marajó
150034,ÁGUA AZUL DO NORTE,805.0,768.0,2215,504,1546,1658,757,662,590,503,462,376,800,11646,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,,,2727,621,1661,1878,764,594,527,421,347,290,511,10341,2013,Araguaia
150040,ALENQUER,,,12152,2478,4721,5469,2360,1922,1467,1187,928,867,1698,35249,2013,Baixo Amazonas
150040,ALENQUER,3401.0,3294.0,10550,2738,7138,6134,2648,2414,1982,1488,1246,942,2381,46356,2022,Baixo Amazonas
150050,ALMEIRIM,,,5894,1252,3671,3423,1213,961,828,662,524,346,540,19314,2013,Baixo Amazonas
150050,ALMEIRIM,2241.0,1948.0,5783,1254,3730,4274,1716,1413,1065,877,725,572,854,26452,2022,Baixo Amazonas
150060,ALTAMIRA,4619.0,5192.0,14560,2931,8658,9966,4628,4339,3353,2752,2418,2215,5552,71183,2022,Xingu
150060,ALTAMIRA,,,12832,2928,7379,7265,3254,2664,2162,1660,1229,916,1354,43643,2013,Xingu
150070,ANAJÁS,2738.0,2468.0,6898,1468,4802,4537,1754,1472,1164,847,614,452,1129,30343,2022,Marajó
150070,ANAJÁS,,,6529,1263,2991,3094,1193,903,658,544,407,318,572,18472,2013,Marajó
150080,ANANINDEUA,10717.0,13975.0,40980,9502,28910,33769,16752,16777,14686,13156,11056,9999,21666,241945,2022,Guajará
150080,ANANINDEUA,,,42181,9542,24009,21705,11038,9417,6761,4304,2909,2949,7182,141997,2013,Guajará
150085,ANAPU,,,4760,931,2531,2776,1055,755,666,522,440,276,372,15084,2013,Xingu
150085,ANAPU,1937.0,1874.0,5661,1269,3697,4078,1889,1629,1221,946,819,636,1302,26958,2022,Xingu
150090,AUGUSTO CORRÊA,,,9703,1983,5324,5863,2056,1661,1450,1163,980,747,1225,32155,2013,Rio Caeté
150090,AUGUSTO CORRÊA,2578.0,2539.0,8387,1920,5584,6442,2838,2493,1955,1727,1405,838,1245,39951,2022,Rio Caeté
150095,AURORA DO PARÁ,1430.0,1220.0,3944,923,2694,2918,1242,1160,995,827,742,469,961,19525,2022,Rio Capim
150095,AURORA DO PARÁ,,,4622,1015,2611,2451,1019,830,700,501,445,321,566,15081,2013,Rio Capim
150100,AVEIRO,,,3364,822,2103,1677,658,518,503,436,378,257,414,11130,2013,Tapajós
150100,AVEIRO,857.0,768.0,2279,538,1653,1735,647,614,485,419,363,308,566,11232,2022,Tapajós
150110,BAGRE,1739.0,1703.0,4946,1117,3146,2921,980,833,644,462,333,226,447,19497,2022,Marajó
150110,BAGRE,,,4448,886,2412,1973,720,611,426,306,259,184,295,12520,2013,Marajó
150120,BAIÃO,,,6080,1367,3622,3480,1406,1085,891,601,499,314,275,19620,2013,Tocantins
150120,BAIÃO,1986.0,1846.0,5398,1329,4120,4473,1794,1456,1299,978,777,417,719,26592,2022,Tocantins
150125,BANNACH,136.0,151.0,441,87,341,363,177,175,140,104,104,103,218,2540,2022,Araguaia
150125,BANNACH,,,572,142,351,403,183,155,110,90,69,62,113,2250,2013,Araguaia
150130,BARCARENA,4822.0,5061.0,15355,3501,9878,11367,5243,4567,3769,3176,2652,2250,4631,76272,2022,Tocantins
150130,BARCARENA,,,16300,3601,8752,9706,3972,2994,2307,1771,1305,952,1361,53021,2013,Tocantins
150140,BELÉM,33985.0,35561.0,114251,25795,84537,97517,48200,51178,46545,41846,36393,32038,71455,719301,2022,Guajará
150140,BELÉM,,,105335,23587,68707,65081,30666,26571,19300,12748,8404,6438,11484,378321,2013,Guajará
150145,BELTERRA,954.0,887.0,2998,680,1863,1899,935,926,769,626,562,523,983,14605,2022,Baixo Amazonas
150145,BELTERRA,,,3833,802,2019,2201,943,781,695,570,475,379,614,13312,2013,Baixo Amazonas
150150,BENEVIDES,,,8072,1760,4457,4959,2120,1598,1148,864,679,501,782,26940,2013,Guajará
150150,BENEVIDES,2980.0,3050.0,9229,2067,6086,7075,3317,3283,2639,2296,1859,1657,3433,48971,2022,Guajará
150157,BOM JESUS DO TOCANTINS,,,2222,522,1222,1281,527,449,359,268,236,191,342,7619,2013,Carajás
150157,BOM JESUS DO TOCANTINS,784.0,780.0,2172,458,1472,1460,638,602,552,439,434,368,833,10992,2022,Carajás
150160,BONITO,,,2228,484,1411,1595,626,481,409,325,280,173,219,8231,2013,Rio Caeté
150160,BONITO,696.0,560.0,1899,483,1542,1637,809,775,639,543,455,276,360,10674,2022,Rio Caeté
150170,BRAGANÇA,5837.0,5429.0,17704,4155,11874,13814,6618,6078,4958,4123,3334,2281,4101,90306,2022,Rio Caeté
150170,BRAGANÇA,,,20764,4502,11981,12503,5001,4208,3145,2448,1906,1383,2333,70174,2013,Rio Caeté
150172,BRASIL NOVO,,,2333,536,1538,1648,708,591,456,331,221,160,469,8991,2013,Xingu
150172,BRASIL NOVO,1005.0,922.0,2639,664,2168,2398,1073,1047,871,710,683,533,1260,15973,2022,Xingu
150175,BREJO GRANDE DO ARAGUAIA,365.0,360.0,1192,259,810,827,383,406,322,255,230,197,360,5966,2022,Carajás
150175,BREJO GRANDE DO ARAGUAIA,,,1452,332,957,968,357,286,255,229,178,155,201,5370,2013,Carajás
150178,BREU BRANCO,,,9240,1948,4796,4256,1609,1358,1137,862,700,597,1812,28315,2013,Lago Tucuruí
150178,BREU BRANCO,2472.0,2241.0,6552,1568,4251,4133,1903,1732,1364,1291,1153,1153,3078,32891,2022,Lago Tucuruí
150180,BREVES,7838.0,7128.0,21145,4596,13196,13588,4998,4440,3486,2841,2191,1565,3368,90380,2022,Marajó
150180,BREVES,,,21324,4153,9124,8659,3475,2796,2157,1799,1446,876,1481,57290,2013,Marajó
150190,BUJARU,1681.0,1584.0,4661,1114,3301,3862,1550,1418,1174,1061,809,478,745,23438,2022,Rio Capim
150190,BUJARU,,,5667,1281,3703,3300,1246,1072,838,599,518,398,701,19323,2013,Rio Capim
150195,CACHOEIRA DO PIRIÁ,,,4197,878,2256,2463,862,743,680,525,435,315,485,13839,2013,Rio Caeté
150195,CACHOEIRA DO PIRIÁ,1258.0,1188.0,3597,884,2610,2779,1218,1016,809,685,580,353,505,17482,2022,Rio Caeté
150200,CACHOEIRA DO ARARI,,,3996,891,2493,2545,919,736,630,541,398,257,366,13772,2013,Marajó
150200,CACHOEIRA DO ARARI,1070.0,1249.0,3927,858,2516,2882,1263,1122,876,783,608,384,644,18182,2022,Marajó
150210,CAMETÁ,6793.0,6526.0,21459,5069,17083,18692,7586,6233,5156,3994,2784,1430,2308,105113,2022,Tocantins
150210,CAMETÁ,,,24694,5467,14028,10995,4473,3599,2655,1834,1519,849,737,70850,2013,Tocantins
150215,CANAÃ DOS CARAJÁS,2693.0,2615.0,7227,1432,3805,5035,2294,2022,1456,1194,977,834,1574,33158,2022,Carajás
150215,CANAÃ DOS CARAJÁS,,,5103,961,2336,2971,1233,876,671,463,338,260,596,15808,2013,Carajás
150220,CAPANEMA,2113.0,2207.0,7204,1722,5088,5705,3053,2853,2547,2171,1858,1404,2666,40591,2022,Rio Caeté
150220,CAPANEMA,,,9458,2190,5529,6411,2899,2454,1926,1543,1143,721,1037,35311,2013,Rio Caeté
