Codigo,Municipio,Rural,Urbano,Ano,RI
150010,ABAETETUBA,59760,66371,2022,Tocantins
150010,ABAETETUBA,60419,67234,2022,Tocantins
150010,ABAETETUBA,61105,68138,2022,Tocantins
150010,ABAETETUBA,59292,65665,2022,Tocantins
150010,ABAETETUBA,58905,65176,2022,Tocantins
150010,ABAETETUBA,58689,64699,2022,Tocantins
150010,ABAETETUBA,62679,70153,2022,Tocantins
150010,ABAETETUBA,57135,62539,2022,Tocantins
150010,ABAETETUBA,57831,63491,2022,Tocantins
150010,ABAETETUBA,58221,63963,2022,Tocantins
150010,ABAETETUBA,62217,69571,2022,Tocantins
150010,ABAETETUBA,61879,68992,2022,Tocantins
150010,ABAETETUBA,48437,57168,2013,Tocantins
150010,ABAETETUBA,47691,57024,2013,Tocantins
150010,ABAETETUBA,48621,56753,2013,Tocantins
150010,ABAETETUBA,47359,57087,2013,Tocantins
150010,ABAETETUBA,46961,57287,2013,Tocantins
150010,ABAETETUBA,46262,57530,2013,Tocantins
150010,ABAETETUBA,45873,57772,2013,Tocantins
150010,ABAETETUBA,44607,58134,2013,Tocantins
150010,ABAETETUBA,44531,58244,2013,Tocantins
150010,ABAETETUBA,44074,58173,2013,Tocantins
150010,ABAETETUBA,46007,57116,2013,Tocantins
150010,ABAETETUBA,45488,57864,2013,Tocantins
150013,ABEL FIGUEIREDO,1091,4561,2022,Rio Capim
150013,ABEL FIGUEIREDO,1023,4294,2022,Rio Capim
150013,ABEL FIGUEIREDO,1067,4520,2022,Rio Capim
150013,ABEL FIGUEIREDO,977,4136,2022,Rio Capim
150013,ABEL FIGUEIREDO,1013,4202,2022,Rio Capim
150013,ABEL FIGUEIREDO,1024,4339,2022,Rio Capim
150013,ABEL FIGUEIREDO,1044,4382,2022,Rio Capim
150013,ABEL FIGUEIREDO,1075,4592,2022,Rio Capim
150013,ABEL FIGUEIREDO,1030,4261,2022,Rio Capim
150013,ABEL FIGUEIREDO,1005,4195,2022,Rio Capim
150013,ABEL FIGUEIREDO,1090,4631,2022,Rio Capim
150013,ABEL FIGUEIREDO,1048,4410,2022,Rio Capim
150013,ABEL FIGUEIREDO,625,4210,2013,Rio Capim
150013,ABEL FIGUEIREDO,607,4218,2013,Rio Capim
150013,ABEL FIGUEIREDO,624,4207,2013,Rio Capim
150013,ABEL FIGUEIREDO,534,4276,2013,Rio Capim
150013,ABEL FIGUEIREDO,449,4284,2013,Rio Capim
150013,ABEL FIGUEIREDO,399,4312,2013,Rio Capim
150013,ABEL FIGUEIREDO,351,4432,2013,Rio Capim
150013,ABEL FIGUEIREDO,351,4433,2013,Rio Capim
150013,ABEL FIGUEIREDO,401,4330,2013,Rio Capim
150013,ABEL FIGUEIREDO,374,4353,2013,Rio Capim
150013,ABEL FIGUEIREDO,366,4388,2013,Rio Capim
150013,ABEL FIGUEIREDO,340,4397,2013,Rio Capim
150020,ACARÁ,36880,9038,2022,Tocantins
150020,ACARÁ,35742,8968,2022,Tocantins
150020,ACARÁ,35270,8912,2022,Tocantins
150020,ACARÁ,37630,9122,2022,Tocantins
150020,ACARÁ,34758,8854,2022,Tocantins
150020,ACARÁ,36501,8998,2022,Tocantins
150020,ACARÁ,37240,9065,2022,Tocantins
150020,ACARÁ,38279,9234,2022,Tocantins
150020,ACARÁ,38041,9184,2022,Tocantins
150020,ACARÁ,35973,9003,2022,Tocantins
150020,ACARÁ,38528,9284,2022,Tocantins
150020,ACARÁ,35064,8912,2022,Tocantins
150020,ACARÁ,26503,11169,2013,Tocantins
150020,ACARÁ,26148,11203,2013,Tocantins
150020,ACARÁ,26580,11103,2013,Tocantins
150020,ACARÁ,26014,11241,2013,Tocantins
150020,ACARÁ,25636,11312,2013,Tocantins
150020,ACARÁ,24774,11466,2013,Tocantins
150020,ACARÁ,24196,11620,2013,Tocantins
150020,ACARÁ,23909,11706,2013,Tocantins
150020,ACARÁ,22259,11443,2013,Tocantins
150020,ACARÁ,21721,11333,2013,Tocantins
150020,ACARÁ,24789,11533,2013,Tocantins
150020,ACARÁ,23370,11749,2013,Tocantins
150030,AFUÁ,8798,17016,2013,Marajó
150030,AFUÁ,10774,15106,2013,Marajó
150030,AFUÁ,8600,17287,2013,Marajó
150030,AFUÁ,8609,17236,2013,Marajó
150030,AFUÁ,10584,15243,2013,Marajó
150030,AFUÁ,11280,14654,2013,Marajó
150030,AFUÁ,11295,14588,2013,Marajó
150030,AFUÁ,12306,13809,2013,Marajó
150030,AFUÁ,13019,13398,2013,Marajó
150030,AFUÁ,14856,12611,2013,Marajó
150030,AFUÁ,13808,13138,2013,Marajó
150030,AFUÁ,14382,12966,2013,Marajó
150030,AFUÁ,24447,8917,2022,Marajó
150030,AFUÁ,25002,9109,2022,Marajó
150030,AFUÁ,26048,9184,2022,Marajó
150030,AFUÁ,24452,8876,2022,Marajó
150030,AFUÁ,26526,9252,2022,Marajó
150030,AFUÁ,24628,9083,2022,Marajó
150030,AFUÁ,26361,9261,2022,Marajó
150030,AFUÁ,24440,8872,2022,Marajó
150030,AFUÁ,26450,9265,2022,Marajó
150030,AFUÁ,25215,9083,2022,Marajó
150030,AFUÁ,25706,9103,2022,Marajó
150030,AFUÁ,25510,9073,2022,Marajó
150034,ÁGUA AZUL DO NORTE,4281,7365,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4273,7353,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4107,7101,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4186,7197,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4165,7190,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4146,7119,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,3882,6878,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4064,7077,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4226,7251,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,3953,6947,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4000,7012,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,4259,7305,2022,Araguaia
150034,ÁGUA AZUL DO NORTE,3465,8451,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3455,8481,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3444,8456,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3449,8490,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3467,8474,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3461,8456,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3515,8581,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3432,9024,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3392,9077,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3500,8536,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3389,8943,2013,Araguaia
150034,ÁGUA AZUL DO NORTE,3523,8629,2013,Araguaia
150040,ALENQUER,20263,21482,2013,Baixo Amazonas
150040,ALENQUER,20538,21434,2013,Baixo Amazonas
150040,ALENQUER,20021,21478,2013,Baixo Amazonas
150040,ALENQUER,20209,21515,2013,Baixo Amazonas
150040,ALENQUER,20327,21490,2013,Baixo Amazonas
150040,ALENQUER,20347,21444,2013,Baixo Amazonas
150040,ALENQUER,20323,21404,2013,Baixo Amazonas
150040,ALENQUER,20244,21303,2013,Baixo Amazonas
150040,ALENQUER,20416,21419,2013,Baixo Amazonas
150040,ALENQUER,20478,21422,2013,Baixo Amazonas
150040,ALENQUER,20893,21510,2013,Baixo Amazonas
150040,ALENQUER,20750,21544,2013,Baixo Amazonas
