Codigo,Municipio,Homens,Mulheres,Total
15,Pará,3821837,3759214,7581051
1500107,Abaetetuba (PA),71630,69470,141100
1500131,Abel Figueiredo (PA),3533,3247,6780
1500206,Acará (PA),28115,25454,53569
1500305,Afuá (PA),18453,16589,35042
1500347,Água Azul do Norte (PA),13618,11439,25057
1500404,Alenquer (PA),27030,25596,52626
1500503,Almeirim (PA),17468,16146,33614
1500602,Altamira (PA),49819,49256,99075
1500701,Anajás (PA),12957,11802,24759
1500800,Ananindeua (PA),226635,245345,471980
1500859,Anapu (PA),10992,9551,20543
1500909,Augusto Corrêa (PA),20989,19508,40497
1500958,Aurora do Pará (PA),13620,12926,26546
1501006,Aveiro (PA),8367,7482,15849
1501105,Bagre (PA),12135,11729,23864
1501204,Baião (PA),19446,17436,36882
1501253,Bannach (PA),1847,1584,3431
1501303,Barcarena (PA),50346,49513,99859
1501402,Belém (PA),659008,734391,1393399
1501451,Belterra (PA),8481,7837,16318
1501501,Benevides (PA),25815,25836,51651
1501576,Bom Jesus do Tocantins (PA),8051,7247,15298
1501600,Bonito (PA),7114,6516,13630
1501709,Bragança (PA),57291,55936,113227
1501725,Brasil Novo (PA),8314,7376,15690
1501758,Brejo Grande do Araguaia (PA),3832,3485,7317
1501782,Breu Branco (PA),27085,25408,52493
1501808,Breves (PA),47788,45072,92860
1501907,Bujaru (PA),13335,12360,25695
1501956,Cachoeira do Piriá (PA),13720,12764,26484
1502004,Cachoeira do Arari (PA),10545,9898,20443
1502103,Cametá (PA),62016,58880,120896
1502152,Canaã dos Carajás (PA),13585,13131,26716
1502202,Capanema (PA),31494,32145,63639
1502301,Capitão Poço (PA),26621,25272,51893
1502400,Castanhal (PA),84476,88673,173149
1502509,Chaves (PA),11180,9825,21005
1502608,Colares (PA),5879,5502,11381
1502707,Conceição do Araguaia (PA),23309,22248,45557
1502756,Concórdia do Pará (PA),14590,13626,28216
1502764,Cumaru do Norte (PA),6081,4385,10466
1502772,Curionópolis (PA),9666,8622,18288
1502806,Curralinho (PA),15059,13490,28549
1502855,Curuá (PA),6456,5798,12254
1502905,Curuçá (PA),17568,16726,34294
1502939,Dom Eliseu (PA),26624,24695,51319
1502954,Eldorado do Carajás (PA),16814,14972,31786
1503002,Faro (PA),4240,3937,8177
1503044,Floresta do Araguaia (PA),9551,8217,17768
1503077,Garrafão do Norte (PA),13107,11927,25034
1503093,Goianésia do Pará (PA),15750,14686,30436
1503101,Gurupá (PA),15400,13662,29062
1503200,Igarapé-Açu (PA),18117,17770,35887
1503309,Igarapé-Miri (PA),29674,28403,58077
1503408,Inhangapi (PA),5170,4867,10037
1503457,Ipixuna do Pará (PA),26904,24405,51309
1503507,Irituia (PA),16261,15103,31364
1503606,Itaituba (PA),49681,47812,97493
1503705,Itupiranga (PA),27026,24194,51220
1503754,Jacareacanga (PA),8037,6066,14103
1503804,Jacundá (PA),25769,25591,51360
1503903,Juruti (PA),24578,22508,47086
1504000,Limoeiro do Ajuru (PA),13115,11906,25021
1504059,Mãe do Rio (PA),13740,14164,27904
1504109,Magalhães Barata (PA),4258,3857,8115
1504208,Marabá (PA),118196,115473,233669
1504307,Maracanã (PA),14699,13677,28376
1504406,Marapanim (PA),13884,12721,26605
1504422,Marituba (PA),53884,54362,108246
1504455,Medicilândia (PA),14888,12440,27328
1504505,Melgaço (PA),13227,11581,24808
1504604,Mocajuba (PA),13747,12984,26731
1504703,Moju (PA),36666,33352,70018
1504802,Monte Alegre (PA),28508,26954,55462
1504901,Muaná (PA),17906,16298,34204
1504950,Nova Esperança do Piriá (PA),10643,9515,20158
1504976,Nova Ipixuna (PA),7731,6914,14645
1505007,Nova Timboteua (PA),7082,6588,13670
1505031,Novo Progresso (PA),13435,11689,25124
1505064,Novo Repartimento (PA),32748,29302,62050
1505106,Óbidos (PA),25563,23770,49333
1505205,Oeiras do Pará (PA),15017,13578,28595
1505304,Oriximiná (PA),31756,31038,62794
1505403,Ourém (PA),8443,7868,16311
1505437,Ourilândia do Norte (PA),14270,13089,27359
