Codigo,Município,Urbana,Rural,Total
1500107,Abaetetuba (PA),82998,58102,141100
1500131,Abel Figueiredo (PA),6034,746,6780
1500206,Acará (PA),12621,40948,53569
1500305,Afuá (PA),9478,25564,35042
1500347,Água Azul do Norte (PA),4876,20181,25057
1500404,Alenquer (PA),27722,24904,52626
1500503,Almeirim (PA),19965,13649,33614
1500602,Altamira (PA),84092,14983,99075
1500701,Anajás (PA),9494,15265,24759
1500800,Ananindeua (PA),470819,1161,471980
1500859,Anapu (PA),9833,10710,20543
1500909,Augusto Corrêa (PA),18240,22257,40497
1500958,Aurora do Pará (PA),8168,18378,26546
1501006,Aveiro (PA),3179,12670,15849
1501105,Bagre (PA),10661,13203,23864
1501204,Baião (PA),18555,18327,36882
1501253,Bannach (PA),1282,2149,3431
1501303,Barcarena (PA),36297,63562,99859
1501402,Belém (PA),1381475,11924,1393399
1501451,Belterra (PA),6852,9466,16318
1501501,Benevides (PA),28912,22739,51651
1501576,Bom Jesus do Tocantins (PA),8158,7140,15298
1501600,Bonito (PA),3827,9803,13630
1501709,Bragança (PA),72621,40606,113227
1501725,Brasil Novo (PA),6899,8791,15690
1501758,Brejo Grande do Araguaia (PA),4308,3009,7317
1501782,Breu Branco (PA),29308,23185,52493
1501808,Breves (PA),46560,46300,92860
1501907,Bujaru (PA),8099,17596,25695
1501956,Cachoeira do Piriá (PA),5532,20952,26484
1502004,Cachoeira do Arari (PA),7356,13087,20443
1502103,Cametá (PA),52838,68058,120896
1502152,Canaã dos Carajás (PA),20727,5989,26716
1502202,Capanema (PA),50732,12907,63639
1502301,Capitão Poço (PA),21441,30452,51893
1502400,Castanhal (PA),153378,19771,173149
1502509,Chaves (PA),2510,18495,21005
1502608,Colares (PA),3661,7720,11381
1502707,Conceição do Araguaia (PA),32464,13093,45557
1502756,Concórdia do Pará (PA),15088,13128,28216
1502764,Cumaru do Norte (PA),2711,7755,10466
1502772,Curionópolis (PA),12530,5758,18288
1502806,Curralinho (PA),10930,17619,28549
1502855,Curuá (PA),5781,6473,12254
1502905,Curuçá (PA),12174,22120,34294
1502939,Dom Eliseu (PA),32516,18803,51319
1502954,Eldorado do Carajás (PA),16578,15208,31786
1503002,Faro (PA),6128,2049,8177
1503044,Floresta do Araguaia (PA),8714,9054,17768
1503077,Garrafão do Norte (PA),8607,16427,25034
1503093,Goianésia do Pará (PA),21082,9354,30436
1503101,Gurupá (PA),9580,19482,29062
1503200,Igarapé-Açu (PA),21207,14680,35887
1503309,Igarapé-Miri (PA),26205,31872,58077
1503408,Inhangapi (PA),2771,7266,10037
1503457,Ipixuna do Pará (PA),12227,39082,51309
1503507,Irituia (PA),6524,24840,31364
1503606,Itaituba (PA),70682,26811,97493
1503705,Itupiranga (PA),20490,30730,51220
1503754,Jacareacanga (PA),4930,9173,14103
1503804,Jacundá (PA),45683,5677,51360
1503903,Juruti (PA),15852,31234,47086
1504000,Limoeiro do Ajuru (PA),6197,18824,25021
1504059,Mãe do Rio (PA),23052,4852,27904
1504109,Magalhães Barata (PA),3795,4320,8115
1504208,Marabá (PA),186270,47399,233669
1504307,Maracanã (PA),11656,16720,28376
1504406,Marapanim (PA),11704,14901,26605
1504422,Marituba (PA),107123,1123,108246
1504455,Medicilândia (PA),9559,17769,27328
1504505,Melgaço (PA),5503,19305,24808
1504604,Mocajuba (PA),18279,8452,26731
1504703,Moju (PA),25162,44856,70018
1504802,Monte Alegre (PA),24565,30897,55462
1504901,Muaná (PA),14521,19683,34204
1504950,Nova Esperança do Piriá (PA),7964,12194,20158
1504976,Nova Ipixuna (PA),7726,6919,14645
1505007,Nova Timboteua (PA),5520,8150,13670
1505031,Novo Progresso (PA),17717,7407,25124
1505064,Novo Repartimento (PA),27950,34100,62050
1505106,Óbidos (PA),25466,23867,49333
1505205,Oeiras do Pará (PA),11432,17163,28595
1505304,Oriximiná (PA),40147,22647,62794
1505403,Ourém (PA),7438,8873,16311
1505437,Ourilândia do Norte (PA),19913,7446,27359
1505486,Pacajá (PA),13747,26232,39979
1505494,Palestina do Pará (PA),4546,2929,7475
1505502,Paragominas (PA),76511,21308,97819
1505536,Parauapebas (PA),138690,15218,153908
1505551,Pau D'Arco (PA),3641,2392,6033
1505601,Peixe-Boi (PA),4169,3685,7854
1505635,Piçarra (PA),3581,9116,12697
1505650,Placas (PA),4854,19080,23934
1505700,Ponta de Pedras (PA),12424,13575,25999
1505809,Portel (PA),24852,27320,52172
1505908,Porto de Moz (PA),14583,19373,33956
1506005,Prainha (PA),8959,20390,29349
1506104,Primavera (PA),6391,3877,10268
1506112,Quatipuru (PA),5313,7098,12411
1506138,Redenção (PA),70065,5491,75556
1506161,Rio Maria (PA),13512,4185,17697
1506187,Rondon do Pará (PA),34696,12268,46964
1506195,Rurópolis (PA),15273,24814,40087
1506203,Salinópolis (PA),33391,4030,37421
1506302,Salvaterra (PA),12672,7511,20183
1506351,Santa Bárbara do Pará (PA),5458,11683,17141
1506401,Santa Cruz do Arari (PA),3994,4161,8155
1506500,Santa Izabel do Pará (PA),43000,16466,59466
1506559,Santa Luzia do Pará (PA),8693,10731,19424
1506583,Santa Maria das Barreiras (PA),6357,10849,17206
1506609,Santa Maria do Pará (PA),13328,9698,23026
1506708,Santana do Araguaia (PA),29663,26490,56153
1506807,Santarém (PA),215790,78790,294580
1506906,Santarém Novo (PA),1809,4332,6141
1507003,Santo Antônio do Tauá (PA),14871,11803,26674
1507102,São Caetano de Odivelas (PA),6958,9933,16891
1507151,São Domingos do Araguaia (PA),15254,7876,23130
