Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total
150010,ABAETETUBA,5256.0,5309.0,6138.0,6820.0,6297.0,4818.0,,3192.0,2422.0,2079.0,1755.0,1403.0,4411.0,141100.0
150013,ABEL FIGUEIREDO,254.0,265.0,287.0,277.0,248.0,229.0,,155.0,117.0,97.0,94.0,60.0,220.0,6780.0
150020,ACARÁ,2447.0,2515.0,2675.0,2438.0,2212.0,1606.0,,1145.0,862.0,665.0,613.0,523.0,1532.0,53569.0
150030,AFUÁ,1835.0,1904.0,1938.0,1740.0,1357.0,1072.0,,669.0,455.0,420.0,337.0,246.0,838.0,35042.0
150034,ÁGUA AZUL DO NORTE,740.0,875.0,947.0,869.0,1035.0,996.0,,821.0,508.0,415.0,261.0,204.0,380.0,25057.0
150040,ALENQUER,2432.0,2737.0,2665.0,2547.0,1881.0,1572.0,,1041.0,769.0,753.0,582.0,524.0,1961.0,52626.0
150050,ALMEIRIM,1541.0,1564.0,1643.0,1588.0,1314.0,1121.0,,743.0,611.0,497.0,364.0,268.0,785.0,33614.0
150060,ALTAMIRA,3720.0,3817.0,4165.0,4211.0,4000.0,3543.0,,2365.0,1922.0,1585.0,1202.0,899.0,2759.0,99075.0
150070,ANAJÁS,1411.0,1510.0,1397.0,1181.0,1019.0,693.0,,393.0,304.0,267.0,199.0,155.0,528.0,24759.0
150080,ANANINDEUA,14703.0,15295.0,17578.0,18168.0,19028.0,17812.0,,13514.0,10745.0,9126.0,6593.0,4859.0,11672.0,471980.0
150085,ANAPU,985.0,940.0,954.0,965.0,871.0,724.0,,450.0,318.0,319.0,268.0,184.0,372.0,20543.0
150090,AUGUSTO CORRÊA,1920.0,2036.0,2007.0,1952.0,1600.0,1249.0,,774.0,605.0,538.0,464.0,406.0,1219.0,40497.0
150095,AURORA DO PARÁ,1038.0,1109.0,1220.0,1152.0,1067.0,854.0,,583.0,441.0,344.0,298.0,259.0,716.0,26546.0
150100,AVEIRO,739.0,820.0,817.0,757.0,572.0,426.0,,308.0,269.0,244.0,195.0,147.0,515.0,15849.0
150110,BAGRE,1314.0,1370.0,1335.0,1169.0,896.0,706.0,,454.0,257.0,245.0,195.0,196.0,436.0,23864.0
150120,BAIÃO,1487.0,1722.0,1752.0,1627.0,1501.0,1243.0,,805.0,598.0,485.0,410.0,339.0,972.0,36882.0
150125,BANNACH,123.0,148.0,141.0,122.0,127.0,115.0,,81.0,60.0,67.0,58.0,40.0,94.0,3431.0
150130,BARCARENA,4058.0,4041.0,4295.0,4368.0,4166.0,3511.0,,2394.0,1814.0,1518.0,1051.0,805.0,2188.0,99859.0
150140,BELÉM,39672.0,40106.0,46372.0,50496.0,53773.0,51069.0,,40920.0,33901.0,29313.0,22269.0,17735.0,56774.0,1393399.0
150145,BELTERRA,666.0,785.0,787.0,679.0,549.0,474.0,,301.0,289.0,265.0,246.0,180.0,701.0,16318.0
150150,BENEVIDES,1796.0,1958.0,2223.0,2171.0,2049.0,1868.0,,1323.0,1038.0,885.0,657.0,470.0,1455.0,51651.0
150157,BOM JESUS DO TOCANTINS,559.0,595.0,600.0,632.0,617.0,507.0,,383.0,337.0,243.0,263.0,186.0,514.0,15298.0
150160,BONITO,586.0,562.0,628.0,563.0,552.0,532.0,,312.0,215.0,199.0,161.0,140.0,407.0,13630.0
150170,BRAGANÇA,4626.0,4789.0,5029.0,5025.0,4734.0,3761.0,,2464.0,1976.0,1743.0,1385.0,1132.0,3950.0,113227.0
150172,BRASIL NOVO,599.0,601.0,677.0,673.0,627.0,511.0,,408.0,350.0,260.0,234.0,168.0,542.0,15690.0
150175,BREJO GRANDE DO ARAGUAIA,312.0,310.0,351.0,353.0,287.0,216.0,,156.0,137.0,138.0,99.0,74.0,252.0,7317.0
150178,BREU BRANCO,2417.0,2520.0,2548.0,2248.0,2151.0,1756.0,,1107.0,854.0,782.0,624.0,469.0,1171.0,52493.0
150180,BREVES,4853.0,4931.0,4925.0,4456.0,3604.0,2750.0,,1684.0,1273.0,1102.0,975.0,707.0,2504.0,92860.0
150190,BUJARU,1067.0,1275.0,1316.0,1207.0,1039.0,779.0,,624.0,392.0,345.0,294.0,235.0,793.0,25695.0
150195,CACHOEIRA DO PIRIÁ,1323.0,1463.0,1368.0,1043.0,1041.0,790.0,,590.0,394.0,346.0,251.0,177.0,387.0,26484.0
150200,CACHOEIRA DO ARARI,846.0,874.0,903.0,894.0,827.0,689.0,,523.0,414.0,310.0,242.0,202.0,821.0,20443.0
150210,CAMETÁ,5433.0,5440.0,5674.0,5636.0,5184.0,3910.0,,2294.0,1771.0,1545.0,1429.0,1094.0,4112.0,120896.0
150215,CANAÃ DOS CARAJÁS,1131.0,1121.0,1087.0,1092.0,1129.0,1002.0,,628.0,486.0,357.0,250.0,178.0,423.0,26716.0
150220,CAPANEMA,2141.0,2208.0,2528.0,2689.0,2552.0,2126.0,,1554.0,1304.0,1092.0,960.0,690.0,2658.0,63639.0
150230,CAPITÃO POÇO,1948.0,2165.0,2518.0,2504.0,2145.0,1624.0,,1197.0,900.0,746.0,621.0,484.0,1737.0,51893.0
150240,CASTANHAL,6152.0,6118.0,6877.0,7219.0,7266.0,6264.0,,4426.0,3494.0,2865.0,2129.0,1657.0,5220.0,173149.0
150250,CHAVES,1055.0,1123.0,1068.0,929.0,828.0,587.0,,440.0,326.0,276.0,246.0,192.0,565.0,21005.0
150260,COLARES,478.0,448.0,514.0,541.0,420.0,325.0,,265.0,203.0,165.0,161.0,131.0,539.0,11381.0
150270,CONCEIÇÃO DO ARAGUAIA,1572.0,1712.0,1928.0,1942.0,1636.0,1425.0,,1172.0,899.0,838.0,680.0,596.0,1887.0,45557.0
150275,CONCÓRDIA DO PARÁ,1282.0,1356.0,1326.0,1338.0,1257.0,972.0,,615.0,378.0,315.0,307.0,285.0,848.0,28216.0
150276,CUMARU DO NORTE,433.0,453.0,424.0,358.0,350.0,404.0,,323.0,279.0,201.0,125.0,102.0,109.0,10466.0
150277,CURIONÓPOLIS,707.0,760.0,786.0,843.0,694.0,525.0,,343.0,361.0,354.0,298.0,209.0,745.0,18288.0
150280,CURRALINHO,1655.0,1694.0,1557.0,1396.0,1151.0,803.0,,462.0,363.0,290.0,232.0,200.0,696.0,28549.0
150285,CURUÁ,588.0,713.0,635.0,557.0,486.0,321.0,,227.0,185.0,170.0,107.0,99.0,340.0,12254.0
150290,CURUÇÁ,1288.0,1433.0,1589.0,1484.0,1294.0,1007.0,,780.0,614.0,607.0,431.0,421.0,1692.0,34294.0
150293,DOM ELISEU,2053.0,2242.0,2269.0,2057.0,2147.0,1892.0,,1272.0,934.0,756.0,545.0,420.0,966.0,51319.0
150295,ELDORADO DO CARAJÁS,1372.0,1394.0,1491.0,1378.0,1255.0,936.0,,733.0,597.0,537.0,402.0,318.0,695.0,31786.0
150300,FARO,393.0,449.0,387.0,430.0,310.0,241.0,,140.0,137.0,143.0,104.0,73.0,274.0,8177.0
150304,FLORESTA DO ARAGUAIA,724.0,755.0,820.0,747.0,702.0,609.0,,436.0,312.0,314.0,244.0,176.0,476.0,17768.0
