"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Idade";"Ano x Cor ou raça x Sexo"
"Cód.";"Unidade da Federação e Município";"Idade";"2022"
"Cód.";"Unidade da Federação e Município";"Idade";"Total";"Branca";"Preta";"Amarela";"Parda";"Indígena"
"Cód.";"Unidade da Federação e Município";"Idade";"Total";"Total";"Total";"Total";"Total";"Total"
"15";"Pará";"Total";"8120131";"1570281";"793621";"12432";"5673446";"69180"
"1500107";"Abaetetuba (PA)";"Total";"158188";"29624";"15895";"107";"112187";"83"
"1500131";"Abel Figueiredo (PA)";"Total";"6136";"1228";"640";"-";"4258";"10"
"1500206";"Acará (PA)";"Total";"59023";"5684";"8503";"65";"44748";"23"
"1500305";"Afuá (PA)";"Total";"37765";"5470";"2567";"24";"29690";"12"
"1500347";"Água Azul do Norte (PA)";"Total";"18080";"4451";"1829";"13";"11609";"176"
"1500404";"Alenquer (PA)";"Total";"69377";"10431";"5405";"41";"53463";"36"
"1500503";"Almeirim (PA)";"Total";"34280";"5102";"2583";"12";"25498";"1085"
"1500602";"Altamira (PA)";"Total";"126279";"29118";"12939";"329";"77948";"5944"
"1500701";"Anajás (PA)";"Total";"28011";"3900";"1610";"8";"22488";"5"
"1500800";"Ananindeua (PA)";"Total";"478778";"112106";"53576";"949";"311624";"508"
"1500859";"Anapu (PA)";"Total";"31850";"6182";"3497";"215";"21015";"941"
"1500909";"Augusto Corrêa (PA)";"Total";"44573";"5022";"1430";"8";"38105";"8"
"1500958";"Aurora do Pará (PA)";"Total";"23774";"3005";"2617";"18";"18085";"49"
"1501006";"Aveiro (PA)";"Total";"18290";"1720";"1004";"18";"12581";"2967"
"1501105";"Bagre (PA)";"Total";"31892";"3185";"2974";"6";"25726";"1"
"1501204";"Baião (PA)";"Total";"51641";"5955";"11813";"12";"33810";"51"
"1501253";"Bannach (PA)";"Total";"4031";"726";"414";"8";"2667";"216"
"1501303";"Barcarena (PA)";"Total";"126650";"22494";"10492";"234";"93144";"284"
"1501402";"Belém (PA)";"Total";"1303403";"342476";"149395";"3298";"806103";"2069"
"1501451";"Belterra (PA)";"Total";"18099";"2394";"937";"52";"14012";"704"
"1501501";"Benevides (PA)";"Total";"63567";"12040";"6258";"119";"45082";"68"
"1501576";"Bom Jesus do Tocantins (PA)";"Total";"18005";"3963";"1314";"18";"11633";"1077"
"1501600";"Bonito (PA)";"Total";"12622";"2075";"680";"9";"9856";"2"
"1501709";"Bragança (PA)";"Total";"123082";"16431";"5413";"57";"101085";"94"
"1501725";"Brasil Novo (PA)";"Total";"24718";"5996";"2850";"21";"15457";"393"
"1501758";"Brejo Grande do Araguaia (PA)";"Total";"6783";"1140";"782";"5";"4774";"82"
"1501782";"Breu Branco (PA)";"Total";"45712";"7787";"5254";"49";"32526";"96"
"1501808";"Breves (PA)";"Total";"106968";"15892";"7566";"118";"83288";"104"
"1501907";"Bujaru (PA)";"Total";"24383";"2546";"3060";"19";"18732";"26"
"1501956";"Cachoeira do Piriá (PA)";"Total";"19630";"2712";"2470";"5";"14412";"31"
"1502004";"Cachoeira do Arari (PA)";"Total";"23981";"2124";"3508";"14";"18319";"16"
"1502103";"Cametá (PA)";"Total";"134184";"23161";"10565";"55";"100277";"125"
"1502152";"Canaã dos Carajás (PA)";"Total";"77079";"16694";"7515";"204";"52546";"120"
"1502202";"Capanema (PA)";"Total";"70394";"16489";"3796";"149";"49858";"102"
"1502301";"Capitão Poço (PA)";"Total";"56506";"8253";"3059";"43";"45081";"69"
"1502400";"Castanhal (PA)";"Total";"192256";"42881";"16429";"719";"132079";"144"
"1502509";"Chaves (PA)";"Total";"20757";"2620";"2692";"40";"15381";"24"
"1502608";"Colares (PA)";"Total";"12868";"2165";"834";"2";"9855";"12"
"1502707";"Conceição do Araguaia (PA)";"Total";"44617";"9601";"5992";"142";"28776";"102"
"1502756";"Concórdia do Pará (PA)";"Total";"26881";"3659";"4594";"52";"18543";"33"
"1502764";"Cumaru do Norte (PA)";"Total";"14036";"2273";"1502";"12";"7246";"2446"
"1502772";"Curionópolis (PA)";"Total";"19950";"4019";"2192";"15";"13693";"31"
"1502806";"Curralinho (PA)";"Total";"33903";"4925";"2117";"13";"26835";"13"
"1502855";"Curuá (PA)";"Total";"14117";"1741";"813";"1";"11552";"10"
"1502905";"Curuçá (PA)";"Total";"41262";"7190";"2159";"33";"31857";"23"
"1502939";"Dom Eliseu (PA)";"Total";"58484";"13176";"6145";"82";"39034";"47"
"1502954";"Eldorado do Carajás (PA)";"Total";"28192";"5526";"3409";"22";"19198";"37"
"1503002";"Faro (PA)";"Total";"8728";"1129";"201";"1";"7314";"83"
"1503044";"Floresta do Araguaia (PA)";"Total";"17898";"3816";"1896";"23";"12134";"29"
"1503077";"Garrafão do Norte (PA)";"Total";"24703";"3324";"1523";"29";"19819";"8"
"1503093";"Goianésia do Pará (PA)";"Total";"26362";"5095";"2860";"15";"18279";"112"
"1503101";"Gurupá (PA)";"Total";"31786";"5092";"1992";"8";"24643";"51"
"1503200";"Igarapé-Açu (PA)";"Total";"35797";"6803";"2108";"105";"26754";"25"
"1503309";"Igarapé-Miri (PA)";"Total";"64831";"11507";"11062";"24";"42215";"23"
"1503408";"Inhangapi (PA)";"Total";"10325";"1030";"1569";"10";"7709";"7"
"1503457";"Ipixuna do Pará (PA)";"Total";"30329";"4748";"3052";"26";"22468";"35"
"1503507";"Irituia (PA)";"Total";"30955";"4224";"3023";"34";"23661";"12"
"1503606";"Itaituba (PA)";"Total";"123314";"23860";"13079";"135";"84202";"2035"
"1503705";"Itupiranga (PA)";"Total";"49754";"9112";"6270";"62";"33868";"442"
"1503754";"Jacareacanga (PA)";"Total";"24042";"1854";"1214";"17";"7141";"13816"
"1503804";"Jacundá (PA)";"Total";"37707";"7819";"4488";"62";"25293";"42"
"1503903";"Juruti (PA)";"Total";"50881";"6241";"2538";"69";"41921";"112"
"1504000";"Limoeiro do Ajuru (PA)";"Total";"29569";"5112";"1146";"2";"23296";"13"
"1504059";"Mãe do Rio (PA)";"Total";"34353";"6601";"2909";"50";"24779";"13"
"1504109";"Magalhães Barata (PA)";"Total";"8115";"1314";"379";"-";"6421";"1"
"1504208";"Marabá (PA)";"Total";"266533";"48548";"26407";"266";"190750";"552"
"1504307";"Maracanã (PA)";"Total";"25971";"4279";"1361";"5";"20309";"16"
"1504406";"Marapanim (PA)";"Total";"26573";"4166";"1385";"2";"21013";"7"
"1504422";"Marituba (PA)";"Total";"111785";"22505";"11256";"117";"77809";"94"
"1504455";"Medicilândia (PA)";"Total";"27094";"5461";"2625";"70";"18920";"18"
"1504505";"Melgaço (PA)";"Total";"27881";"3830";"3075";"14";"20950";"11"
"1504604";"Mocajuba (PA)";"Total";"27198";"5067";"3168";"6";"18910";"47"
"1504703";"Moju (PA)";"Total";"84094";"11124";"11077";"74";"61588";"230"
"1504752";"Mojuí dos Campos (PA)";"Total";"23501";"3500";"1301";"26";"18630";"44"
"1504802";"Monte Alegre (PA)";"Total";"60012";"10163";"3569";"101";"46122";"57"
"1504901";"Muaná (PA)";"Total";"45368";"6048";"2149";"4";"37166";"1"
"1504950";"Nova Esperança do Piriá (PA)";"Total";"20478";"3195";"1417";"24";"15810";"32"
"1504976";"Nova Ipixuna (PA)";"Total";"13955";"2057";"2235";"10";"9641";"8"
"1505007";"Nova Timboteua (PA)";"Total";"12806";"2135";"850";"13";"9804";"3"
"1505031";"Novo Progresso (PA)";"Total";"33638";"9787";"2721";"65";"20994";"71"
"1505064";"Novo Repartimento (PA)";"Total";"60732";"10802";"6568";"134";"42108";"1119"
"1505106";"Óbidos (PA)";"Total";"52229";"7840";"6399";"15";"37106";"868"
"1505205";"Oeiras do Pará (PA)";"Total";"33844";"2839";"3985";"9";"26996";"15"
"1505304";"Oriximiná (PA)";"Total";"68294";"9451";"9028";"38";"45975";"3802"
"1505403";"Ourém (PA)";"Total";"17855";"2407";"2015";"16";"13378";"39"
"1505437";"Ourilândia do Norte (PA)";"Total";"32467";"7164";"3135";"13";"20686";"1468"
"1505486";"Pacajá (PA)";"Total";"41097";"6988";"4249";"16";"29811";"33"
"1505494";"Palestina do Pará (PA)";"Total";"6885";"1252";"875";"5";"4748";"5"
"1505502";"Paragominas (PA)";"Total";"105550";"21410";"10702";"167";"71824";"1328"
