Cód.,Unidade da Federação e Município,Forma de declaração da idade,Menos de 1 ano,3 anos,4 anos,6 anos,7 anos,15 anos,16 anos,17 anos,18 anos,24 anos,25 anos,34 anos,40 anos,44 anos,45 anos,49 anos,50 anos,54 anos,55 anos,59 anos,60 anos,64 anos,70 anos,71 anos,72 anos,73 anos,74 anos,75 anos,76 anos,77 anos,78 anos,79 anos,80 anos,81 anos,82 anos,83 anos,84 anos,85 anos,86 anos,87 anos,88 anos,89 anos,90 anos,91 anos,92 anos,93 anos,94 anos,95 anos,96 anos,97 anos,98 anos,99 anos,100 anos ou mais
15,Pará,Total,120761,133283,131422,133670,138155,146880,146674,146285,146048,134263,139311,124989,141660,103611,108176,90977,94846,75015,75318,64750,65903,52147,38358,30704,32605,27071,25502,23861,21750,20011,19500,16199,16074,12004,14062,10640,9400,8250,7845,6390,5071,4493,4075,2974,2835,1923,1557,1217,1038,798,615,467,1664
1500107,Abaetetuba (PA),Total,2415,2490,2599,2472,2659,2745,2696,2895,2818,2952,3047,2460,2822,1947,2067,1825,1853,1379,1383,1165,1126,917,641,559,592,499,462,483,395,397,372,266,343,204,275,213,192,169,165,134,77,95,76,65,59,38,36,27,35,17,15,16,56
1500131,Abel Figueiredo (PA),Total,115,91,123,107,100,115,102,100,98,85,101,103,111,91,75,54,72,77,65,56,74,50,31,34,29,29,26,27,17,27,24,13,15,14,10,7,7,8,8,8,2,7,4,3,-,2,1,2,2,3,1,-,-
1500206,Acará (PA),Total,958,1045,1027,1058,1026,1262,1257,1253,1082,944,983,843,947,651,690,618,662,479,537,403,447,341,283,203,234,186,156,168,170,152,165,134,137,97,128,82,71,65,73,56,40,44,35,18,22,15,7,10,16,10,7,3,14
1500305,Afuá (PA),Total,741,870,803,816,860,828,808,822,788,713,699,506,538,378,413,321,306,264,235,218,228,144,109,87,112,93,80,74,71,73,70,57,45,25,50,31,37,29,27,19,24,13,13,17,10,7,6,3,3,1,3,2,8
1500347,Água Azul do Norte (PA),Total,293,353,344,362,369,275,316,283,322,295,307,302,361,226,240,188,185,160,126,122,127,114,79,55,59,60,40,38,41,35,32,20,29,29,27,15,14,12,12,9,8,8,4,1,2,2,2,-,2,-,-,-,-
1500404,Alenquer (PA),Total,1224,1496,1404,1460,1502,1522,1520,1413,1448,1091,1037,1021,1056,704,787,609,647,478,475,454,445,359,330,205,205,175,216,155,156,158,140,154,136,91,105,104,75,66,46,44,45,44,32,24,34,18,10,7,6,9,2,1,6
1500503,Almeirim (PA),Total,661,722,666,668,727,711,694,710,642,584,558,485,523,414,387,330,354,304,261,228,274,200,127,99,103,82,85,74,50,68,64,62,53,40,46,37,40,15,33,15,22,14,20,8,8,5,9,4,4,1,5,2,13
1500602,Altamira (PA),Total,1938,2157,2244,2309,2324,2178,2108,2162,2172,2144,2248,2009,2265,1674,1721,1355,1422,1201,1140,951,934,747,495,406,415,361,315,305,252,237,255,208,202,160,195,146,108,97,94,91,52,55,60,24,32,33,23,15,11,5,10,4,8
1500701,Anajás (PA),Total,617,715,700,667,625,725,647,639,651,502,520,348,375,249,272,199,226,167,158,120,134,100,86,65,74,55,36,40,46,42,45,36,35,21,25,14,18,15,12,7,11,10,16,7,8,4,2,2,-,4,1,-,5
1500800,Ananindeua (PA),Total,5299,6260,6241,6341,6705,6985,7276,7331,7471,7633,7960,7637,9379,7111,7287,6525,6851,5375,5084,4427,4690,3698,2598,2113,2097,1719,1634,1472,1429,1138,1101,908,864,668,726,560,530,440,395,358,272,284,213,162,150,94,74,54,51,41,30,26,80
1500859,Anapu (PA),Total,584,637,650,660,670,674,705,645,588,547,542,486,474,361,375,307,277,225,262,210,205,157,109,88,91,62,57,53,46,49,40,53,29,27,21,26,32,13,14,12,20,8,8,9,9,-,3,1,1,-,2,-,-
1500909,Augusto Corrêa (PA),Total,647,767,805,859,825,1001,985,925,892,695,742,603,718,464,540,439,448,356,387,306,370,241,212,135,179,141,127,113,113,115,112,79,89,66,75,46,40,53,42,41,33,25,25,7,20,16,5,3,6,4,5,3,9
1500958,Aurora do Pará (PA),Total,342,479,416,475,408,462,509,489,449,358,428,365,384,225,295,257,257,179,227,167,163,132,115,65,92,72,75,66,63,64,62,37,64,44,39,31,22,17,25,16,14,5,15,7,9,4,8,4,3,3,2,-,5
1501006,Aveiro (PA),Total,394,400,385,426,387,368,384,376,337,273,304,229,243,195,197,161,173,141,158,161,146,112,81,80,76,48,45,59,57,53,33,35,41,32,38,21,13,27,20,11,8,9,6,8,7,3,4,2,2,2,1,2,1
1501105,Bagre (PA),Total,672,914,853,876,942,758,856,800,699,522,595,392,353,216,296,230,201,152,156,123,149,86,72,56,62,42,32,41,40,29,32,25,36,16,10,13,12,11,21,9,11,15,10,9,5,1,3,3,5,7,3,4,21
1501204,Baião (PA),Total,553,867,835,875,901,951,916,947,1138,924,1034,684,1064,459,638,548,962,338,560,319,517,212,327,170,224,129,116,133,124,89,102,91,136,73,68,43,50,36,34,23,21,20,45,18,12,5,2,8,3,4,3,1,11
1501253,Bannach (PA),Total,71,70,77,66,77,63,69,79,77,57,60,53,74,59,66,46,56,37,38,38,39,23,25,17,17,12,11,14,5,3,3,4,5,8,9,4,3,8,3,5,1,4,-,1,2,-,-,1,1,-,-,-,-
1501303,Barcarena (PA),Total,2000,2154,2126,2110,2274,2353,2374,2242,2266,2227,2272,2128,2270,1677,1694,1426,1366,1076,1069,941,850,744,464,360,384,327,299,278,233,248,208,148,188,153,162,119,105,85,96,77,46,47,42,32,41,12,14,17,17,17,7,10,39
1501402,Belém (PA),Total,13036,15138,15231,15733,16536,17862,18081,18721,19181,19925,20766,19521,24522,19322,19900,18363,19575,15898,15715,14296,14692,11868,8836,7365,7723,6685,6091,5730,5184,4814,4579,3918,3765,2929,3229,2638,2428,2180,2004,1722,1340,1198,1083,761,789,583,470,364,276,201,150,128,307
1501451,Belterra (PA),Total,323,312,302,327,353,398,351,359,390,303,248,208,284,199,218,211,204,163,154,186,148,134,125,77,88,60,65,62,65,57,50,41,52,28,47,25,33,26,24,27,17,10,13,10,5,6,6,2,4,3,1,-,3
1501501,Benevides (PA),Total,865,983,980,1010,1092,1055,1048,1053,1102,974,1022,1030,1245,877,922,791,805,630,582,541,516,389,254,237,250,210,180,188,164,130,130,127,102,87,101,93,69,62,71,40,31,35,39,16,20,9,10,8,10,8,8,2,19
