Codigo,Municipio,Homens,Mulheres,Total
1,Brasil,98532431,104548325,203080756
15,Pará,4051813,4068318,8120131
1500107,Abaetetuba (PA),79297,78891,158188
1500131,Abel Figueiredo (PA),3113,3023,6136
1500206,Acará (PA),30551,28472,59023
1500305,Afuá (PA),19708,18057,37765
1500347,Água Azul do Norte (PA),9696,8384,18080
1500404,Alenquer (PA),35689,33688,69377
1500503,Almeirim (PA),17647,16633,34280
1500602,Altamira (PA),62942,63337,126279
1500701,Anajás (PA),14508,13503,28011
1500800,Ananindeua (PA),227304,251474,478778
1500859,Anapu (PA),16605,15245,31850
1500909,Augusto Corrêa (PA),22797,21776,44573
1500958,Aurora do Pará (PA),12079,11695,23774
1501006,Aveiro (PA),9586,8704,18290
1501105,Bagre (PA),16253,15639,31892
1501204,Baião (PA),25917,25724,51641
1501253,Bannach (PA),2164,1867,4031
1501303,Barcarena (PA),63394,63256,126650
1501402,Belém (PA),610777,692626,1303403
1501451,Belterra (PA),9164,8935,18099
1501501,Benevides (PA),31251,32316,63567
1501576,Bom Jesus do Tocantins (PA),9969,8036,18005
1501600,Bonito (PA),6477,6145,12622
1501709,Bragança (PA),61581,61501,123082
1501725,Brasil Novo (PA),12635,12083,24718
1501758,Brejo Grande do Araguaia (PA),3439,3344,6783
1501782,Breu Branco (PA),23100,22612,45712
1501808,Breves (PA),55278,51690,106968
1501907,Bujaru (PA),12353,12030,24383
1501956,Cachoeira do Piriá (PA),10351,9279,19630
1502004,Cachoeira do Arari (PA),12126,11855,23981
1502103,Cametá (PA),68840,65344,134184
1502152,Canaã dos Carajás (PA),39387,37692,77079
1502202,Capanema (PA),34350,36044,70394
1502301,Capitão Poço (PA),28671,27835,56506
1502400,Castanhal (PA),92506,99750,192256
1502509,Chaves (PA),11118,9639,20757
1502608,Colares (PA),6446,6422,12868
1502707,Conceição do Araguaia (PA),22490,22127,44617
1502756,Concórdia do Pará (PA),13550,13331,26881
1502764,Cumaru do Norte (PA),7706,6330,14036
1502772,Curionópolis (PA),10196,9754,19950
1502806,Curralinho (PA),17863,16040,33903
1502855,Curuá (PA),7338,6779,14117
1502905,Curuçá (PA),20745,20517,41262
1502939,Dom Eliseu (PA),28907,29577,58484
1502954,Eldorado do Carajás (PA),14443,13749,28192
1503002,Faro (PA),4483,4245,8728
1503044,Floresta do Araguaia (PA),9498,8400,17898
1503077,Garrafão do Norte (PA),12694,12009,24703
1503093,Goianésia do Pará (PA),13525,12837,26362
1503101,Gurupá (PA),16707,15079,31786
1503200,Igarapé-Açu (PA),17767,18030,35797
1503309,Igarapé-Miri (PA),33274,31557,64831
1503408,Inhangapi (PA),5229,5096,10325
1503457,Ipixuna do Pará (PA),15637,14692,30329
1503507,Irituia (PA),15911,15044,30955
1503606,Itaituba (PA),62288,61026,123314
1503705,Itupiranga (PA),26048,23706,49754
1503754,Jacareacanga (PA),12560,11482,24042
1503804,Jacundá (PA),18504,19203,37707
1503903,Juruti (PA),26154,24727,50881
1504000,Limoeiro do Ajuru (PA),15291,14278,29569
1504059,Mãe do Rio (PA),16887,17466,34353
1504109,Magalhães Barata (PA),4151,3964,8115
1504208,Marabá (PA),132772,133761,266533
1504307,Maracanã (PA),13292,12679,25971
1504406,Marapanim (PA),13647,12926,26573
1504422,Marituba (PA),54692,57093,111785
1504455,Medicilândia (PA),14325,12769,27094
1504505,Melgaço (PA),14568,13313,27881
1504604,Mocajuba (PA),13800,13398,27198
1504703,Moju (PA),43881,40213,84094
1504752,Mojuí dos Campos (PA),12231,11270,23501
1504802,Monte Alegre (PA),30351,29661,60012
1504901,Muaná (PA),22997,22371,45368
