Codigo,Municipio,Urbana,Rural,Total
1,Brasil,177508417,25572339,203080756
15,Pará,6095530,2024601,8120131
1500107,Abaetetuba (PA),98390,59798,158188
1500131,Abel Figueiredo (PA),5366,770,6136
1500206,Acará (PA),13079,45944,59023
1500305,Afuá (PA),11875,25890,37765
1500347,Água Azul do Norte (PA),9302,8778,18080
1500404,Alenquer (PA),35153,34224,69377
1500503,Almeirim (PA),22500,11780,34280
1500602,Altamira (PA),104202,22077,126279
1500701,Anajás (PA),12306,15705,28011
1500800,Ananindeua (PA),477298,1480,478778
1500859,Anapu (PA),15840,16010,31850
1500909,Augusto Corrêa (PA),22944,21629,44573
1500958,Aurora do Pará (PA),10136,13638,23774
1501006,Aveiro (PA),4417,13873,18290
1501105,Bagre (PA),13003,18889,31892
1501204,Baião (PA),27311,24330,51641
1501253,Bannach (PA),1611,2420,4031
1501303,Barcarena (PA),104487,22163,126650
1501402,Belém (PA),1296633,6770,1303403
1501451,Belterra (PA),8778,9321,18099
1501501,Benevides (PA),60298,3269,63567
1501576,Bom Jesus do Tocantins (PA),10333,7672,18005
1501600,Bonito (PA),6925,5697,12622
1501709,Bragança (PA),87608,35474,123082
1501725,Brasil Novo (PA),13404,11314,24718
1501758,Brejo Grande do Araguaia (PA),3792,2991,6783
1501782,Breu Branco (PA),28500,17212,45712
1501808,Breves (PA),55509,51459,106968
1501907,Bujaru (PA),8660,15723,24383
1501956,Cachoeira do Piriá (PA),7152,12478,19630
1502004,Cachoeira do Arari (PA),11363,12618,23981
1502103,Cametá (PA),68213,65971,134184
1502152,Canaã dos Carajás (PA),69332,7747,77079
1502202,Capanema (PA),59704,10690,70394
1502301,Capitão Poço (PA),31205,25301,56506
1502400,Castanhal (PA),177867,14389,192256
1502509,Chaves (PA),4686,16071,20757
1502608,Colares (PA),5093,7775,12868
1502707,Conceição do Araguaia (PA),33157,11460,44617
1502756,Concórdia do Pará (PA),16492,10389,26881
1502764,Cumaru do Norte (PA),5001,9035,14036
1502772,Curionópolis (PA),17905,2045,19950
1502806,Curralinho (PA),13515,20388,33903
1502855,Curuá (PA),7358,6759,14117
1502905,Curuçá (PA),24716,16546,41262
1502939,Dom Eliseu (PA),49321,9163,58484
1502954,Eldorado do Carajás (PA),17253,10939,28192
1503002,Faro (PA),7198,1530,8728
1503044,Floresta do Araguaia (PA),10449,7449,17898
1503077,Garrafão do Norte (PA),14188,10515,24703
1503093,Goianésia do Pará (PA),16790,9572,26362
1503101,Gurupá (PA),13228,18558,31786
1503200,Igarapé-Açu (PA),24862,10935,35797
1503309,Igarapé-Miri (PA),28911,35920,64831
1503408,Inhangapi (PA),3659,6666,10325
1503457,Ipixuna do Pará (PA),15532,14797,30329
1503507,Irituia (PA),8958,21997,30955
1503606,Itaituba (PA),107284,16030,123314
1503705,Itupiranga (PA),28558,21196,49754
1503754,Jacareacanga (PA),10150,13892,24042
1503804,Jacundá (PA),33701,4006,37707
1503903,Juruti (PA),29791,21090,50881
