Codigo,Municipio,Urbana,Rural,Total,RI,Ano
000000,Brasil,177508417,25572339,203080756,,2022
000001,Pará,6095530,2024601,8120131,,2022
150010,Abaetetuba (PA),98390,59798,158188,Tocantins,2022
150013,Abel Figueiredo (PA),5366,770,6136,Rio Capim,2022
150020,Acará (PA),13079,45944,59023,Tocantins,2022
150030,Afuá (PA),11875,25890,37765,Marajó,2022
150034,Água Azul do Norte (PA),9302,8778,18080,Araguaia,2022
150040,Alenquer (PA),35153,34224,69377,Baixo Amazonas,2022
150050,Almeirim (PA),22500,11780,34280,Baixo Amazonas,2022
150060,Altamira (PA),104202,22077,126279,Xingu,2022
150070,Anajás (PA),12306,15705,28011,Marajó,2022
150080,Ananindeua (PA),477298,1480,478778,Guajará,2022
150085,Anapu (PA),15840,16010,31850,Xingu,2022
150090,Augusto Corrêa (PA),22944,21629,44573,Rio Caeté,2022
150095,Aurora do Pará (PA),10136,13638,23774,Rio Capim,2022
150100,Aveiro (PA),4417,13873,18290,Tapajós,2022
150110,Bagre (PA),13003,18889,31892,Marajó,2022
150120,Baião (PA),27311,24330,51641,Tocantins,2022
150125,Bannach (PA),1611,2420,4031,Araguaia,2022
150130,Barcarena (PA),104487,22163,126650,Tocantins,2022
150140,Belém (PA),1296633,6770,1303403,Guajará,2022
150145,Belterra (PA),8778,9321,18099,Baixo Amazonas,2022
150150,Benevides (PA),60298,3269,63567,Guajará,2022
150157,Bom Jesus do Tocantins (PA),10333,7672,18005,Carajás,2022
150160,Bonito (PA),6925,5697,12622,Rio Caeté,2022
150170,Bragança (PA),87608,35474,123082,Rio Caeté,2022
150172,Brasil Novo (PA),13404,11314,24718,Xingu,2022
150175,Brejo Grande do Araguaia (PA),3792,2991,6783,Carajás,2022
150178,Breu Branco (PA),28500,17212,45712,Lago Tucuruí,2022
150180,Breves (PA),55509,51459,106968,Marajó,2022
150190,Bujaru (PA),8660,15723,24383,Rio Capim,2022
150195,Cachoeira do Piriá (PA),7152,12478,19630,Rio Caeté,2022
150200,Cachoeira do Arari (PA),11363,12618,23981,Marajó,2022
150210,Cametá (PA),68213,65971,134184,Tocantins,2022
150215,Canaã dos Carajás (PA),69332,7747,77079,Carajás,2022
150220,Capanema (PA),59704,10690,70394,Rio Caeté,2022
150230,Capitão Poço (PA),31205,25301,56506,Rio Capim,2022
150240,Castanhal (PA),177867,14389,192256,Guamá,2022
150250,Chaves (PA),4686,16071,20757,Marajó,2022
150260,Colares (PA),5093,7775,12868,Guamá,2022
150270,Conceição do Araguaia (PA),33157,11460,44617,Araguaia,2022
150275,Concórdia do Pará (PA),16492,10389,26881,Rio Capim,2022
150276,Cumaru do Norte (PA),5001,9035,14036,Araguaia,2022
150277,Curionópolis (PA),17905,2045,19950,Carajás,2022
150280,Curralinho (PA),13515,20388,33903,Marajó,2022
150285,Curuá (PA),7358,6759,14117,Baixo Amazonas,2022
150290,Curuçá (PA),24716,16546,41262,Guamá,2022
150293,Dom Eliseu (PA),49321,9163,58484,Rio Capim,2022
150295,Eldorado do Carajás (PA),17253,10939,28192,Carajás,2022
150300,Faro (PA),7198,1530,8728,Baixo Amazonas,2022
150304,Floresta do Araguaia (PA),10449,7449,17898,Araguaia,2022
150307,Garrafão do Norte (PA),14188,10515,24703,Rio Capim,2022
150309,Goianésia do Pará (PA),16790,9572,26362,Lago Tucuruí,2022
150310,Gurupá (PA),13228,18558,31786,Marajó,2022
150320,Igarapé-Açu (PA),24862,10935,35797,Guamá,2022
150330,Igarapé-Miri (PA),28911,35920,64831,Tocantins,2022
150340,Inhangapi (PA),3659,6666,10325,Guamá,2022
150345,Ipixuna do Pará (PA),15532,14797,30329,Rio Capim,2022
150350,Irituia (PA),8958,21997,30955,Rio Capim,2022
150360,Itaituba (PA),107284,16030,123314,Tapajós,2022
150370,Itupiranga (PA),28558,21196,49754,Lago Tucuruí,2022
150375,Jacareacanga (PA),10150,13892,24042,Tapajós,2022
150380,Jacundá (PA),33701,4006,37707,Lago Tucuruí,2022
150390,Juruti (PA),29791,21090,50881,Baixo Amazonas,2022
150400,Limoeiro do Ajuru (PA),8735,20834,29569,Tocantins,2022
150405,Mãe do Rio (PA),27834,6519,34353,Rio Capim,2022
150410,Magalhães Barata (PA),3857,4258,8115,Guamá,2022
150420,Marabá (PA),239719,26814,266533,Carajás,2022
150430,Maracanã (PA),10813,15158,25971,Guamá,2022
150440,Marapanim (PA),15249,11324,26573,Guamá,2022
150442,Marituba (PA),111479,306,111785,Guajará,2022
150445,Medicilândia (PA),10745,16349,27094,Xingu,2022
150450,Melgaço (PA),9657,18224,27881,Marajó,2022
150460,Mocajuba (PA),19424,7774,27198,Tocantins,2022
150470,Moju (PA),33208,50886,84094,Tocantins,2022
150475,Mojuí dos Campos (PA),8463,15038,23501,Baixo Amazonas,2022
150480,Monte Alegre (PA),32654,27358,60012,Baixo Amazonas,2022
150490,Muaná (PA),19561,25807,45368,Marajó,2022
150495,Nova Esperança do Piriá (PA),12730,7748,20478,Rio Capim,2022
150497,Nova Ipixuna (PA),7050,6905,13955,Lago Tucuruí,2022
150500,Nova Timboteua (PA),9105,3701,12806,Rio Caeté,2022
150503,Novo Progresso (PA),26931,6707,33638,Tapajós,2022
150506,Novo Repartimento (PA),32689,28043,60732,Lago Tucuruí,2022
150510,Óbidos (PA),31699,20530,52229,Baixo Amazonas,2022
150520,Oeiras do Pará (PA),15669,18175,33844,Tocantins,2022
150530,Oriximiná (PA),47358,20936,68294,Baixo Amazonas,2022
150540,Ourém (PA),10884,6971,17855,Rio Capim,2022
150543,Ourilândia do Norte (PA),27495,4972,32467,Araguaia,2022
150548,Pacajá (PA),18964,22133,41097,Xingu,2022
150549,Palestina do Pará (PA),4724,2161,6885,Carajás,2022
150550,Paragominas (PA),96150,9400,105550,Rio Capim,2022
150553,Parauapebas (PA),258225,9611,267836,Carajás,2022
150555,Pau D'Arco (PA),4239,2692,6931,Araguaia,2022
150560,Peixe-Boi (PA),4986,3299,8285,Rio Caeté,2022
150563,Piçarra (PA),5318,7514,12832,Carajás,2022
150565,Placas (PA),8060,10608,18668,Xingu,2022
150570,Ponta de Pedras (PA),13002,11982,24984,Marajó,2022
150580,Portel (PA),30223,32280,62503,Marajó,2022
150590,Porto de Moz (PA),19863,20734,40597,Xingu,2022
150600,Prainha (PA),18520,17057,35577,Baixo Amazonas,2022
150610,Primavera (PA),7202,3649,10851,Rio Caeté,2022
150611,Quatipuru (PA),9651,1873,11524,Rio Caeté,2022
150613,Redenção (PA),81630,3967,85597,Araguaia,2022
150616,Rio Maria (PA),13970,4414,18384,Araguaia,2022
150618,Rondon do Pará (PA),33871,19272,53143,Rio Capim,2022
150619,Rurópolis (PA),21637,14132,35769,Tapajós,2022
150620,Salinópolis (PA),41139,3633,44772,Rio Caeté,2022
150630,Salvaterra (PA),17814,6315,24129,Marajó,2022
150635,Santa Bárbara do Pará (PA),13764,7323,21087,Guajará,2022
150640,Santa Cruz do Arari (PA),6270,1175,7445,Marajó,2022
150650,Santa Izabel do Pará (PA),58670,14349,73019,Guamá,2022
150655,Santa Luzia do Pará (PA),10952,9418,20370,Rio Caeté,2022
150658,Santa Maria das Barreiras (PA),8180,8368,16548,Araguaia,2022
150660,Santa Maria do Pará (PA),17080,7544,24624,Guamá,2022
150670,Santana do Araguaia (PA),25819,6594,32413,Araguaia,2022
150680,Santarém (PA),264507,67435,331942,Baixo Amazonas,2022
150690,Santarém Novo (PA),1910,4206,6116,Rio Caeté,2022
150700,Santo Antônio do Tauá (PA),18317,9144,27461,Guamá,2022
150710,São Caetano de Odivelas (PA),9230,7436,16666,Guamá,2022
150715,São Domingos do Araguaia (PA),14890,6202,21092,Carajás,2022
150720,São Domingos do Capim (PA),9310,21289,30599,Guamá,2022
150730,São Félix do Xingu (PA),39114,26304,65418,Araguaia,2022
150740,São Francisco do Pará (PA),7442,7452,14894,Guamá,2022
150745,São Geraldo do Araguaia (PA),16943,7312,24255,Carajás,2022
150746,São João da Ponta (PA),876,3554,4430,Guamá,2022
150747,São João de Pirabas (PA),13130,7559,20689,Rio Caeté,2022
150750,São João do Araguaia (PA),5422,8242,13664,Carajás,2022
150760,São Miguel do Guamá (PA),37846,15048,52894,Guamá,2022
150770,São Sebastião da Boa Vista (PA),11260,14383,25643,Marajó,2022
150775,Sapucaia (PA),4764,1083,5847,Araguaia,2022
150780,Senador José Porfírio (PA),8963,13613,22576,Xingu,2022
150790,Soure (PA),22543,1661,24204,Marajó,2022
150795,Tailândia (PA),62871,9622,72493,Tocantins,2022
150796,Terra Alta (PA),5908,4492,10400,Guamá,2022
150797,Terra Santa (PA),16259,2523,18782,Baixo Amazonas,2022
150800,Tomé-Açu (PA),42807,24778,67585,Rio Capim,2022
150803,Tracuateua (PA),10173,18422,28595,Rio Caeté,2022
150805,Trairão (PA),9399,5843,15242,Tapajós,2022
150808,Tucumã (PA),34117,5433,39550,Araguaia,2022
150810,Tucuruí (PA),85560,5746,91306,Lago Tucuruí,2022
150812,Ulianópolis (PA),26486,11486,37972,Rio Capim,2022
150815,Uruará (PA),25678,17880,43558,Xingu,2022
150820,Vigia (PA),39596,11236,50832,Guamá,2022
150830,Viseu (PA),29936,28756,58692,Rio Caeté,2022
150835,Vitória do Xingu (PA),8700,6907,15607,Xingu,2022
150840,Xinguara (PA),46390,6503,52893,Araguaia,2022
