Codigo,Municipio,Branca,Preta,Amarela,Parda,Indígena,Total,RI,Ano,Homens,Mulheres
1,Pará,1570281.0,793621.0,12432,5673446.0,69180.0,8120131,,2022,,
150010,Abaetetuba (PA),29624.0,15895.0,107,112187.0,83.0,158188,Tocantins,2022,,
150013,Abel Figueiredo (PA),1228.0,640.0,-,4258.0,10.0,6136,Rio Capim,2022,,
150020,Acará (PA),5684.0,8503.0,65,44748.0,23.0,59023,Tocantins,2022,,
150030,Afuá (PA),5470.0,2567.0,24,29690.0,12.0,37765,Marajó,2022,,
150034,Água Azul do Norte (PA),4451.0,1829.0,13,11609.0,176.0,18080,Araguaia,2022,,
150040,Alenquer (PA),10431.0,5405.0,41,53463.0,36.0,69377,Baixo Amazonas,2022,,
150050,Almeirim (PA),5102.0,2583.0,12,25498.0,1085.0,34280,Baixo Amazonas,2022,,
150060,Altamira (PA),29118.0,12939.0,329,77948.0,5944.0,126279,Xingu,2022,,
150070,Anajás (PA),3900.0,1610.0,8,22488.0,5.0,28011,Marajó,2022,,
150080,Ananindeua (PA),112106.0,53576.0,949,311624.0,508.0,478778,Guajará,2022,,
150085,Anapu (PA),6182.0,3497.0,215,21015.0,941.0,31850,Xingu,2022,,
150090,Augusto Corrêa (PA),5022.0,1430.0,8,38105.0,8.0,44573,Rio Caeté,2022,,
150095,Aurora do Pará (PA),3005.0,2617.0,18,18085.0,49.0,23774,Rio Capim,2022,,
150100,Aveiro (PA),1720.0,1004.0,18,12581.0,2967.0,18290,Tapajós,2022,,
150110,Bagre (PA),3185.0,2974.0,6,25726.0,1.0,31892,Marajó,2022,,
150120,Baião (PA),5955.0,11813.0,12,33810.0,51.0,51641,Tocantins,2022,,
150125,Bannach (PA),726.0,414.0,8,2667.0,216.0,4031,Araguaia,2022,,
150130,Barcarena (PA),22494.0,10492.0,234,93144.0,284.0,126650,Tocantins,2022,,
150140,Belém (PA),342476.0,149395.0,3298,806103.0,2069.0,1303403,Guajará,2022,,
150145,Belterra (PA),2394.0,937.0,52,14012.0,704.0,18099,Baixo Amazonas,2022,,
150150,Benevides (PA),12040.0,6258.0,119,45082.0,68.0,63567,Guajará,2022,,
150157,Bom Jesus do Tocantins (PA),3963.0,1314.0,18,11633.0,1077.0,18005,Carajás,2022,,
150160,Bonito (PA),2075.0,680.0,9,9856.0,2.0,12622,Rio Caeté,2022,,
150170,Bragança (PA),16431.0,5413.0,57,101085.0,94.0,123082,Rio Caeté,2022,,
150172,Brasil Novo (PA),5996.0,2850.0,21,15457.0,393.0,24718,Xingu,2022,,
150175,Brejo Grande do Araguaia (PA),1140.0,782.0,5,4774.0,82.0,6783,Carajás,2022,,
150178,Breu Branco (PA),7787.0,5254.0,49,32526.0,96.0,45712,Lago Tucuruí,2022,,
150180,Breves (PA),15892.0,7566.0,118,83288.0,104.0,106968,Marajó,2022,,
150190,Bujaru (PA),2546.0,3060.0,19,18732.0,26.0,24383,Rio Capim,2022,,
150195,Cachoeira do Piriá (PA),2712.0,2470.0,5,14412.0,31.0,19630,Rio Caeté,2022,,
150200,Cachoeira do Arari (PA),2124.0,3508.0,14,18319.0,16.0,23981,Marajó,2022,,
150210,Cametá (PA),23161.0,10565.0,55,100277.0,125.0,134184,Tocantins,2022,,
150215,Canaã dos Carajás (PA),16694.0,7515.0,204,52546.0,120.0,77079,Carajás,2022,,
150220,Capanema (PA),16489.0,3796.0,149,49858.0,102.0,70394,Rio Caeté,2022,,
150230,Capitão Poço (PA),8253.0,3059.0,43,45081.0,69.0,56506,Rio Capim,2022,,
150240,Castanhal (PA),42881.0,16429.0,719,132079.0,144.0,192256,Guamá,2022,,
150250,Chaves (PA),2620.0,2692.0,40,15381.0,24.0,20757,Marajó,2022,,
150260,Colares (PA),2165.0,834.0,2,9855.0,12.0,12868,Guamá,2022,,
150270,Conceição do Araguaia (PA),9601.0,5992.0,142,28776.0,102.0,44617,Araguaia,2022,,
150275,Concórdia do Pará (PA),3659.0,4594.0,52,18543.0,33.0,26881,Rio Capim,2022,,
150276,Cumaru do Norte (PA),2273.0,1502.0,12,7246.0,2446.0,14036,Araguaia,2022,,
150277,Curionópolis (PA),4019.0,2192.0,15,13693.0,31.0,19950,Carajás,2022,,
150280,Curralinho (PA),4925.0,2117.0,13,26835.0,13.0,33903,Marajó,2022,,
150285,Curuá (PA),1741.0,813.0,1,11552.0,10.0,14117,Baixo Amazonas,2022,,
150290,Curuçá (PA),7190.0,2159.0,33,31857.0,23.0,41262,Guamá,2022,,
150293,Dom Eliseu (PA),13176.0,6145.0,82,39034.0,47.0,58484,Rio Capim,2022,,
150295,Eldorado do Carajás (PA),5526.0,3409.0,22,19198.0,37.0,28192,Carajás,2022,,
150300,Faro (PA),1129.0,201.0,1,7314.0,83.0,8728,Baixo Amazonas,2022,,
150304,Floresta do Araguaia (PA),3816.0,1896.0,23,12134.0,29.0,17898,Araguaia,2022,,
150307,Garrafão do Norte (PA),3324.0,1523.0,29,19819.0,8.0,24703,Rio Capim,2022,,
150309,Goianésia do Pará (PA),5095.0,2860.0,15,18279.0,112.0,26362,Lago Tucuruí,2022,,
150310,Gurupá (PA),5092.0,1992.0,8,24643.0,51.0,31786,Marajó,2022,,
150320,Igarapé-Açu (PA),6803.0,2108.0,105,26754.0,25.0,35797,Guamá,2022,,
150330,Igarapé-Miri (PA),11507.0,11062.0,24,42215.0,23.0,64831,Tocantins,2022,,
150340,Inhangapi (PA),1030.0,1569.0,10,7709.0,7.0,10325,Guamá,2022,,
150345,Ipixuna do Pará (PA),4748.0,3052.0,26,22468.0,35.0,30329,Rio Capim,2022,,
150350,Irituia (PA),4224.0,3023.0,34,23661.0,12.0,30955,Rio Capim,2022,,
150360,Itaituba (PA),23860.0,13079.0,135,84202.0,2035.0,123314,Tapajós,2022,,
150370,Itupiranga (PA),9112.0,6270.0,62,33868.0,442.0,49754,Lago Tucuruí,2022,,
150375,Jacareacanga (PA),1854.0,1214.0,17,7141.0,13816.0,24042,Tapajós,2022,,
