Codigo,Municipio,0-3,4-6,7-15,16-17,18-24,25-34,35-39,40-44,45-49,50-54,55-59,60-64,64+,Total,Ano
15,Pará,584197,459462,1477017,318551,1051358,1324739,514535,434824,353997,294209,233028,174438,359797,7581051,2010
150010,Abaetetuba (PA),10342,8118,28235,6820,21305,24356,9333,7487,5943,4910,4155,3169,6889,141100,2010
150013,Abel Figueiredo (PA),532,413,1328,277,885,1191,431,388,341,249,212,173,359,6780,2010
150020,Acará (PA),4935,3856,11952,2438,7489,8101,3351,2692,2102,1588,1374,1145,2539,53569,2010
150030,Afuá (PA),3657,2889,8897,1740,4752,4992,1837,1480,1172,946,815,530,1329,35042,2010
150034,Água Azul do Norte (PA),1550,1341,4524,869,3803,5298,2139,1757,1117,905,615,444,694,25057,2010
150040,Alenquer (PA),4791,4034,12259,2547,6187,7561,3069,2415,2071,1845,1604,1213,3023,52626,2010
150050,Almeirim (PA),3039,2343,7284,1588,4395,5400,2199,1783,1536,1268,892,627,1258,33614,2010
150060,Altamira (PA),7468,5801,19191,4211,13609,17780,6923,5785,4869,3963,2937,2169,4359,99075,2010
150070,Anajás (PA),2910,2228,6231,1181,3402,3525,1289,929,731,597,511,361,861,24759,2010
150080,Ananindeua (PA),29688,23101,79361,18168,64991,91431,37846,32427,26238,21909,16281,11378,19111,471980,2010
150085,Anapu (PA),1957,1465,4423,965,2812,3352,1224,1059,862,751,612,399,662,20543,2010
150090,Augusto Corrêa (PA),3913,2996,9428,1952,5461,5967,2176,1808,1481,1290,1136,909,1974,40497,2010
150095,Aurora do Pará (PA),2115,1723,5942,1152,3833,4351,1608,1354,1038,879,731,606,1213,26546,2010
150100,Aveiro (PA),1490,1254,3980,757,1827,2093,820,750,633,571,506,346,821,15849,2010
150110,Bagre (PA),2651,2038,6203,1169,3299,3606,1260,899,642,545,430,385,733,23864,2010
150120,Baião (PA),2959,2608,8237,1627,5337,6162,2131,1820,1442,1188,1011,741,1617,36882,2010
150125,Bannach (PA),268,207,649,122,386,586,271,206,178,162,137,98,161,3431,2010
150130,Barcarena (PA),8152,6084,19888,4368,14553,18090,6933,5657,4530,3663,2590,1850,3482,99859,2010
150140,Belém (PA),79414,60633,209965,50496,185714,261798,110016,97223,82625,70878,54708,42185,87543,1393399,2010
150145,Belterra (PA),1336,1172,3549,679,1843,2452,940,823,764,638,617,439,1065,16318,2010
150150,Benevides (PA),3639,2920,9833,2171,7137,9607,3828,3130,2412,2066,1513,1092,2294,51651,2010
150157,Bom Jesus do Tocantins (PA),1153,907,2988,632,2091,2532,971,859,768,594,559,451,791,15298,2010
150160,Bonito (PA),1201,875,2628,563,1972,2500,873,716,541,476,386,278,620,13630,2010
150170,Bragança (PA),9259,7181,22810,5025,16440,18381,7186,5843,4792,4121,3374,2698,6109,113227,2010
150172,Brasil Novo (PA),1176,904,3026,673,2002,2546,1076,958,891,645,513,422,858,15690,2010
150175,Brejo Grande do Araguaia (PA),594,487,1466,353,966,1168,406,385,345,310,270,178,389,7317,2010
150178,Breu Branco (PA),4721,3816,11657,2248,7443,8665,3080,2517,2097,1776,1463,1048,1959,52493,2010
150180,Breves (PA),9604,7409,23204,4456,12369,13368,5038,3855,3104,2651,2271,1626,3887,92860,2010
150190,Bujaru (PA),2251,1944,5843,1207,3351,3877,1593,1346,972,788,682,535,1302,25695,2010
150195,Cachoeira do Piriá (PA),2704,2253,6209,1043,3672,4242,1559,1390,961,770,576,414,691,26484,2010
150200,Cachoeira do Arari (PA),1717,1291,4187,894,2805,3304,1198,1140,948,712,584,444,1216,20443,2010
150210,Cametá (PA),10821,8240,26819,5636,17683,18955,6796,5481,4245,3778,3428,2616,6378,120896,2010
150215,Canaã dos Carajás (PA),2277,1707,5128,1092,3816,5277,1948,1524,1218,887,641,438,761,26716,2010
150220,Capanema (PA),4270,3381,11709,2689,8610,10989,4493,3756,3273,2644,2242,1621,3951,63639,2010
150230,Capitão Poço (PA),3888,3293,11188,2504,7228,8242,3283,2899,2219,1802,1511,1143,2689,51893,2010
150240,Castanhal (PA),12231,9193,31144,7219,25162,32169,12622,10736,8398,6871,5218,3847,8326,173149,2010
150250,Chaves (PA),2164,1713,4955,929,2865,2982,1123,975,778,634,575,409,895,21005,2010
150260,Colares (PA),957,701,2291,541,1498,1611,661,626,512,413,395,345,827,11381,2010
150270,Conceição do Araguaia (PA),3192,2633,8916,1942,5382,7218,3100,2789,2298,2001,1688,1409,2978,45557,2010
150275,Concórdia do Pará (PA),2557,1996,5955,1338,4257,4618,1731,1385,935,777,703,610,1351,28216,2010
150276,Cumaru do Norte (PA),898,659,1888,358,1220,2005,746,743,656,473,338,230,252,10466,2010
150277,Curionópolis (PA),1421,1118,3624,843,2460,2655,959,919,968,883,716,527,1194,18288,2010
150280,Curralinho (PA),3263,2514,7153,1396,3954,4078,1457,1038,881,689,587,454,1070,28549,2010
150285,Curuá (PA),1157,1053,2900,557,1619,1797,633,551,491,410,304,229,553,12254,2010
150290,Curuçá (PA),2570,2159,7047,1484,4490,5114,1979,1830,1555,1421,1096,1025,2520,34294,2010
150293,Dom Eliseu (PA),4155,3417,10455,2057,7555,9315,3478,2909,2326,1783,1295,963,1609,51319,2010
150295,Eldorado do Carajás (PA),2794,2152,6869,1378,4366,4815,1815,1724,1583,1247,983,797,1262,31786,2010
150300,Faro (PA),804,681,1826,430,1051,1133,459,339,339,281,237,170,426,8177,2010
150304,Floresta do Araguaia (PA),1403,1095,3648,747,2290,3024,1193,1023,838,730,560,421,794,17768,2010
150307,Garrafão do Norte (PA),2067,1896,5812,1236,3484,3830,1437,1233,937,736,651,543,1170,25034,2010
150309,Goianésia do Pará (PA),2589,1934,6138,1272,4444,5664,1919,1590,1337,1071,884,570,1022,30436,2010
150310,Gurupá (PA),3065,2402,7138,1371,4035,4150,1590,1188,990,785,616,543,1183,29062,2010
150320,Igarapé-Açu (PA),2527,1953,7137,1665,5028,5804,2274,2007,1638,1391,1230,951,2276,35887,2010
150330,Igarapé-Miri (PA),5181,3920,11969,2824,8555,9420,3353,2784,2225,1964,1646,1223,2997,58077,2010
150340,Inhangapi (PA),767,610,1992,480,1467,1542,609,566,460,379,329,258,577,10037,2010
150345,Ipixuna do Pará (PA),4107,3490,11538,1933,8009,9609,3339,2675,1732,1404,1131,925,1414,51309,2010
150350,Irituia (PA),2622,2060,6714,1410,4137,4791,1904,1612,1160,1043,1061,890,1951,31364,2010
150360,Itaituba (PA),7210,5833,20100,4352,13257,16848,6238,5680,4917,4034,2987,2135,3897,97493,2010
150370,Itupiranga (PA),4638,3640,11221,2239,6800,8061,2936,2521,2143,1923,1692,1231,2169,51220,2010
150375,Jacareacanga (PA),1336,1031,2668,465,1888,2342,961,1075,834,600,347,250,306,14103,2010
150380,Jacundá (PA),3979,3116,9992,2221,7993,9221,3506,3042,2145,1678,1359,956,2149,51360,2010
150390,Juruti (PA),4922,3797,11176,2103,6438,7091,2475,1986,1618,1417,1188,820,2051,47086,2010
150400,Limoeiro do Ajuru (PA),2334,1879,5909,1192,3740,3800,1424,1136,850,718,576,434,1022,25021,2010
150405,Mãe do Rio (PA),2199,1763,5622,1214,3930,4620,1859,1576,1073,989,848,642,1569,27904,2010
150410,Magalhães Barata (PA),639,512,1747,391,1011,1179,399,410,352,313,278,274,610,8115,2010
150420,Marabá (PA),19679,14774,44035,9564,34568,43974,15622,13111,10705,8433,6319,4315,8552,233669,2010
150430,Maracanã (PA),2157,1826,6326,1362,3481,4025,1589,1424,1233,1080,979,824,2058,28376,2010
150440,Marapanim (PA),1861,1528,5608,1258,3200,3911,1618,1398,1177,1133,999,808,2101,26605,2010
150442,Marituba (PA),7711,5982,19534,4050,15237,22281,8794,6960,5053,4017,2857,2040,3715,108246,2010
150445,Medicilândia (PA),2105,1705,5479,1223,3837,4696,1771,1621,1339,1078,838,578,1058,27328,2010
150450,Melgaço (PA),2963,2271,6402,1243,3506,3659,1259,920,664,502,478,293,645,24808,2010
150460,Mocajuba (PA),2283,2042,6149,1254,3753,3886,1487,1298,960,832,704,598,1475,26731,2010
