Codigo,Municipio,Homens,Mulheres,Total,RI,Ano
0,Brasil,98532431,104548325,203080756,,2022
1,Pará,4051813,4068318,8120131,,2022
150010,Abaetetuba (PA),79297,78891,158188,Tocantins,2022
150013,Abel Figueiredo (PA),3113,3023,6136,Rio Capim,2022
150020,Acará (PA),30551,28472,59023,Tocantins,2022
150030,Afuá (PA),19708,18057,37765,Marajó,2022
150034,Água Azul do Norte (PA),9696,8384,18080,Araguaia,2022
150040,Alenquer (PA),35689,33688,69377,Baixo Amazonas,2022
150050,Almeirim (PA),17647,16633,34280,Baixo Amazonas,2022
150060,Altamira (PA),62942,63337,126279,Xingu,2022
150070,Anajás (PA),14508,13503,28011,Marajó,2022
150080,Ananindeua (PA),227304,251474,478778,Guajará,2022
150085,Anapu (PA),16605,15245,31850,Xingu,2022
150090,Augusto Corrêa (PA),22797,21776,44573,Rio Caeté,2022
150095,Aurora do Pará (PA),12079,11695,23774,Rio Capim,2022
150100,Aveiro (PA),9586,8704,18290,Tapajós,2022
150110,Bagre (PA),16253,15639,31892,Marajó,2022
150120,Baião (PA),25917,25724,51641,Tocantins,2022
150125,Bannach (PA),2164,1867,4031,Araguaia,2022
150130,Barcarena (PA),63394,63256,126650,Tocantins,2022
150140,Belém (PA),610777,692626,1303403,Guajará,2022
150145,Belterra (PA),9164,8935,18099,Baixo Amazonas,2022
150150,Benevides (PA),31251,32316,63567,Guajará,2022
150157,Bom Jesus do Tocantins (PA),9969,8036,18005,Carajás,2022
150160,Bonito (PA),6477,6145,12622,Rio Caeté,2022
150170,Bragança (PA),61581,61501,123082,Rio Caeté,2022
150172,Brasil Novo (PA),12635,12083,24718,Xingu,2022
150175,Brejo Grande do Araguaia (PA),3439,3344,6783,Carajás,2022
150178,Breu Branco (PA),23100,22612,45712,Lago Tucuruí,2022
150180,Breves (PA),55278,51690,106968,Marajó,2022
150190,Bujaru (PA),12353,12030,24383,Rio Capim,2022
150195,Cachoeira do Piriá (PA),10351,9279,19630,Rio Caeté,2022
150200,Cachoeira do Arari (PA),12126,11855,23981,Marajó,2022
150210,Cametá (PA),68840,65344,134184,Tocantins,2022
150215,Canaã dos Carajás (PA),39387,37692,77079,Carajás,2022
150220,Capanema (PA),34350,36044,70394,Rio Caeté,2022
150230,Capitão Poço (PA),28671,27835,56506,Rio Capim,2022
150240,Castanhal (PA),92506,99750,192256,Guamá,2022
150250,Chaves (PA),11118,9639,20757,Marajó,2022
150260,Colares (PA),6446,6422,12868,Guamá,2022
150270,Conceição do Araguaia (PA),22490,22127,44617,Araguaia,2022
150275,Concórdia do Pará (PA),13550,13331,26881,Rio Capim,2022
150276,Cumaru do Norte (PA),7706,6330,14036,Araguaia,2022
150277,Curionópolis (PA),10196,9754,19950,Carajás,2022
150280,Curralinho (PA),17863,16040,33903,Marajó,2022
150285,Curuá (PA),7338,6779,14117,Baixo Amazonas,2022
150290,Curuçá (PA),20745,20517,41262,Guamá,2022
150293,Dom Eliseu (PA),28907,29577,58484,Rio Capim,2022
150295,Eldorado do Carajás (PA),14443,13749,28192,Carajás,2022
150300,Faro (PA),4483,4245,8728,Baixo Amazonas,2022
150304,Floresta do Araguaia (PA),9498,8400,17898,Araguaia,2022
150307,Garrafão do Norte (PA),12694,12009,24703,Rio Capim,2022
150309,Goianésia do Pará (PA),13525,12837,26362,Lago Tucuruí,2022
150310,Gurupá (PA),16707,15079,31786,Marajó,2022
150320,Igarapé-Açu (PA),17767,18030,35797,Guamá,2022
150330,Igarapé-Miri (PA),33274,31557,64831,Tocantins,2022
150340,Inhangapi (PA),5229,5096,10325,Guamá,2022
150345,Ipixuna do Pará (PA),15637,14692,30329,Rio Capim,2022
150350,Irituia (PA),15911,15044,30955,Rio Capim,2022
150360,Itaituba (PA),62288,61026,123314,Tapajós,2022
150370,Itupiranga (PA),26048,23706,49754,Lago Tucuruí,2022
150375,Jacareacanga (PA),12560,11482,24042,Tapajós,2022
150380,Jacundá (PA),18504,19203,37707,Lago Tucuruí,2022
150390,Juruti (PA),26154,24727,50881,Baixo Amazonas,2022
150400,Limoeiro do Ajuru (PA),15291,14278,29569,Tocantins,2022
150405,Mãe do Rio (PA),16887,17466,34353,Rio Capim,2022
150410,Magalhães Barata (PA),4151,3964,8115,Guamá,2022
150420,Marabá (PA),132772,133761,266533,Carajás,2022
150430,Maracanã (PA),13292,12679,25971,Guamá,2022
150440,Marapanim (PA),13647,12926,26573,Guamá,2022
150442,Marituba (PA),54692,57093,111785,Guajará,2022
150445,Medicilândia (PA),14325,12769,27094,Xingu,2022
150450,Melgaço (PA),14568,13313,27881,Marajó,2022
150460,Mocajuba (PA),13800,13398,27198,Tocantins,2022
150470,Moju (PA),43881,40213,84094,Tocantins,2022
150475,Mojuí dos Campos (PA),12231,11270,23501,Baixo Amazonas,2022
150480,Monte Alegre (PA),30351,29661,60012,Baixo Amazonas,2022
150490,Muaná (PA),22997,22371,45368,Marajó,2022
150495,Nova Esperança do Piriá (PA),10516,9962,20478,Rio Capim,2022
150497,Nova Ipixuna (PA),7294,6661,13955,Lago Tucuruí,2022
150500,Nova Timboteua (PA),6503,6303,12806,Rio Caeté,2022
150503,Novo Progresso (PA),17487,16151,33638,Tapajós,2022
150506,Novo Repartimento (PA),31309,29423,60732,Lago Tucuruí,2022
150510,Óbidos (PA),26744,25485,52229,Baixo Amazonas,2022
150520,Oeiras do Pará (PA),17643,16201,33844,Tocantins,2022
150530,Oriximiná (PA),34456,33838,68294,Baixo Amazonas,2022
150540,Ourém (PA),9047,8808,17855,Rio Capim,2022
150543,Ourilândia do Norte (PA),16542,15925,32467,Araguaia,2022
150548,Pacajá (PA),21632,19465,41097,Xingu,2022
150549,Palestina do Pará (PA),3538,3347,6885,Carajás,2022
150550,Paragominas (PA),52461,53089,105550,Rio Capim,2022
150553,Parauapebas (PA),133922,133914,267836,Carajás,2022
150555,Pau D'Arco (PA),3555,3376,6931,Araguaia,2022
150560,Peixe-Boi (PA),4202,4083,8285,Rio Caeté,2022
150563,Piçarra (PA),6734,6098,12832,Carajás,2022
150565,Placas (PA),9855,8813,18668,Xingu,2022
150570,Ponta de Pedras (PA),12842,12142,24984,Marajó,2022
150580,Portel (PA),32627,29876,62503,Marajó,2022
150590,Porto de Moz (PA),21118,19479,40597,Xingu,2022
150600,Prainha (PA),18467,17110,35577,Baixo Amazonas,2022
150610,Primavera (PA),5482,5369,10851,Rio Caeté,2022
150611,Quatipuru (PA),5848,5676,11524,Rio Caeté,2022
150613,Redenção (PA),42226,43371,85597,Araguaia,2022
150616,Rio Maria (PA),9321,9063,18384,Araguaia,2022
150618,Rondon do Pará (PA),27356,25787,53143,Rio Capim,2022
150619,Rurópolis (PA),18371,17398,35769,Tapajós,2022
150620,Salinópolis (PA),22583,22189,44772,Rio Caeté,2022
150630,Salvaterra (PA),12051,12078,24129,Marajó,2022
150635,Santa Bárbara do Pará (PA),10485,10602,21087,Guajará,2022
150640,Santa Cruz do Arari (PA),3888,3557,7445,Marajó,2022
150650,Santa Izabel do Pará (PA),39642,33377,73019,Guamá,2022
150655,Santa Luzia do Pará (PA),10240,10130,20370,Rio Caeté,2022
150658,Santa Maria das Barreiras (PA),8770,7778,16548,Araguaia,2022
150660,Santa Maria do Pará (PA),12147,12477,24624,Guamá,2022
150670,Santana do Araguaia (PA),16673,15740,32413,Araguaia,2022
150680,Santarém (PA),163080,168862,331942,Baixo Amazonas,2022
150690,Santarém Novo (PA),3205,2911,6116,Rio Caeté,2022
150700,Santo Antônio do Tauá (PA),13760,13701,27461,Guamá,2022
150710,São Caetano de Odivelas (PA),8473,8193,16666,Guamá,2022
150715,São Domingos do Araguaia (PA),10716,10376,21092,Carajás,2022
150720,São Domingos do Capim (PA),16015,14584,30599,Guamá,2022
150730,São Félix do Xingu (PA),34830,30588,65418,Araguaia,2022
150740,São Francisco do Pará (PA),7546,7348,14894,Guamá,2022
150745,São Geraldo do Araguaia (PA),12242,12013,24255,Carajás,2022
150746,São João da Ponta (PA),2287,2143,4430,Guamá,2022
150747,São João de Pirabas (PA),10658,10031,20689,Rio Caeté,2022
150750,São João do Araguaia (PA),7290,6374,13664,Carajás,2022
150760,São Miguel do Guamá (PA),26181,26713,52894,Guamá,2022
150770,São Sebastião da Boa Vista (PA),13329,12314,25643,Marajó,2022
150775,Sapucaia (PA),2968,2879,5847,Araguaia,2022
150780,Senador José Porfírio (PA),12195,10381,22576,Xingu,2022
150790,Soure (PA),11940,12264,24204,Marajó,2022
150795,Tailândia (PA),36570,35923,72493,Tocantins,2022
150796,Terra Alta (PA),5297,5103,10400,Guamá,2022
150797,Terra Santa (PA),9519,9263,18782,Baixo Amazonas,2022
150800,Tomé-Açu (PA),34412,33173,67585,Rio Capim,2022
150803,Tracuateua (PA),14704,13891,28595,Rio Caeté,2022
150805,Trairão (PA),8020,7222,15242,Tapajós,2022
150808,Tucumã (PA),19757,19793,39550,Araguaia,2022
150810,Tucuruí (PA),45171,46135,91306,Lago Tucuruí,2022
150812,Ulianópolis (PA),19000,18972,37972,Rio Capim,2022
150815,Uruará (PA),22812,20746,43558,Xingu,2022
150820,Vigia (PA),25695,25137,50832,Guamá,2022
150830,Viseu (PA),30472,28220,58692,Rio Caeté,2022
150835,Vitória do Xingu (PA),8031,7576,15607,Xingu,2022
150840,Xinguara (PA),26590,26303,52893,Araguaia,2022
1,Pará,3821837,3759214,7581051,,2010
150010,Abaetetuba (PA),71630,69470,141100,Tocantins,2010
150013,Abel Figueiredo (PA),3533,3247,6780,Rio Capim,2010
150020,Acará (PA),28115,25454,53569,Tocantins,2010
150030,Afuá (PA),18453,16589,35042,Marajó,2010
150034,Água Azul do Norte (PA),13618,11439,25057,Araguaia,2010
150040,Alenquer (PA),27030,25596,52626,Baixo Amazonas,2010
150050,Almeirim (PA),17468,16146,33614,Baixo Amazonas,2010
150060,Altamira (PA),49819,49256,99075,Xingu,2010
150070,Anajás (PA),12957,11802,24759,Marajó,2010
150080,Ananindeua (PA),226635,245345,471980,Guajará,2010
150085,Anapu (PA),10992,9551,20543,Xingu,2010
150090,Augusto Corrêa (PA),20989,19508,40497,Rio Caeté,2010
150095,Aurora do Pará (PA),13620,12926,26546,Rio Capim,2010
150100,Aveiro (PA),8367,7482,15849,Tapajós,2010
150110,Bagre (PA),12135,11729,23864,Marajó,2010
150120,Baião (PA),19446,17436,36882,Tocantins,2010
150125,Bannach (PA),1847,1584,3431,Araguaia,2010
150130,Barcarena (PA),50346,49513,99859,Tocantins,2010
150140,Belém (PA),659008,734391,1393399,Guajará,2010
150145,Belterra (PA),8481,7837,16318,Baixo Amazonas,2010
150150,Benevides (PA),25815,25836,51651,Guajará,2010
150157,Bom Jesus do Tocantins (PA),8051,7247,15298,Carajás,2010
150160,Bonito (PA),7114,6516,13630,Rio Caeté,2010
150170,Bragança (PA),57291,55936,113227,Rio Caeté,2010
150172,Brasil Novo (PA),8314,7376,15690,Xingu,2010
150175,Brejo Grande do Araguaia (PA),3832,3485,7317,Carajás,2010
150178,Breu Branco (PA),27085,25408,52493,Lago Tucuruí,2010
150180,Breves (PA),47788,45072,92860,Marajó,2010
150190,Bujaru (PA),13335,12360,25695,Rio Capim,2010
150195,Cachoeira do Piriá (PA),13720,12764,26484,Rio Caeté,2010
150200,Cachoeira do Arari (PA),10545,9898,20443,Marajó,2010
150210,Cametá (PA),62016,58880,120896,Tocantins,2010
150215,Canaã dos Carajás (PA),13585,13131,26716,Carajás,2010
150220,Capanema (PA),31494,32145,63639,Rio Caeté,2010
150230,Capitão Poço (PA),26621,25272,51893,Rio Capim,2010
150240,Castanhal (PA),84476,88673,173149,Guamá,2010
150250,Chaves (PA),11180,9825,21005,Marajó,2010
150260,Colares (PA),5879,5502,11381,Guamá,2010
150270,Conceição do Araguaia (PA),23309,22248,45557,Araguaia,2010
150275,Concórdia do Pará (PA),14590,13626,28216,Rio Capim,2010
150276,Cumaru do Norte (PA),6081,4385,10466,Araguaia,2010
150277,Curionópolis (PA),9666,8622,18288,Carajás,2010
150280,Curralinho (PA),15059,13490,28549,Marajó,2010
150285,Curuá (PA),6456,5798,12254,Baixo Amazonas,2010
150290,Curuçá (PA),17568,16726,34294,Guamá,2010
150293,Dom Eliseu (PA),26624,24695,51319,Rio Capim,2010
150295,Eldorado do Carajás (PA),16814,14972,31786,Carajás,2010
150300,Faro (PA),4240,3937,8177,Baixo Amazonas,2010
150304,Floresta do Araguaia (PA),9551,8217,17768,Araguaia,2010
150307,Garrafão do Norte (PA),13107,11927,25034,Rio Capim,2010
150309,Goianésia do Pará (PA),15750,14686,30436,Lago Tucuruí,2010
150310,Gurupá (PA),15400,13662,29062,Marajó,2010
150320,Igarapé-Açu (PA),18117,17770,35887,Guamá,2010
150330,Igarapé-Miri (PA),29674,28403,58077,Tocantins,2010
150340,Inhangapi (PA),5170,4867,10037,Guamá,2010
150345,Ipixuna do Pará (PA),26904,24405,51309,Rio Capim,2010
150350,Irituia (PA),16261,15103,31364,Rio Capim,2010
150360,Itaituba (PA),49681,47812,97493,Tapajós,2010
150370,Itupiranga (PA),27026,24194,51220,Lago Tucuruí,2010
150375,Jacareacanga (PA),8037,6066,14103,Tapajós,2010
150380,Jacundá (PA),25769,25591,51360,Lago Tucuruí,2010
150390,Juruti (PA),24578,22508,47086,Baixo Amazonas,2010
150400,Limoeiro do Ajuru (PA),13115,11906,25021,Tocantins,2010
150405,Mãe do Rio (PA),13740,14164,27904,Rio Capim,2010
150410,Magalhães Barata (PA),4258,3857,8115,Guamá,2010
150420,Marabá (PA),118196,115473,233669,Carajás,2010
150430,Maracanã (PA),14699,13677,28376,Guamá,2010
150440,Marapanim (PA),13884,12721,26605,Guamá,2010
150442,Marituba (PA),53884,54362,108246,Guajará,2010
150445,Medicilândia (PA),14888,12440,27328,Xingu,2010
150450,Melgaço (PA),13227,11581,24808,Marajó,2010
150460,Mocajuba (PA),13747,12984,26731,Tocantins,2010
150470,Moju (PA),36666,33352,70018,Tocantins,2010
150480,Monte Alegre (PA),28508,26954,55462,Baixo Amazonas,2010
150490,Muaná (PA),17906,16298,34204,Marajó,2010
150495,Nova Esperança do Piriá (PA),10643,9515,20158,Rio Capim,2010
150497,Nova Ipixuna (PA),7731,6914,14645,Lago Tucuruí,2010
150500,Nova Timboteua (PA),7082,6588,13670,Rio Caeté,2010
150503,Novo Progresso (PA),13435,11689,25124,Tapajós,2010
150506,Novo Repartimento (PA),32748,29302,62050,Lago Tucuruí,2010
150510,Óbidos (PA),25563,23770,49333,Baixo Amazonas,2010
150520,Oeiras do Pará (PA),15017,13578,28595,Tocantins,2010
150530,Oriximiná (PA),31756,31038,62794,Baixo Amazonas,2010
150540,Ourém (PA),8443,7868,16311,Rio Capim,2010
150543,Ourilândia do Norte (PA),14270,13089,27359,Araguaia,2010
150548,Pacajá (PA),21599,18380,39979,Xingu,2010
150549,Palestina do Pará (PA),3879,3596,7475,Carajás,2010
150550,Paragominas (PA),49267,48552,97819,Rio Capim,2010
150553,Parauapebas (PA),77893,76015,153908,Carajás,2010
150555,Pau D'Arco (PA),3178,2855,6033,Araguaia,2010
150560,Peixe-Boi (PA),4039,3815,7854,Rio Caeté,2010
150563,Piçarra (PA),6776,5921,12697,Carajás,2010
150565,Placas (PA),12568,11366,23934,Xingu,2010
150570,Ponta de Pedras (PA),13379,12620,25999,Marajó,2010
150580,Portel (PA),26818,25354,52172,Marajó,2010
150590,Porto de Moz (PA),17612,16344,33956,Xingu,2010
150600,Prainha (PA),15516,13833,29349,Baixo Amazonas,2010
150610,Primavera (PA),5300,4968,10268,Rio Caeté,2010
150611,Quatipuru (PA),6461,5950,12411,Rio Caeté,2010
150613,Redenção (PA),38016,37540,75556,Araguaia,2010
150616,Rio Maria (PA),9161,8536,17697,Araguaia,2010
150618,Rondon do Pará (PA),24274,22690,46964,Rio Capim,2010
150619,Rurópolis (PA),20875,19212,40087,Tapajós,2010
150620,Salinópolis (PA),19096,18325,37421,Rio Caeté,2010
150630,Salvaterra (PA),10292,9891,20183,Marajó,2010
150635,Santa Bárbara do Pará (PA),8755,8386,17141,Guajará,2010
150640,Santa Cruz do Arari (PA),4142,4013,8155,Marajó,2010
150650,Santa Izabel do Pará (PA),31156,28310,59466,Guamá,2010
150655,Santa Luzia do Pará (PA),9884,9540,19424,Rio Caeté,2010
150658,Santa Maria das Barreiras (PA),9497,7709,17206,Araguaia,2010
150660,Santa Maria do Pará (PA),11492,11534,23026,Guamá,2010
150670,Santana do Araguaia (PA),29788,26365,56153,Araguaia,2010
150680,Santarém (PA),145533,149047,294580,Baixo Amazonas,2010
150690,Santarém Novo (PA),3211,2930,6141,Rio Caeté,2010
150700,Santo Antônio do Tauá (PA),13433,13241,26674,Guamá,2010
150710,São Caetano de Odivelas (PA),8806,8085,16891,Guamá,2010
150715,São Domingos do Araguaia (PA),11901,11229,23130,Carajás,2010
150720,São Domingos do Capim (PA),15741,14105,29846,Guamá,2010
150730,São Félix do Xingu (PA),48691,42649,91340,Araguaia,2010
150740,São Francisco do Pará (PA),7775,7285,15060,Guamá,2010
150745,São Geraldo do Araguaia (PA),13093,12494,25587,Carajás,2010
150746,São João da Ponta (PA),2738,2527,5265,Guamá,2010
150747,São João de Pirabas (PA),10760,9887,20647,Rio Caeté,2010
150750,São João do Araguaia (PA),7149,6006,13155,Carajás,2010
150760,São Miguel do Guamá (PA),26028,25539,51567,Guamá,2010
150770,São Sebastião da Boa Vista (PA),11833,11071,22904,Marajó,2010
150775,Sapucaia (PA),2710,2337,5047,Araguaia,2010
150780,Senador José Porfírio (PA),6995,6050,13045,Xingu,2010
150790,Soure (PA),11472,11529,23001,Marajó,2010
150795,Tailândia (PA),40991,38306,79297,Tocantins,2010
150796,Terra Alta (PA),5272,4990,10262,Guamá,2010
150797,Terra Santa (PA),8776,8173,16949,Baixo Amazonas,2010
150800,Tomé-Açu (PA),29323,27195,56518,Rio Capim,2010
150803,Tracuateua (PA),14328,13127,27455,Rio Caeté,2010
150805,Trairão (PA),9146,7729,16875,Tapajós,2010
150808,Tucumã (PA),17489,16201,33690,Araguaia,2010
150810,Tucuruí (PA),48402,48726,97128,Lago Tucuruí,2010
150812,Ulianópolis (PA),22209,21132,43341,Rio Capim,2010
150815,Uruará (PA),23633,21156,44789,Xingu,2010
150820,Vigia (PA),24548,23341,47889,Guamá,2010
