Codigo,Município,Rural,Urbana,RI,Ano
150010,Abaetetuba (PA),58102,82998,Tocantins,2010
150013,Abel Figueiredo (PA),746,6034,Rio Capim,2010
150020,Acará (PA),40948,12621,Tocantins,2010
150030,Afuá (PA),25564,9478,Marajó,2010
150034,Água Azul do Norte (PA),20181,4876,Araguaia,2010
150040,Alenquer (PA),24904,27722,Baixo Amazonas,2010
150050,Almeirim (PA),13649,19965,Baixo Amazonas,2010
150060,Altamira (PA),14983,84092,Xingu,2010
150070,Anajás (PA),15265,9494,Marajó,2010
150080,Ananindeua (PA),1161,470819,Guajará,2010
150085,Anapu (PA),10710,9833,Xingu,2010
150090,Augusto Corrêa (PA),22257,18240,Rio Caeté,2010
150095,Aurora do Pará (PA),18378,8168,Rio Capim,2010
150100,Aveiro (PA),12670,3179,Tapajós,2010
150110,Bagre (PA),13203,10661,Marajó,2010
150120,Baião (PA),18327,18555,Tocantins,2010
150125,Bannach (PA),2149,1282,Araguaia,2010
150130,Barcarena (PA),63562,36297,Tocantins,2010
150140,Belém (PA),11924,1381475,Guajará,2010
150145,Belterra (PA),9466,6852,Baixo Amazonas,2010
150150,Benevides (PA),22739,28912,Guajará,2010
150157,Bom Jesus do Tocantins (PA),7140,8158,Carajás,2010
150160,Bonito (PA),9803,3827,Rio Caeté,2010
150170,Bragança (PA),40606,72621,Rio Caeté,2010
150172,Brasil Novo (PA),8791,6899,Xingu,2010
150175,Brejo Grande do Araguaia (PA),3009,4308,Carajás,2010
150178,Breu Branco (PA),23185,29308,Lago Tucuruí,2010
150180,Breves (PA),46300,46560,Marajó,2010
150190,Bujaru (PA),17596,8099,Rio Capim,2010
150195,Cachoeira do Piriá (PA),20952,5532,Rio Caeté,2010
150200,Cachoeira do Arari (PA),13087,7356,Marajó,2010
150210,Cametá (PA),68058,52838,Tocantins,2010
150215,Canaã dos Carajás (PA),5989,20727,Carajás,2010
150220,Capanema (PA),12907,50732,Rio Caeté,2010
150230,Capitão Poço (PA),30452,21441,Rio Capim,2010
150240,Castanhal (PA),19771,153378,Guamá,2010
150250,Chaves (PA),18495,2510,Marajó,2010
150260,Colares (PA),7720,3661,Guamá,2010
150270,Conceição do Araguaia (PA),13093,32464,Araguaia,2010
150275,Concórdia do Pará (PA),13128,15088,Rio Capim,2010
150276,Cumaru do Norte (PA),7755,2711,Araguaia,2010
150277,Curionópolis (PA),5758,12530,Carajás,2010
150280,Curralinho (PA),17619,10930,Marajó,2010
150285,Curuá (PA),6473,5781,Baixo Amazonas,2010
150290,Curuçá (PA),22120,12174,Guamá,2010
150293,Dom Eliseu (PA),18803,32516,Rio Capim,2010
150295,Eldorado do Carajás (PA),15208,16578,Carajás,2010
150300,Faro (PA),2049,6128,Baixo Amazonas,2010
150304,Floresta do Araguaia (PA),9054,8714,Araguaia,2010
150307,Garrafão do Norte (PA),16427,8607,Rio Capim,2010
150309,Goianésia do Pará (PA),9354,21082,Lago Tucuruí,2010
150310,Gurupá (PA),19482,9580,Marajó,2010
150320,Igarapé-Açu (PA),14680,21207,Guamá,2010
150330,Igarapé-Miri (PA),31872,26205,Tocantins,2010
150340,Inhangapi (PA),7266,2771,Guamá,2010
150345,Ipixuna do Pará (PA),39082,12227,Rio Capim,2010
150350,Irituia (PA),24840,6524,Rio Capim,2010
150360,Itaituba (PA),26811,70682,Tapajós,2010
150370,Itupiranga (PA),30730,20490,Lago Tucuruí,2010
150375,Jacareacanga (PA),9173,4930,Tapajós,2010
150380,Jacundá (PA),5677,45683,Lago Tucuruí,2010
150390,Juruti (PA),31234,15852,Baixo Amazonas,2010
150400,Limoeiro do Ajuru (PA),18824,6197,Tocantins,2010
150405,Mãe do Rio (PA),4852,23052,Rio Capim,2010
150410,Magalhães Barata (PA),4320,3795,Guamá,2010
150420,Marabá (PA),47399,186270,Carajás,2010
150430,Maracanã (PA),16720,11656,Guamá,2010
150440,Marapanim (PA),14901,11704,Guamá,2010
150442,Marituba (PA),1123,107123,Guajará,2010
150445,Medicilândia (PA),17769,9559,Xingu,2010
150450,Melgaço (PA),19305,5503,Marajó,2010
150460,Mocajuba (PA),8452,18279,Tocantins,2010
150470,Moju (PA),44856,25162,Tocantins,2010
150480,Monte Alegre (PA),30897,24565,Baixo Amazonas,2010
150490,Muaná (PA),19683,14521,Marajó,2010
150495,Nova Esperança do Piriá (PA),12194,7964,Rio Capim,2010
150497,Nova Ipixuna (PA),6919,7726,Lago Tucuruí,2010
150500,Nova Timboteua (PA),8150,5520,Rio Caeté,2010
150503,Novo Progresso (PA),7407,17717,Tapajós,2010
150506,Novo Repartimento (PA),34100,27950,Lago Tucuruí,2010
150510,Óbidos (PA),23867,25466,Baixo Amazonas,2010
150520,Oeiras do Pará (PA),17163,11432,Tocantins,2010
