Codigo,Municipio_cad,Branca_cadunico,Preta_cadunico,Amarela_cadunico,Parda_cadunico,Indigena_cadunico,NoData_cadunico,RI_cad,Municipio_ibge,Branca_geral,Preta_geral,Amarela_geral,Parda_geral,Indigena_geral,Total_geral,RI_ibge,Ano
1,,,,,,,,,Pará,1570281.0,793621.0,12432,5673446.0,69180,8120131.0,,
150010,ABAETETUBA,14931.0,6305.0,267.0,82803.0,107.0,964.0,Tocantins,Abaetetuba (PA),30676.0,9038.0,797,100509.0,80,141100.0,Tocantins,2010.0
150010,ABAETETUBA,17519.0,6910.0,355.0,107976.0,71.0,7.0,Tocantins,Abaetetuba (PA),29624.0,15895.0,107,112187.0,83,158188.0,Tocantins,2022.0
150013,ABEL FIGUEIREDO,653.0,190.0,7.0,3903.0,1.0,77.0,Rio Capim,Abel Figueiredo (PA),1655.0,699.0,88,4327.0,11,6780.0,Rio Capim,2010.0
150013,ABEL FIGUEIREDO,1181.0,276.0,13.0,4181.0,1.0,0.0,Rio Capim,Abel Figueiredo (PA),1228.0,640.0,-,4258.0,10,6136.0,Rio Capim,2022.0
150020,ACARÁ,1500.0,2257.0,47.0,33410.0,78.0,391.0,Tocantins,Acará (PA),5985.0,4081.0,556,42900.0,47,53569.0,Tocantins,2010.0
150020,ACARÁ,2645.0,2723.0,130.0,42255.0,55.0,4.0,Tocantins,Acará (PA),5684.0,8503.0,65,44748.0,23,59023.0,Tocantins,2022.0
150030,AFUÁ,134.0,26.0,16.0,27138.0,8.0,145.0,Marajó,Afuá (PA),6826.0,1135.0,138,26942.0,1,35042.0,Marajó,2010.0
150030,AFUÁ,338.0,215.0,29.0,35180.0,14.0,2.0,Marajó,Afuá (PA),5470.0,2567.0,24,29690.0,12,37765.0,Marajó,2022.0
150034,ÁGUA AZUL DO NORTE,1708.0,321.0,49.0,9770.0,21.0,31.0,Araguaia,Água Azul do Norte (PA),6788.0,1935.0,844,15486.0,4,25057.0,Araguaia,2010.0
150034,ÁGUA AZUL DO NORTE,1742.0,355.0,62.0,9474.0,12.0,1.0,Araguaia,Água Azul do Norte (PA),4451.0,1829.0,13,11609.0,176,18080.0,Araguaia,2022.0
150040,ALENQUER,6400.0,1763.0,396.0,33395.0,49.0,400.0,Baixo Amazonas,Alenquer (PA),10782.0,3564.0,534,37715.0,31,52626.0,Baixo Amazonas,2010.0
150040,ALENQUER,6563.0,1546.0,238.0,37984.0,25.0,0.0,Baixo Amazonas,Alenquer (PA),10431.0,5405.0,41,53463.0,36,69377.0,Baixo Amazonas,2022.0
150050,ALMEIRIM,1669.0,517.0,34.0,20629.0,18.0,130.0,Baixo Amazonas,Almeirim (PA),5798.0,1796.0,234,24970.0,816,33614.0,Baixo Amazonas,2010.0
150050,ALMEIRIM,2016.0,610.0,77.0,23717.0,30.0,2.0,Baixo Amazonas,Almeirim (PA),5102.0,2583.0,12,25498.0,1085,34280.0,Baixo Amazonas,2022.0
150060,ALTAMIRA,6149.0,2523.0,495.0,38868.0,808.0,617.0,Xingu,Altamira (PA),25289.0,8513.0,1577,59985.0,3711,99075.0,Xingu,2010.0
150060,ALTAMIRA,9898.0,3774.0,384.0,53024.0,4089.0,14.0,Xingu,Altamira (PA),29118.0,12939.0,329,77948.0,5944,126279.0,Xingu,2022.0
150070,ANAJÁS,1642.0,946.0,13.0,19998.0,12.0,23.0,Marajó,Anajás (PA),4894.0,2342.0,64,17457.0,2,24759.0,Marajó,2010.0
150070,ANAJÁS,4272.0,900.0,58.0,25103.0,10.0,0.0,Marajó,Anajás (PA),3900.0,1610.0,8,22488.0,5,28011.0,Marajó,2022.0
150080,ANANINDEUA,16015.0,7170.0,254.0,138576.0,120.0,1469.0,Guajará,Ananindeua (PA),115665.0,35200.0,3635,316700.0,778,471980.0,Guajará,2010.0
150080,ANANINDEUA,23858.0,9732.0,965.0,207163.0,191.0,36.0,Guajará,Ananindeua (PA),112106.0,53576.0,949,311624.0,508,478778.0,Guajará,2022.0
150085,ANAPU,1305.0,932.0,58.0,15524.0,11.0,120.0,Xingu,Anapu (PA),4690.0,1943.0,395,13071.0,444,20543.0,Xingu,2010.0
150085,ANAPU,2679.0,1220.0,202.0,22812.0,40.0,5.0,Xingu,Anapu (PA),6182.0,3497.0,215,21015.0,941,31850.0,Xingu,2022.0
