Codigo,Municipio_x,0-3_cadunico,4-6_cadunico,7-15_cadunico,16-17_cadunico,18-24_cadunico,25-34_cadunico,35-39_cadunico,40-44_cadunico,45-49_cadunico,50-54_cadunico,55-59_cadunico,60-64_cadunico,64+_cadunico,Total_cadunico,Ano,RI,Municipio_y,0-3_geral,4-6_geral,7-15_geral,16-17_geral,18-24_geral,25-34_geral,35-39_geral,40-44_geral,45-49_geral,50-54_geral,55-59_geral,60-64_geral,64+_geral,Total_geral
15,,,,,,,,,,,,,,,,2010,,Pará,584197.0,459462.0,1477017.0,318551.0,1051358.0,1324739.0,514535.0,434824.0,353997.0,294209.0,233028.0,174438.0,359797.0,7581051.0
15,,,,,,,,,,,,,,,,2022,,Pará,538275.0,421518.0,1298790.0,292959.0,994826.0,1306506.0,650689.0,604614.0,490203.0,419361.0,346819.0,235151.0,641181.0,8120131.0
150010,ABAETETUBA,,,24454.0,6132.0,16457.0,16663.0,6391.0,5538.0,4386.0,3454.0,2695.0,1931.0,2967.0,91068.0,2010,Tocantins,Abaetetuba (PA),10342.0,8118.0,28235.0,6820.0,21305.0,24356.0,9333.0,7487.0,5943.0,4910.0,4155.0,3169.0,6889.0,141100.0
150010,ABAETETUBA,8707.0,7680.0,22673.0,5148.0,19082.0,24229.0,9988.0,8686.0,7260.0,5893.0,4607.0,3265.0,5620.0,132838.0,2022,Tocantins,Abaetetuba (PA),10459.0,8071.0,24556.0,5591.0,20296.0,27807.0,12928.0,11467.0,9435.0,7836.0,6170.0,4075.0,11912.0,158188.0
150013,ABEL FIGUEIREDO,,,1145.0,250.0,627.0,763.0,330.0,263.0,211.0,177.0,133.0,84.0,99.0,4082.0,2010,Rio Capim,Abel Figueiredo (PA),532.0,413.0,1328.0,277.0,885.0,1191.0,431.0,388.0,341.0,249.0,212.0,173.0,359.0,6780.0
150013,ABEL FIGUEIREDO,387.0,394.0,1088.0,233.0,737.0,769.0,380.0,360.0,291.0,243.0,230.0,183.0,357.0,5652.0,2022,Rio Capim,Abel Figueiredo (PA),425.0,373.0,1001.0,202.0,667.0,864.0,473.0,477.0,343.0,356.0,298.0,204.0,568.0,6136.0
150020,ACARÁ,,,10166.0,2162.0,5287.0,5377.0,2195.0,1927.0,1487.0,1186.0,838.0,577.0,766.0,31968.0,2010,Tocantins,Acará (PA),4935.0,3856.0,11952.0,2438.0,7489.0,8101.0,3351.0,2692.0,2102.0,1588.0,1374.0,1145.0,2539.0,53569.0
150020,ACARÁ,3324.0,3244.0,10350.0,2396.0,6218.0,7446.0,3193.0,2827.0,2354.0,2098.0,1652.0,1010.0,1700.0,47812.0,2022,Tocantins,Acará (PA),4278.0,3372.0,10659.0,2510.0,7275.0,9183.0,4384.0,3956.0,3172.0,2863.0,2317.0,1489.0,4523.0,59023.0
150030,AFUÁ,,,8112.0,1681.0,3943.0,3540.0,1430.0,1205.0,931.0,727.0,555.0,321.0,431.0,22876.0,2010,Marajó,Afuá (PA),3657.0,2889.0,8897.0,1740.0,4752.0,4992.0,1837.0,1480.0,1172.0,946.0,815.0,530.0,1329.0,35042.0
150030,AFUÁ,2806.0,2786.0,8131.0,1790.0,5613.0,5749.0,2083.0,1773.0,1429.0,1132.0,845.0,548.0,1093.0,35778.0,2022,Marajó,Afuá (PA),3512.0,2693.0,7775.0,1630.0,5170.0,5879.0,2453.0,2189.0,1797.0,1414.0,1148.0,771.0,2075.0,37765.0
150034,ÁGUA AZUL DO NORTE,,,2727.0,621.0,1661.0,1878.0,764.0,594.0,527.0,421.0,347.0,290.0,511.0,10341.0,2010,Araguaia,Água Azul do Norte (PA),1550.0,1341.0,4524.0,869.0,3803.0,5298.0,2139.0,1757.0,1117.0,905.0,615.0,444.0,694.0,25057.0
150034,ÁGUA AZUL DO NORTE,805.0,768.0,2215.0,504.0,1546.0,1658.0,757.0,662.0,590.0,503.0,462.0,376.0,800.0,11646.0,2022,Araguaia,Água Azul do Norte (PA),1387.0,1091.0,2973.0,599.0,2146.0,3000.0,1559.0,1473.0,1066.0,784.0,651.0,479.0,1165.0,18080.0
150040,ALENQUER,,,12152.0,2478.0,4721.0,5469.0,2360.0,1922.0,1467.0,1187.0,928.0,867.0,1698.0,35249.0,2010,Baixo Amazonas,Alenquer (PA),4791.0,4034.0,12259.0,2547.0,6187.0,7561.0,3069.0,2415.0,2071.0,1845.0,1604.0,1213.0,3023.0,52626.0
150040,ALENQUER,3401.0,3294.0,10550.0,2738.0,7138.0,6134.0,2648.0,2414.0,1982.0,1488.0,1246.0,942.0,2381.0,46356.0,2022,Baixo Amazonas,Alenquer (PA),5641.0,4567.0,13530.0,2933.0,8802.0,10780.0,4844.0,4443.0,3494.0,2829.0,2310.0,1612.0,4816.0,69377.0
150050,ALMEIRIM,,,5894.0,1252.0,3671.0,3423.0,1213.0,961.0,828.0,662.0,524.0,346.0,540.0,19314.0,2010,Baixo Amazonas,Almeirim (PA),3039.0,2343.0,7284.0,1588.0,4395.0,5400.0,2199.0,1783.0,1536.0,1268.0,892.0,627.0,1258.0,33614.0
150050,ALMEIRIM,2241.0,1948.0,5783.0,1254.0,3730.0,4274.0,1716.0,1413.0,1065.0,877.0,725.0,572.0,854.0,26452.0,2022,Baixo Amazonas,Almeirim (PA),2941.0,2172.0,6605.0,1404.0,4260.0,5311.0,2401.0,2252.0,1834.0,1516.0,1234.0,861.0,2150.0,34280.0
150060,ALTAMIRA,,,12832.0,2928.0,7379.0,7265.0,3254.0,2664.0,2162.0,1660.0,1229.0,916.0,1354.0,43643.0,2010,Xingu,Altamira (PA),7468.0,5801.0,19191.0,4211.0,13609.0,17780.0,6923.0,5785.0,4869.0,3963.0,2937.0,2169.0,4359.0,99075.0
150060,ALTAMIRA,4619.0,5192.0,14560.0,2931.0,8658.0,9966.0,4628.0,4339.0,3353.0,2752.0,2418.0,2215.0,5552.0,71183.0,2022,Xingu,Altamira (PA),8764.0,7264.0,20308.0,4270.0,15354.0,21390.0,10443.0,9635.0,7619.0,6354.0,5180.0,3289.0,8347.0,126279.0
150070,ANAJÁS,,,6529.0,1263.0,2991.0,3094.0,1193.0,903.0,658.0,544.0,407.0,318.0,572.0,18472.0,2010,Marajó,Anajás (PA),2910.0,2228.0,6231.0,1181.0,3402.0,3525.0,1289.0,929.0,731.0,597.0,511.0,361.0,861.0,24759.0
