Codigo,Municipio,homens_cadunico,homens_geral,mulheres_cadunico,mulheres_geral,Ano,homens_cadunico_%,mulheres_cadunico_%
150010,ABAETETUBA,62504,79297.0,70334,78891.0,2022,78.82,89.15
150010,ABAETETUBA,47547,71630.0,57830,69470.0,2013,66.38,83.24
150013,ABEL FIGUEIREDO,2592,3113.0,3060,3023.0,2022,83.26,101.22
150013,ABEL FIGUEIREDO,2222,3533.0,2609,3247.0,2013,62.89,80.35
150020,ACARÁ,22480,30551.0,25332,28472.0,2022,73.58,88.97
150020,ACARÁ,17644,28115.0,20039,25454.0,2013,62.76,78.73
150030,AFUÁ,13335,18453.0,14132,16589.0,2013,72.26,85.19
150030,AFUÁ,17807,19708.0,17971,18057.0,2022,90.35,99.52
150034,ÁGUA AZUL DO NORTE,5091,9696.0,6555,8384.0,2022,52.51,78.18
150034,ÁGUA AZUL DO NORTE,5390,13618.0,6510,11439.0,2013,39.58,56.91
150040,ALENQUER,19478,27030.0,22925,25596.0,2013,72.06,89.56
150040,ALENQUER,20617,35689.0,25739,33688.0,2022,57.77,76.4
150050,ALMEIRIM,10849,17468.0,12148,16146.0,2013,62.11,75.24
150050,ALMEIRIM,12725,17647.0,13727,16633.0,2022,72.11,82.53
150060,ALTAMIRA,31019,62942.0,40164,63337.0,2022,49.28,63.41
150060,ALTAMIRA,21479,49819.0,27981,49256.0,2013,43.11,56.81
150070,ANAJÁS,15319,14508.0,15024,13503.0,2022,105.59,111.26
150070,ANAJÁS,11122,12957.0,11512,11802.0,2013,85.84,97.54
150080,ANANINDEUA,95547,227304.0,146398,251474.0,2022,42.03,58.22
150080,ANANINDEUA,62660,226635.0,100944,245345.0,2013,27.65,41.14
150085,ANAPU,8663,10992.0,9287,9551.0,2013,78.81,97.24
150085,ANAPU,12765,16605.0,14193,15245.0,2022,76.87,93.1
150090,AUGUSTO CORRÊA,18721,20989.0,19557,19508.0,2013,89.19,100.25
150090,AUGUSTO CORRÊA,19452,22797.0,20499,21776.0,2022,85.33,94.14
150095,AURORA DO PARÁ,9208,12079.0,10317,11695.0,2022,76.23,88.22
150095,AURORA DO PARÁ,8409,13620.0,9292,12926.0,2013,61.74,71.89
150100,AVEIRO,6439,8367.0,6492,7482.0,2013,76.96,86.77
150100,AVEIRO,5642,9586.0,5590,8704.0,2022,58.86,64.22
150110,BAGRE,9454,16253.0,10043,15639.0,2022,58.17,64.22
150110,BAGRE,7541,12135.0,7520,11729.0,2013,62.14,64.11
150120,BAIÃO,11443,19446.0,11786,17436.0,2013,58.85,67.6
150120,BAIÃO,12695,25917.0,13897,25724.0,2022,48.98,54.02
150125,BANNACH,1211,2164.0,1329,1867.0,2022,55.96,71.18
150125,BANNACH,1218,1847.0,1261,1584.0,2013,65.94,79.61
150130,BARCARENA,32864,63394.0,43408,63256.0,2022,51.84,68.62
150130,BARCARENA,27524,50346.0,35659,49513.0,2013,54.67,72.02
150140,BELÉM,292803,610777.0,426498,692626.0,2022,47.94,61.58
150140,BELÉM,171898,659008.0,254710,734391.0,2013,26.08,34.68
150145,BELTERRA,6987,9164.0,7618,8935.0,2022,76.24,85.26
150145,BELTERRA,7585,8481.0,7813,7837.0,2013,89.44,99.69
150150,BENEVIDES,13284,25815.0,17479,25836.0,2013,51.46,67.65
150150,BENEVIDES,20354,31251.0,28617,32316.0,2022,65.13,88.55
150157,BOM JESUS DO TOCANTINS,4141,8051.0,4887,7247.0,2013,51.43,67.43
150157,BOM JESUS DO TOCANTINS,4962,9969.0,6030,8036.0,2022,49.77,75.04
150160,BONITO,4610,7114.0,4870,6516.0,2013,64.8,74.74
150160,BONITO,4920,6477.0,5754,6145.0,2022,75.96,93.64
150170,BRAGANÇA,41510,61581.0,48796,61501.0,2022,67.41,79.34
150170,BRAGANÇA,38144,57291.0,42993,55936.0,2013,66.58,76.86
150172,BRASIL NOVO,5060,8314.0,5283,7376.0,2013,60.86,71.62
150172,BRASIL NOVO,7871,12635.0,8102,12083.0,2022,62.3,67.05
150175,BREJO GRANDE DO ARAGUAIA,2805,3439.0,3161,3344.0,2022,81.56,94.53
150175,BREJO GRANDE DO ARAGUAIA,2859,3832.0,3470,3485.0,2013,74.61,99.57
150178,BREU BRANCO,14811,27085.0,18909,25408.0,2013,54.68,74.42
150178,BREU BRANCO,14225,23100.0,18666,22612.0,2022,61.58,82.55
150180,BREVES,43354,55278.0,47026,51690.0,2022,78.43,90.98
150180,BREVES,32899,47788.0,38213,45072.0,2013,68.84,84.78
150190,BUJARU,11282,12353.0,12156,12030.0,2022,91.33,101.05
150190,BUJARU,10876,13335.0,12049,12360.0,2013,81.56,97.48
150195,CACHOEIRA DO PIRIÁ,8188,13720.0,7974,12764.0,2013,59.68,62.47
150195,CACHOEIRA DO PIRIÁ,8587,10351.0,8895,9279.0,2022,82.96,95.86
150200,CACHOEIRA DO ARARI,7586,10545.0,8703,9898.0,2013,71.94,87.93
150200,CACHOEIRA DO ARARI,8467,12126.0,9715,11855.0,2022,69.83,81.95
150210,CAMETÁ,50926,68840.0,54187,65344.0,2022,73.98,82.93
150210,CAMETÁ,38169,62016.0,46817,58880.0,2013,61.55,79.51
150215,CANAÃ DOS CARAJÁS,14082,39387.0,19076,37692.0,2022,35.75,50.61
150215,CANAÃ DOS CARAJÁS,8264,13585.0,10508,13131.0,2013,60.83,80.02
150220,CAPANEMA,18059,34350.0,22532,36044.0,2022,52.57,62.51
150220,CAPANEMA,18607,31494.0,21655,32145.0,2013,59.08,67.37
150230,CAPITÃO POÇO,19483,28671.0,21812,27835.0,2022,67.95,78.36
150230,CAPITÃO POÇO,18457,26621.0,19801,25272.0,2013,69.33,78.35
150240,CASTANHAL,43427,84476.0,59063,88673.0,2013,51.41,66.61
150240,CASTANHAL,46371,92506.0,63483,99750.0,2022,50.13,63.64
150250,CHAVES,7974,11180.0,7849,9825.0,2013,71.32,79.89
150250,CHAVES,8619,11118.0,8805,9639.0,2022,77.52,91.35
150260,COLARES,3875,5879.0,3960,5502.0,2013,65.91,71.97
150260,COLARES,4490,6446.0,5070,6422.0,2022,69.66,78.95
150270,CONCEIÇÃO DO ARAGUAIA,13503,22490.0,14986,22127.0,2022,60.04,67.73
150270,CONCEIÇÃO DO ARAGUAIA,13882,23309.0,15279,22248.0,2013,59.56,68.68
150275,CONCÓRDIA DO PARÁ,10295,14590.0,10738,13626.0,2013,70.56,78.81
150275,CONCÓRDIA DO PARÁ,11461,13550.0,12696,13331.0,2022,84.58,95.24
150276,CUMARU DO NORTE,3301,7706.0,3762,6330.0,2022,42.84,59.43
150276,CUMARU DO NORTE,3045,6081.0,3285,4385.0,2013,50.07,74.91
150277,CURIONÓPOLIS,6590,10196.0,8559,9754.0,2022,64.63,87.75
150277,CURIONÓPOLIS,7376,9666.0,8606,8622.0,2013,76.31,99.81
150280,CURRALINHO,12725,15059.0,12576,13490.0,2013,84.5,93.22
150280,CURRALINHO,14977,17863.0,14433,16040.0,2022,83.84,89.98
150285,CURUÁ,5096,6456.0,5539,5798.0,2013,78.93,95.53
150285,CURUÁ,6393,7338.0,6292,6779.0,2022,87.12,92.82
150290,CURUÇÁ,12114,17568.0,14867,16726.0,2013,68.95,88.89
150290,CURUÇÁ,14684,20745.0,17281,20517.0,2022,70.78,84.23
150293,DOM ELISEU,11291,28907.0,15225,29577.0,2022,39.06,51.48
150293,DOM ELISEU,11669,26624.0,14501,24695.0,2013,43.83,58.72
150295,ELDORADO DO CARAJÁS,10562,14443.0,11734,13749.0,2022,73.13,85.34
150295,ELDORADO DO CARAJÁS,9134,16814.0,10292,14972.0,2013,54.32,68.74
150300,FARO,2899,4240.0,3443,3937.0,2013,68.37,87.45
150300,FARO,4253,4483.0,4315,4245.0,2022,94.87,101.65
150304,FLORESTA DO ARAGUAIA,6232,9551.0,6584,8217.0,2013,65.25,80.13
150304,FLORESTA DO ARAGUAIA,6667,9498.0,7310,8400.0,2022,70.19,87.02
150307,GARRAFÃO DO NORTE,9337,12694.0,10488,12009.0,2022,73.55,87.33
150307,GARRAFÃO DO NORTE,10830,13107.0,11731,11927.0,2013,82.63,98.36
150309,GOIANÉSIA DO PARÁ,9672,13525.0,10811,12837.0,2022,71.51,84.22
150309,GOIANÉSIA DO PARÁ,11153,15750.0,12010,14686.0,2013,70.81,81.78
150310,GURUPÁ,11787,15400.0,11294,13662.0,2013,76.54,82.67
150310,GURUPÁ,15888,16707.0,14835,15079.0,2022,95.1,98.38
150320,IGARAPÉ-AÇU,9361,18117.0,13753,17770.0,2013,51.67,77.39
150320,IGARAPÉ-AÇU,12377,17767.0,14908,18030.0,2022,69.66,82.68
150330,IGARAPÉ-MIRI,22448,29674.0,25395,28403.0,2013,75.65,89.41
150330,IGARAPÉ-MIRI,23236,33274.0,26834,31557.0,2022,69.83,85.03
150340,INHANGAPI,3471,5170.0,3861,4867.0,2013,67.14,79.33
150340,INHANGAPI,3664,5229.0,4259,5096.0,2022,70.07,83.58
150345,IPIXUNA DO PARÁ,10787,26904.0,11942,24405.0,2013,40.09,48.93
150345,IPIXUNA DO PARÁ,12316,15637.0,14489,14692.0,2022,78.76,98.62
150350,IRITUIA,12518,15911.0,13514,15044.0,2022,78.68,89.83
150350,IRITUIA,11240,16261.0,13099,15103.0,2013,69.12,86.73
150360,ITAITUBA,28968,49681.0,37080,47812.0,2013,58.31,77.55
