Codigo,Municipio,RI,Ano_merge,Ano,Rural_Cadunico,Urbano_Cadunico,Rural_IBGE,Urbano_IBGE
0,,,2022,,,,25572339.0,177508417.0
1,,,2022,,,,2024601.0,6095530.0
150010,ABAETETUBA,Tocantins,2010,2013.0,48621.0,56753.0,58102.0,82998.0
150010,ABAETETUBA,Tocantins,2022,2022.0,62679.0,70153.0,59798.0,98390.0
150013,ABEL FIGUEIREDO,Rio Capim,2010,2013.0,624.0,4207.0,746.0,6034.0
150013,ABEL FIGUEIREDO,Rio Capim,2022,2022.0,1091.0,4561.0,770.0,5366.0
150020,ACARÁ,Tocantins,2010,2013.0,26580.0,11103.0,40948.0,12621.0
150020,ACARÁ,Tocantins,2022,2022.0,38528.0,9284.0,45944.0,13079.0
150030,AFUÁ,Marajó,2010,2013.0,14856.0,12611.0,25564.0,9478.0
150030,AFUÁ,Marajó,2022,2022.0,26526.0,9252.0,25890.0,11875.0
150034,ÁGUA AZUL DO NORTE,Araguaia,2010,2013.0,3444.0,8456.0,20181.0,4876.0
150034,ÁGUA AZUL DO NORTE,Araguaia,2022,2022.0,4281.0,7365.0,8778.0,9302.0
150040,ALENQUER,Baixo Amazonas,2010,2013.0,20893.0,21510.0,24904.0,27722.0
150040,ALENQUER,Baixo Amazonas,2022,2022.0,23278.0,23078.0,34224.0,35153.0
150050,ALMEIRIM,Baixo Amazonas,2010,2013.0,8461.0,14536.0,13649.0,19965.0
150050,ALMEIRIM,Baixo Amazonas,2022,2022.0,10543.0,15909.0,11780.0,22500.0
150060,ALTAMIRA,Xingu,2010,2013.0,7034.0,42426.0,14983.0,84092.0
150060,ALTAMIRA,Xingu,2022,2022.0,15383.0,55772.0,22077.0,104202.0
150070,ANAJÁS,Marajó,2010,2013.0,10696.0,11938.0,15265.0,9494.0
150070,ANAJÁS,Marajó,2022,2022.0,19500.0,10843.0,15705.0,12306.0
150080,ANANINDEUA,Guajará,2010,2013.0,1385.0,162217.0,1161.0,470819.0
150080,ANANINDEUA,Guajará,2022,2022.0,796.0,241088.0,1480.0,477298.0
150085,ANAPU,Xingu,2010,2013.0,8082.0,9868.0,10710.0,9833.0
150085,ANAPU,Xingu,2022,2022.0,13317.0,13637.0,16010.0,15840.0
150090,AUGUSTO CORRÊA,Rio Caeté,2010,2013.0,25274.0,13004.0,22257.0,18240.0
150090,AUGUSTO CORRÊA,Rio Caeté,2022,2022.0,27397.0,12554.0,21629.0,22944.0
150095,AURORA DO PARÁ,Rio Capim,2010,2013.0,11337.0,6364.0,18378.0,8168.0
150095,AURORA DO PARÁ,Rio Capim,2022,2022.0,12690.0,6835.0,13638.0,10136.0
150100,AVEIRO,Tapajós,2010,2013.0,7626.0,5303.0,12670.0,3179.0
150100,AVEIRO,Tapajós,2022,2022.0,9011.0,2220.0,13873.0,4417.0
150110,BAGRE,Marajó,2010,2013.0,6874.0,8187.0,13203.0,10661.0
150110,BAGRE,Marajó,2022,2022.0,11064.0,8433.0,18889.0,13003.0
150120,BAIÃO,Tocantins,2010,2013.0,10003.0,13226.0,18327.0,18555.0
150120,BAIÃO,Tocantins,2022,2022.0,15163.0,11429.0,24330.0,27311.0
150125,BANNACH,Araguaia,2010,2013.0,1088.0,1391.0,2149.0,1282.0
150125,BANNACH,Araguaia,2022,2022.0,1358.0,1182.0,2420.0,1611.0
150130,BARCARENA,Tocantins,2010,2013.0,18988.0,44193.0,63562.0,36297.0
150130,BARCARENA,Tocantins,2022,2022.0,22337.0,53925.0,22163.0,104487.0
150140,BELÉM,Guajará,2010,2013.0,4186.0,422389.0,11924.0,1381475.0
150140,BELÉM,Guajará,2022,2022.0,5462.0,713344.0,6770.0,1296633.0
150145,BELTERRA,Baixo Amazonas,2010,2013.0,8124.0,7274.0,9466.0,6852.0
150145,BELTERRA,Baixo Amazonas,2022,2022.0,7955.0,6650.0,9321.0,8778.0
150150,BENEVIDES,Guajará,2010,2013.0,1752.0,29011.0,22739.0,28912.0
150150,BENEVIDES,Guajará,2022,2022.0,1602.0,47349.0,3269.0,60298.0
150157,BOM JESUS DO TOCANTINS,Carajás,2010,2013.0,2875.0,6153.0,7140.0,8158.0
150157,BOM JESUS DO TOCANTINS,Carajás,2022,2022.0,4450.0,6542.0,7672.0,10333.0
150160,BONITO,Rio Caeté,2010,2013.0,6183.0,3297.0,9803.0,3827.0
150160,BONITO,Rio Caeté,2022,2022.0,6431.0,4239.0,5697.0,6925.0
150170,BRAGANÇA,Rio Caeté,2010,2013.0,38490.0,42647.0,40606.0,72621.0
150170,BRAGANÇA,Rio Caeté,2022,2022.0,43011.0,47243.0,35474.0,87608.0
150172,BRASIL NOVO,Xingu,2010,2013.0,4435.0,5908.0,8791.0,6899.0
